trans	PG29v5	Q903	WS77111v2
PG01r131103s167065340--1690-74	1	0	1
PG01r131103s167824769--6810-5353	1	2	2
PG01r131103s167865484--4716-1300	1	1	1
PG01r131103s167906278--76980-85786	1	1	3
PG01r131103s167913679--4824-6384	1	1	2
PG01r131103s167940412--9041-10825	1	2	3
PG01r131103s167940578--7550-5975	2	3	2
PG01r131103s167942561--2497-1009	1	1	1
PG01r131103s167962962--5873-7298	1	1	1
PG01r131103s167992861--22069-23712	1	1	1
PG01r131103s168062633--78-3284	1	1	1
PG01r131103s168090066--21021-19430	1	1	1
PG01r131103s168184614--2628-4005	1	2	2
PG01r131103s168184900--173444-171748	1	1	1
PG01r131103s168187470--33944-1639	1	0	0
PG01r131103s168187504--2001-4877	3	3	3
PG01r131103s168200974--2581-3900	2	1	3
PG01r131103s168224275--20313-18522	1	2	1
PG01r131103s168226864--5524-7125	1	2	1
PG01r131103s168238162--16209-14865	1	3	4
PG01r131103s168249909--8067-5337	1	4	1
PG01r131103s168249909--83406-74201	1	1	1
PG01r131103s168251382--883-2935	1	2	1
PG01r131103s168275013--135727-46325	1	2	2
PG01r131103s168313615--11510-10037	2	0	1
PG01r131103s168324551--7885-9148	1	4	1
PG01r131103s168327657--25308-22128	1	3	4
PG01r131103s168344834--43574-45287	1	1	1
PG01r131103s168357265--319627-315939	1	2	2
PG01r131103s168366332--43314-44736	1	2	2
PG01r131103s168406731--101549-96865	1	1	1
PG01r131103s168455343--85628-87047	1	2	2
PG01r131103s168455701--26627-22645	1	1	1
PG01r131103s168473611--39-1754	1	1	0
PG01r131103s168494061--53194-49966	2	2	0
PG01r131103s168507768--7951-13992	1	2	1
PG01r131103s168509125--4399-2007	1	1	1
PG01r131103s168527758--15391-12272	1	1	1
PG01r131103s168528283--42952-46211	1	3	2
PG01r131103s168536580--1680-95293	1	1	0
PG01r131103s168536580--8172-10780	1	1	2
PG01r131103s168536669--1899-3296	1	1	1
PG01r131103s168544757--8751-6906	1	1	1
PG01r131103s168546086--164374-165958	2	1	1
PG01r131103s168547186--206854-210400	1	0	1
PG01r131103s168547537--66038-51305	1	0	0
PG01r131103s168549218--58134-59415	2	2	2
PG01r131103s168549378--492-5066	1	1	2
PG01r131103s168551394--15939-13288	1	1	1
PG01r131103s168551880--111147-109553	1	1	1
PG01r131103s168557292--233515-51792	0	1	1
PG01r131103s168562166--115737-113359	3	1	1
PG01r131103s168562697--36797-38018	1	1	1
PG01r131103s168563530--52070-36357	1	0	4
PG01r131103s168570439--26115-6786	3	1	2
PG01r131103s168571416--105584-102193	1	1	0
PG01r131103s168572213--10539-12245	1	1	2
PG01r131103s168577187--38951-37439	1	1	2
PG01r131103s168577187--44685-43605	2	3	1
PG29_BFMXY_Trinity_Pasafly_comp193217_c0_seq1	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp272275_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp334639_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp348758_c0_seq3	1	1	2
PG29_BFMXY_Trinity_Pasafly_comp376832_c0_seq2	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp386017_c0_seq2	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp388337_c0_seq1_rc	1	0	0
PG29_BFMXY_Trinity_Pasafly_comp392649_c0_seq1	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp394864_c0_seq4_rc	1	0	0
PG29_BFMXY_Trinity_Pasafly_comp395509_c0_seq1_rc	1	1	2
PG29_BFMXY_Trinity_Pasafly_comp396261_c0_seq1_rc	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp396468_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp396822_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp399391_c1_seq4_rc	1	0	0
PG29_BFMXY_Trinity_Pasafly_comp399733_c0_seq1	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp400632_c0_seq2	1	1	2
PG29_BFMXY_Trinity_Pasafly_comp400897_c1_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp401032_c0_seq2_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp403847_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp405305_c0_seq2	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp405365_c0_seq1_rc	2	1	1
PG29_BFMXY_Trinity_Pasafly_comp407023_c0_seq1	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp409348_c0_seq1_rc	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp409799_c0_seq1_rc	1	2	1
PG29_BFMXY_Trinity_Pasafly_comp409799_c0_seq2_rc	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp410666_c0_seq1_rc	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp411265_c0_seq2	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp411265_c0_seq9	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp411417_c0_seq2	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp411852_c0_seq1_rc	1	1	0
PG29_BFMXY_Trinity_Pasafly_comp412895_c0_seq1_rc	0	1	2
PG29_BFMXY_Trinity_Pasafly_comp413734_c0_seq1	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp413853_c0_seq1_rc	2	1	0
PG29_BFMXY_Trinity_Pasafly_comp415163_c1_seq2	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp415163_c1_seq4	1	0	0
PG29_BFMXY_Trinity_Pasafly_comp415312_c0_seq6	0	2	1
PG29_BFMXY_Trinity_Pasafly_comp415440_c1_seq1	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp415447_c0_seq1	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp417525_c0_seq4_rc	1	1	0
PG29_BFMXY_Trinity_Pasafly_comp417525_c0_seq5_rc	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp418514_c0_seq3	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp418609_c2_seq1_rc	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp418911_c0_seq3	1	1	3
PG29_BFMXY_Trinity_Pasafly_comp418960_c0_seq6_rc	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp419411_c1_seq1	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp420121_c0_seq6	0	0	1
PG29_BFMXY_Trinity_Pasafly_comp420776_c0_seq2	1	0	1
PG29_BFMXY_Trinity_Pasafly_comp420776_c0_seq3	1	1	1
PG29_BFMXY_Trinity_Pasafly_comp421424_c1_seq1_rc	0	1	1
PG29_BFMXY_Trinity_Pasafly_comp421424_c1_seq2_rc	0	1	0
PG29_BFMXY_Trinity_Pasafly_comp423449_c0_seq1_rc	1	1	1
