transcript bin.x coverage.x strand.x gene.x cigar.x MD.x NM.x fileName.x species.x introns_len.x introns_num.x swap.introns_len.x bin.y coverage.y strand.y gene.y cigar.y MD.y NM.y fileName.y species.y introns_len.y introns_num.y swap.introns_len.y bin coverage strand gene cigar MD NM fileName species introns_len introns_num swap.introns_len
augustus_masked-159044015-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9297566 1914M MD:Z:1883T30 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_15.iteration.1 0.99 16 3575171 1914M MD:Z:1883T30 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156012 1914M MD:Z:1011A902 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-159081026-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7165624 1260M MD:Z:1012C247 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_10.iteration.1 0.99 0 2845259 1260M MD:Z:247G1012 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.2 0.99 16 6486588 1260M MD:Z:242T468C548 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-159279420-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6743013 1281M MD:Z:605G104C60C102C19G134A251 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 16 2939775 1281M MD:Z:874C19G134A251 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5155801 1281M MD:Z:522A371G386 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-159280557-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9298300 1707M MD:Z:560C111G459G75T60A437 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.3 0.99 16 2747731 1707M MD:Z:560C111G459G75T60A437 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155827 1707M MD:Z:118A10G78G103C124T60A535C515C50A83T21 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-159287479-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 5281306 732M MD:Z:354A203G173 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 0 3011395 732M MD:Z:57T115N203T354 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5080118 732M MD:Z:57T319T272T12A68 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-159454360-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 2349430 222M MD:Z:10T211 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 16 1284437 222M MD:Z:10T211 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5082039 222M MD:Z:9T212 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-159882295-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9130353 300M MD:Z:150T149 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_15.iteration.1 0.99 0 3501155 300M MD:Z:150T149 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.2 0.99 16 6393750 300M MD:Z:140T5C2A150 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-160042276-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6820343 1449M MD:Z:518C90C839 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_13.iteration.1 0.99 16 3957260 1449M MD:Z:518C90C839 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5155830 1449M MD:Z:908A540 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-160084814-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9259801 1284M MD:Z:410A10C294T51T1T179G77G36T44C54A118 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.1 0.99 16 3287896 1284M MD:Z:415T284C67T1T179G77G36T44C81G6A84 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5155751 1284M MD:Z:700C67T1T87C91G17A59G36T44C54A118 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-160345140-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7632499 231M MD:Z:231 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 0 2983294 231M MD:Z:231 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1.extra 0.99 0 11058034 231M MD:Z:73A80A30G45 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-160384079-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6830551 345M MD:Z:345 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_13.iteration.1 0.99 16 3870573 345M MD:Z:345 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.2 0.99 0 6486533 345M MD:Z:22C74C172T74 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-160535725-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9300228 813M MD:Z:813 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_14.iteration.1 0.99 16 3011228 813M MD:Z:637T84G90 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5156187 813M MD:Z:306C506 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-160589544-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9207764 2025M MD:Z:1054G61G148C759 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_16.iteration.1 0.99 0 3092904 2025M MD:Z:1054G61G148C237A521 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5155904 2025M MD:Z:409A85C25T237G148C61C36A417C422T74G101 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161361862-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7683541 318M MD:Z:318 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 0 2989591 318M MD:Z:318 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.2 0.99 0 6390188 318M MD:Z:43G233G40 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161474922-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9245926 1125M MD:Z:324G450G349 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_11.iteration.1 0.99 0 3234197 1125M MD:Z:349C450C324 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.3 0.99 16 5547253 1125M MD:Z:4T215C23G79G68T3T727 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161520615-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7729342 1488M MD:Z:245A353A407G480 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_8.iteration.1 0.99 16 4559732 1488M MD:Z:178C9T291C407T353T245 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5078085 1488M MD:Z:146A98A344A8A250AC155G185T91C13A21A166 NM:i:11 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161610211-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9271316 423M MD:Z:14T33A374 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_9.iteration.1 0.99 16 3189261 423M MD:Z:14T33A374 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5156019 423M MD:Z:423 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161823563-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 16 7630002 1950M MD:Z:39G35T1T735G110G68G376C3C35C16C228A13A67C211 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_17.iteration.1 0.99 16 3052597 1950M MD:Z:39G35T1T735G110G68G376C3C35C16C228A13A67C211 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5082104 1950M MD:Z:211G21T26C18T242G16G39G52T10A27T653G584C39 NM:i:12 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161866779-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9237467 942M MD:Z:90C151T10A25T3C97T1C121G87T47C160T6T21A110 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_15.iteration.1 0.99 0 3575218 942M MD:Z:110T21A6A54T105G47A87C121G1A97G3A25T10A151G90 NM:i:14 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 0 5077450 942M MD:Z:216T131A180A28G1A290G90 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
augustus_masked-161990408-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7736680 498M MD:Z:8G59T8C31T103G178T13T91 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA cdhit-output-4_16.iteration.1 0.99 0 379996 498M MD:Z:91A13A178C103A31G8A59C8 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsWS77111extraAll_sam.txt WS77111extraAll NA 0 NA OverlapSucceeded_6.iteration.1 0.99 16 5155817 498M MD:Z:498 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsQ903_sam.txt Q903 NA 0 NA
