bin coverage transcript strand gene cigar MD NM fileName species introns_len introns_num swap.introns_len
myseq9000.fa.r112 0.99 maker-167196083-augustus-gene-0.8-mRNA-1 16 8375589 523M132N211M181N56M MD:Z:53A15C31T17A212T32A424 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 132,181 2 181,132
myseq9000.fa.r112 0.99 augustus_masked-166775230-processed-gene-0.0-mRNA-1 0 7168212 390M MD:Z:9A81G42C97A43T113 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 snap_masked-168191369-processed-gene-0.49-mRNA-1 16 9173277 2022M MD:Z:8C760A643GC55C221G329 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 snap_masked-168099555-processed-gene-0.23-mRNA-1 16 9249453 498M MD:Z:115T103T57C48T17G6T55G41G28T5A13 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168258397-processed-gene-0.3-mRNA-1 16 7075638 675M MD:Z:51C145C477 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168550602-processed-gene-0.13-mRNA-1 0 7166635 306M MD:Z:306 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168188054-augustus-gene-0.49-mRNA-1 16 7099248 165M69N155M435N321M MD:Z:279T87T180A92 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 69,435 2 435,69
myseq0.fa.r112 0.99 augustus_masked-168053689-processed-gene-0.2-mRNA-1 16 7141172 1464M MD:Z:1464 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 maker-163476020-augustus-gene-0.3-mRNA-1 16 9208932 517M208N118M179N406M MD:Z:30A720C289 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 208,179 2 179,208
myseq12000.fa.r112 0.99 augustus_masked-164532107-processed-gene-0.0-mRNA-1 0 7750751 1281M MD:Z:5C7A18C177G67A12G742A246 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-165929190-processed-gene-0.1-mRNA-1 0 7026849 189M MD:Z:155A33 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168293811-snap-gene-0.33-mRNA-1 0 7148065 154M132N124M221N1221M MD:Z:1499 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 132,221 2 132,221
myseq3000.fa.r112 0.99 maker-167812022-augustus-gene-0.16-mRNA-1 0 9301105 97M99N277M156N53M105N68M99N90M89N85M107N536M MD:Z:1103C102 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 99,156,105,99,89,107 6 99,156,105,99,89,107
myseq0.fa.r112 0.99 augustus_masked-168494055-processed-gene-0.4-mRNA-1 0 7165115 190M282N264M131N254M99N212M198N268M244N556M MD:Z:209T1115A3G172T241 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 282,131,99,198,244 5 282,131,99,198,244
myseq12000.fa.r112 0.99 genemark-166593785-processed-gene-0.1-mRNA-1 16 7671880 384M MD:Z:264T119 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq6000.fa.r112 0.99 augustus_masked-168166395-processed-gene-0.0-mRNA-1 0 6828067 1203M MD:Z:204C258G588T150 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168261704-snap-gene-0.13-mRNA-1 0 7166717 499M281N213M101N219M133N614M MD:Z:419G75C79A122A114A44A182G486C16 NM:i:8 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 281,101,133 3 281,101,133
myseq0.fa.r112 0.99 snap_masked-166030546-processed-gene-0.3-mRNA-1 16 7142095 306M MD:Z:306 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168195165-processed-gene-0.0-mRNA-1 16 7073185 321M MD:Z:133C112A74 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167798770-processed-gene-0.0-mRNA-1 16 7168411 1557M96N435M MD:Z:1481T510 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 96 1 96
myseq0.fa.r112 0.99 augustus_masked-162611389-processed-gene-0.0-mRNA-1 0 7165423 1269M MD:Z:46T110C65C230T37C22G34G86C12C132A308T71C60C43 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168183593-snap-gene-0.44-mRNA-1 16 7056168 407M183N172M108N96M MD:Z:675 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 183,108 2 108,183
myseq0.fa.r112 0.99 augustus_masked-168215451-processed-gene-0.2-mRNA-1 16 7151635 1365M MD:Z:75C1A39C9C306A799G29G10G51T37 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168099434-augustus-gene-0.17-mRNA-1 16 7070209 1351M158N130M231N97M MD:Z:104A840G1T183C446 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 158,231 2 231,158
myseq0.fa.r112 0.99 augustus_masked-168295335-processed-gene-0.0-mRNA-1 0 7129538 456M MD:Z:131C107G216 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168261747-snap-gene-0.5-mRNA-1 0 7169182 255M777N138M390N84M MD:Z:477 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 777,390 2 777,390
myseq0.fa.r112 0.99 augustus_masked-168562696-processed-gene-0.11-mRNA-1 0 7162682 324M MD:Z:24T91T207 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168205361-processed-gene-0.6-mRNA-1 16 7043739 335M MD:Z:335 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167826540-processed-gene-0.5-mRNA-1 16 7164598 2547M MD:Z:118G248G152G744T275G960G44 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-163410974-processed-gene-0.0-mRNA-1 16 7158945 2046M MD:Z:8C1169T586C111T150G17 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167813562-processed-gene-0.1-mRNA-1 16 7094101 2124M MD:Z:410A486T1226 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-159967873-processed-gene-0.5-mRNA-1 16 7025985 1178M MD:Z:252A132T553A238 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168405006-processed-gene-0.1-mRNA-1 0 7088180 2142M MD:Z:404G665G1071 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168053619-processed-gene-0.0-mRNA-1 0 7165826 3015M MD:Z:71G6C223T302G163C54G11A155C14G11C380T327G35G404G679C165 NM:i:15 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-168219591-processed-gene-0.8-mRNA-1 0 9272494 3201M MD:Z:548A3T148T62G59T30G100A19C82C1A133G203A65A2C58C196T2A203C110C38A176T69G71G53A22C156G286G92G186 NM:i:28 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168458829-processed-gene-0.0-mRNA-1 16 7141959 174M MD:Z:21G152 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168511232-processed-gene-0.0-mRNA-1 16 7146836 1887M MD:Z:421C58A503C295T186A419 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168428854-augustus-gene-0.5-mRNA-1 16 6043165 512M893N115M108N407M208N108M102N138M MD:Z:3C218T73C983 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 893,108,208,102 4 102,208,108,893
myseq0.fa.r112 0.99 augustus_masked-168465968-processed-gene-0.0-mRNA-1 0 4637253 2226M MD:Z:1583C244C383G13 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-166871153-processed-gene-0.0-mRNA-1 16 9261638 339M MD:Z:138C1G38C17G135T5 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168190232-processed-gene-0.0-mRNA-1 16 7090043 1035M MD:Z:1035 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-168575482-processed-gene-0.1-mRNA-1 0 9237012 306M MD:Z:186A119 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168537874-snap-gene-0.16-mRNA-1 16 7169082 1276M127N207M1931N751M164N174M307N115M211N211M155N385M177N92M216N308M MD:Z:52A25A1360T1932T146 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 127,1931,164,307,211,155,177,216 8 216,177,155,211,307,164,1931,127
myseq0.fa.r112 0.99 maker-168209844-augustus-gene-0.50-mRNA-1 0 1932803 235M129N215M110N875M MD:Z:175T457A145C451C93 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 129,110 2 129,110
myseq0.fa.r112 0.99 augustus_masked-168325806-processed-gene-0.23-mRNA-1 0 7018020 46M94N140M647N216M MD:Z:402 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 94,647 2 94,647
myseq0.fa.r112 0.99 maker-168572826-snap-gene-0.101-mRNA-1 0 7131995 27M103N111M111N963M MD:Z:140T161T798 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 103,111 2 103,111
myseq0.fa.r112 0.99 maker-168520290-augustus-gene-0.46-mRNA-1 0 7156566 339M958N45M125N105M127N1797M112N189M151N156M MD:Z:71C485T410T1373C51C236 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 958,125,127,112,151 5 958,125,127,112,151
myseq0.fa.r112 0.99 augustus_masked-162273354-processed-gene-0.1-mRNA-1 16 7081674 681M MD:Z:29A28A87T197C33A99A63C9C106A21 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 maker-166556806-augustus-gene-0.3-mRNA-1 16 7725976 443M153N76M92N99M190N99M MD:Z:717 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 153,92,190 3 190,92,153
myseq0.fa.r112 0.99 augustus_masked-166722433-processed-gene-0.0-mRNA-1 0 7154244 957M MD:Z:230C56C62A35C221C236G33T77 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168521317-processed-gene-0.6-mRNA-1 0 7062131 333M MD:Z:333 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168547406-augustus-gene-0.31-mRNA-1 0 7168870 51M242N1051M556N212M252N123M132N195M1408N1366M MD:Z:140G1202T945T708 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 242,556,252,132,1408 5 242,556,252,132,1408
myseq0.fa.r112 0.99 snap_masked-167016301-processed-gene-0.3-mRNA-1 0 6243562 433M378N197M MD:Z:223T211C194 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 378 1 378
myseq0.fa.r112 0.99 augustus_masked-159454866-processed-gene-0.0-mRNA-1 16 7166014 891M1638N383M221N286M MD:Z:972TG406A179 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 1638,221 2 221,1638
myseq0.fa.r112 0.99 augustus_masked-168547957-processed-gene-0.3-mRNA-1 0 7124466 2004M MD:Z:167T1836 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168441364-processed-gene-0.6-mRNA-1 16 7165227 187M26N197M1040N315M MD:Z:699 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 26,1040 2 1040,26
myseq9000.fa.r112 0.99 snap_masked-168414143-processed-gene-0.3-mRNA-1 16 9299689 1398M MD:Z:8C604C315C468 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 maker-168431635-snap-gene-0.80-mRNA-1 16 7164274 659M232N643M MD:Z:1008C293 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 232 1 232
myseq0.fa.r112 0.99 augustus_masked-168577573-processed-gene-1.9-mRNA-1 0 7166182 1458M MD:Z:1169A288 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168548591-processed-gene-0.37-mRNA-1 0 7120060 44M271N99M96N418M MD:Z:65T79A15T153G245 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 271,96 2 271,96
myseq0.fa.r112 0.99 maker-168472071-snap-gene-1.66-mRNA-1 16 7145080 549M106N185M453N960M188N220M MD:Z:825T94T993 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 106,453,188 3 188,453,106
myseq0.fa.r112 0.99 augustus_masked-168550411-processed-gene-0.4-mRNA-1 16 7081757 465M MD:Z:7G29A40A2A19G363 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168577140-processed-gene-0.16-mRNA-1 0 7053076 333M MD:Z:333 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-167063863-processed-gene-0.0-mRNA-1 16 9209444 103M78N76M118N58M150N342M MD:Z:149A429 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 78,118,150 3 150,118,78
myseq3000.fa.r112 0.99 augustus_masked-166926399-processed-gene-0.0-mRNA-1 0 9262571 2766M MD:Z:32G78T1A59C8G426TC7G112G25G208T249A375C231A127C74A426A150C33A47C78 NM:i:20 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167807106-processed-gene-0.10-mRNA-1 16 7146393 669M MD:Z:57G3G29A3A43C17G47T23A46T4T136A250 NM:i:11 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
