bin coverage transcript strand gene cigar MD NM fileName species introns_len introns_num swap.introns_len
myseq0.fa.r112 0.99 augustus_masked-166969463-processed-gene-0.0-mRNA-1 0 7081390 1953M MD:Z:36A1T223G68G54G54G112T248C38G455A436G75A141 NM:i:12 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168208148-processed-gene-0.1-mRNA-1 0 7143734 2358M MD:Z:964G586G139G29C636 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168306296-processed-gene-0.7-mRNA-1 0 1147947 573M MD:Z:90C136C249G42A17AC33 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 snap_masked-167217061-processed-gene-0.3-mRNA-1 0 9142680 2238M MD:Z:122T248A23G93T32C117T69A213C148T162T109T233T356A83A32C20C146T15 NM:i:17 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 augustus_masked-166939593-processed-gene-0.0-mRNA-1 0 5880572 405M MD:Z:405 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168203871-processed-gene-0.26-mRNA-1 0 7164284 330M MD:Z:150T179 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq9000.fa.r112 0.99 augustus_masked-166775230-processed-gene-0.0-mRNA-1 0 7168212 390M MD:Z:9A81G42C97A43T113 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 snap_masked-168191369-processed-gene-0.49-mRNA-1 16 9173277 2022M MD:Z:8C760A643GC55C221G329 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 snap_masked-168099555-processed-gene-0.23-mRNA-1 16 9249453 498M MD:Z:115T103T57C48T17G6T55G41G28T5A13 NM:i:10 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168491198-processed-gene-0.2-mRNA-1 16 7166328 474M MD:Z:266C129C72T4 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-168509131-processed-gene-0.0-mRNA-1 0 9266869 2043M MD:Z:74A186G277G6G79G2G98T12A20G58G78T135T184C277G12A34G495 NM:i:16 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168372370-processed-gene-0.17-mRNA-1 16 7125785 321M MD:Z:37G38T244 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168258397-processed-gene-0.3-mRNA-1 16 7075638 675M MD:Z:51C145C477 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168550602-processed-gene-0.13-mRNA-1 0 7166635 306M MD:Z:306 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168053689-processed-gene-0.2-mRNA-1 16 7141172 1464M MD:Z:1464 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 augustus_masked-161304880-processed-gene-0.0-mRNA-1 0 7692442 429M MD:Z:74C1A30G67C4A10G17A2A6G64G33GT1A22G20G6A39G16 NM:i:17 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-168560011-processed-gene-0.3-mRNA-1 16 9298406 1680M MD:Z:74A239T14G174T68T53T193A13C49T85C3A81A18G7T153T84G177T7A55A6G22T9A46T11C5A9 NM:i:25 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 augustus_masked-164532107-processed-gene-0.0-mRNA-1 0 7750751 1281M MD:Z:5C7A18C177G67A12G742A246 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168384633-processed-gene-0.101-mRNA-1 16 2881435 645M MD:Z:46C186C59C289A52A8 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-165929190-processed-gene-0.1-mRNA-1 0 7026849 189M MD:Z:155A33 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168150751-processed-gene-0.1-mRNA-1 16 7090052 297M MD:Z:27C269 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168361107-processed-gene-0.12-mRNA-1 0 7161959 1806M MD:Z:269A44T29A201T54A236A249G165C424T9G6C109 NM:i:11 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 augustus_masked-167087399-processed-gene-0.1-mRNA-1 16 7748966 306M MD:Z:31T28C233A11 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 genemark-166593785-processed-gene-0.1-mRNA-1 16 7671880 384M MD:Z:264T119 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168531247-processed-gene-0.2-mRNA-1 16 7166325 384M MD:Z:384 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq9000.fa.r112 0.99 augustus_masked-167867781-processed-gene-0.6-mRNA-1 16 3484202 2382M MD:Z:81G56C1003T110G144A11G971 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq6000.fa.r112 0.99 augustus_masked-168166395-processed-gene-0.0-mRNA-1 0 6828067 1203M MD:Z:204C258G588T150 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168529293-processed-gene-0.0-mRNA-1 0 592270 3116M MD:Z:19A38T114G19C23T62G185C189A526G782T317C320C137T372 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-160355095-processed-gene-0.0-mRNA-1 16 7022305 3225M MD:Z:274G34T448T117T168C792G42T430C24A14C28A118C69A2AT116A71A5C13A37C168G38A188T6 NM:i:23 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168364584-processed-gene-0.5-mRNA-1 0 3762980 288M MD:Z:6G18A156A6G20C20A17G38 NM:i:7 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-167965827-processed-gene-0.5-mRNA-1 0 7075525 1515M MD:Z:253C134C83A48A136A122C19T237G149C1A50C155T34G81 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-166030546-processed-gene-0.3-mRNA-1 16 7142095 306M MD:Z:306 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168367166-processed-gene-0.14-mRNA-1 16 7150147 552M MD:Z:164C98G268G19 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168195165-processed-gene-0.0-mRNA-1 16 7073185 321M MD:Z:133C112A74 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-162611389-processed-gene-0.0-mRNA-1 0 7165423 1269M MD:Z:46T110C65C230T37C22G34G86C12C132A308T71C60C43 NM:i:13 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-166386740-processed-gene-0.0-mRNA-1 16 7059008 1101M MD:Z:59T381G49A68A113A6C41T2C341A32 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168215451-processed-gene-0.2-mRNA-1 16 7151635 1365M MD:Z:75C1A39C9C306A799G29G10G51T37 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq9000.fa.r112 0.99 augustus_masked-167151707-processed-gene-0.1-mRNA-1 0 9274184 1638M MD:Z:23T30A125C50G289G80C55C213G765 NM:i:8 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168295335-processed-gene-0.0-mRNA-1 0 7129538 456M MD:Z:131C107G216 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168562696-processed-gene-0.11-mRNA-1 0 7162682 324M MD:Z:24T91T207 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167839493-processed-gene-0.0-mRNA-1 16 7020241 519M MD:Z:128T132C61C120A19T14G39 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168499567-processed-gene-0.6-mRNA-1 0 7056325 570M MD:Z:116G19G43A11C97A74A29C164C5T3 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168205361-processed-gene-0.6-mRNA-1 16 7043739 335M MD:Z:335 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167826540-processed-gene-0.5-mRNA-1 16 7164598 2547M MD:Z:118G248G152G744T275G960G44 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-163410974-processed-gene-0.0-mRNA-1 16 7158945 2046M MD:Z:8C1169T586C111T150G17 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168365605-processed-gene-0.24-mRNA-1 0 7057341 510M MD:Z:510 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-167813562-processed-gene-0.1-mRNA-1 16 7094101 2124M MD:Z:410A486T1226 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-159967873-processed-gene-0.5-mRNA-1 16 7025985 1178M MD:Z:252A132T553A238 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 genemark-165882519-processed-gene-0.0-mRNA-1 16 7127295 321M MD:Z:23A49G21G71T115A1T35 NM:i:6 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168487853-processed-gene-0.36-mRNA-1 0 7138943 243M MD:Z:243 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168405006-processed-gene-0.1-mRNA-1 0 7088180 2142M MD:Z:404G665G1071 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168574625-processed-gene-0.2-mRNA-1 0 7080835 2718M MD:Z:150G397G68G78A33C315C116G22T56C65A7A68G50T52G326C11C59A17C35T272T116G80GA4A1C295 NM:i:25 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168053619-processed-gene-0.0-mRNA-1 0 7165826 3015M MD:Z:71G6C223T302G163C54G11A155C14G11C380T327G35G404G679C165 NM:i:15 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168565283-processed-gene-0.4-mRNA-1 16 5454734 1812M MD:Z:126G882G343G342C115 NM:i:4 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-168219591-processed-gene-0.8-mRNA-1 0 9272494 3201M MD:Z:548A3T148T62G59T30G100A19C82C1A133G203A65A2C58C196T2A203C110C38A176T69G71G53A22C156G286G92G186 NM:i:28 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168458829-processed-gene-0.0-mRNA-1 16 7141959 174M MD:Z:21G152 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168511232-processed-gene-0.0-mRNA-1 16 7146836 1887M MD:Z:421C58A503C295T186A419 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168465968-processed-gene-0.0-mRNA-1 0 4637253 2226M MD:Z:1583C244C383G13 NM:i:3 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-166871153-processed-gene-0.0-mRNA-1 16 9261638 339M MD:Z:138C1G38C17G135T5 NM:i:5 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168190232-processed-gene-0.0-mRNA-1 16 7090043 1035M MD:Z:1035 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-167914815-processed-gene-0.0-mRNA-1 16 9212939 1431M MD:Z:601G469T359 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168534157-processed-gene-0.0-mRNA-1 0 7114344 2748M MD:Z:815G236G6A181A128T110C246GC558C164C25C268 NM:i:11 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq3000.fa.r112 0.99 augustus_masked-168575482-processed-gene-0.1-mRNA-1 0 9237012 306M MD:Z:186A119 NM:i:1 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-168201657-processed-gene-0.21-mRNA-1 0 7160490 327M MD:Z:327 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 snap_masked-168346542-processed-gene-0.4-mRNA-1 16 6336075 359M MD:Z:74A4T37CT64G77CA5A1C21T18C39T7 NM:i:12 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-162273354-processed-gene-0.1-mRNA-1 16 7081674 681M MD:Z:29A28A87T197C33A99A63C9C106A21 NM:i:9 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq12000.fa.r112 0.99 augustus_masked-166088545-processed-gene-0.1-mRNA-1 0 7748961 456M MD:Z:456 NM:i:0 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq9000.fa.r112 0.99 augustus_masked-168288874-processed-gene-0.0-mRNA-1 0 9229527 1365M MD:Z:98C608T657 NM:i:2 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
myseq0.fa.r112 0.99 augustus_masked-163766643-processed-gene-0.1-mRNA-1 16 7052952 2184M MD:Z:147G377T194T5C438A26C17A25A78G27T6G41C32T79C41T34A11T17A412A36T85G23G3C7 NM:i:23 /projects/btl/kgagalova/PHD_projects/SpruceUp/KollectorGeneReconstruction3species/PreliminaryResults1June/data/OverlapTranscriptsPG29_sam.txt PG29 NA 0 NA
