OG0012312	ABT39_00020472-RA	E0M31_00068937-RA
OG0012547	ABT39_00107272-RA	E0M31_00081590-RA
OG0012550	ABT39_00003341-RE	E0M31_00025092-RA
OG0012552	ABT39_00028455-RA	E0M31_00051037-RA
OG0012553	ABT39_00015441-RB	E0M31_00074094-RA
OG0012554	ABT39_00093199-RA	E0M31_00067326-RA
OG0012556	ABT39_00028995-RA	E0M31_00015102-RB
OG0012557	ABT39_00048443-RA	E0M31_00075464-RA
OG0012560	ABT39_00083946-RA	E0M31_00051432-RA
OG0012561	ABT39_00063475-RA	E0M31_00079760-RA
OG0012562	ABT39_00005975-RF	E0M31_00014205-RE
OG0012563	ABT39_00071491-RA	E0M31_00091435-RA
OG0012564	ABT39_00034342-RE	E0M31_00017612-RE
OG0012565	ABT39_00103680-RA	E0M31_00027055-RA
OG0012569	ABT39_00012457-RA	E0M31_00002350-RD
OG0012570	ABT39_00039408-RA	E0M31_00017514-RA
OG0012572	ABT39_00010487-RA	E0M31_00081490-RA
OG0012574	ABT39_00035914-RA	E0M31_00002751-RB
OG0012576	ABT39_00010111-RA	E0M31_00002032-RA
OG0012579	ABT39_00028981-RA	E0M31_00071254-RA
OG0012580	ABT39_00025778-RA	E0M31_00041098-RA
OG0012581	ABT39_00017677-RA	E0M31_00056322-RA
OG0012583	ABT39_00018782-RA	E0M31_00080935-RA
OG0012585	ABT39_00050201-RA	E0M31_00030685-RA
OG0012587	ABT39_00055143-RA	E0M31_00049556-RA
OG0012588	ABT39_00059564-RA	E0M31_00000603-RA
OG0012589	ABT39_00040422-RA	E0M31_00008672-RA
OG0012591	ABT39_00080972-RA	E0M31_00055650-RB
OG0012592	ABT39_00026507-RA	E0M31_00040464-RA
OG0012593	ABT39_00002990-RA	E0M31_00005959-RA
OG0012594	ABT39_00054985-RB	E0M31_00074540-RA
OG0012595	ABT39_00050151-RA	E0M31_00034987-RA
OG0012596	ABT39_00006822-RF	E0M31_00013753-RA
OG0012598	ABT39_00093402-RA	E0M31_00006957-RA
OG0012599	ABT39_00091632-RA	E0M31_00064548-RA
OG0012600	ABT39_00092940-RA	E0M31_00012782-RA
OG0012606	ABT39_00080496-RB	E0M31_00042118-RC
OG0012607	ABT39_00065727-RA	E0M31_00005421-RB
OG0012611	ABT39_00089837-RA	E0M31_00032042-RB
OG0012615	ABT39_00015285-RA	E0M31_00003871-RA
OG0012616	ABT39_00012648-RA	E0M31_00014931-RA
OG0012617	ABT39_00012645-RA	E0M31_00014929-RD
OG0012618	ABT39_00046022-RA	E0M31_00024715-RA
OG0012622	ABT39_00022012-RA	E0M31_00049396-RA
OG0012623	ABT39_00023787-RA	E0M31_00004269-RA
OG0012624	ABT39_00083768-RA	E0M31_00002449-RA
OG0012625	ABT39_00005627-RD	E0M31_00002898-RC
OG0012629	ABT39_00062225-RB	E0M31_00015077-RB
OG0012630	ABT39_00004907-RA	E0M31_00001107-RD
OG0012631	ABT39_00004910-RA	E0M31_00001104-RA
OG0012632	ABT39_00004909-RC	E0M31_00001105-RC
OG0012635	ABT39_00070312-RB	E0M31_00009151-RA
OG0012636	ABT39_00110074-RA	E0M31_00013209-RA
OG0012640	ABT39_00090658-RA	E0M31_00064212-RA
OG0012642	ABT39_00084653-RA	E0M31_00043651-RB
OG0012644	ABT39_00062698-RB	E0M31_00056230-RA
OG0012645	ABT39_00120546-RA	E0M31_00001696-RD
OG0012648	ABT39_00001597-RC	E0M31_00017112-RB
OG0012649	ABT39_00030815-RA	E0M31_00019563-RA
OG0012651	ABT39_00000242-RA	E0M31_00023593-RA
OG0012652	ABT39_00002081-RA	E0M31_00030271-RA
OG0012653	ABT39_00006863-RA	E0M31_00043228-RA
OG0012654	ABT39_00001146-RB	E0M31_00006936-RA
OG0012655	ABT39_00038149-RA	E0M31_00021751-RA
OG0012657	ABT39_00000758-RB	E0M31_00017479-RA
OG0012659	ABT39_00015330-RA	E0M31_00006633-RB
OG0012663	ABT39_00030808-RB	E0M31_00004122-RA
OG0012665	ABT39_00008973-RA	E0M31_00034254-RA
OG0012668	ABT39_00003986-RB	E0M31_00056860-RA
OG0012669	ABT39_00088542-RA	E0M31_00063482-RA
OG0012671	ABT39_00045006-RB	E0M31_00026014-RC
OG0012672	ABT39_00042861-RA	E0M31_00064564-RA
OG0012673	ABT39_00006922-RE	E0M31_00014313-RA
OG0012674	ABT39_00010871-RA	E0M31_00038254-RA
OG0012675	ABT39_00025744-RA	E0M31_00010818-RB
OG0012677	ABT39_00028799-RA	E0M31_00006558-RD
OG0012678	ABT39_00097789-RA	E0M31_00028606-RA
OG0012680	ABT39_00084454-RA	E0M31_00041665-RA
OG0012681	ABT39_00100694-RA	E0M31_00074172-RA
OG0012684	ABT39_00041176-RB	E0M31_00024331-RD
OG0012685	ABT39_00013080-RD	E0M31_00019983-RB
OG0012686	ABT39_00017924-RA	E0M31_00014471-RA
OG0012689	ABT39_00056306-RA	E0M31_00004596-RA
OG0012690	ABT39_00077738-RA	E0M31_00010667-RD
OG0012691	ABT39_00018896-RA	E0M31_00086184-RA
OG0012693	ABT39_00035797-RB	E0M31_00047809-RB
OG0012694	ABT39_00107998-RA	E0M31_00071164-RA
OG0012695	ABT39_00042502-RA	E0M31_00044533-RC
OG0012696	ABT39_00037826-RC	E0M31_00020486-RA
OG0012697	ABT39_00088123-RA	E0M31_00055819-RA
OG0012698	ABT39_00050329-RA	E0M31_00020109-RA
OG0012699	ABT39_00063804-RA	E0M31_00025761-RA
OG0012701	ABT39_00058273-RC	E0M31_00011386-RD
OG0012703	ABT39_00016905-RA	E0M31_00061640-RA
OG0012704	ABT39_00094479-RA	E0M31_00017815-RB
OG0012706	ABT39_00045400-RA	E0M31_00020498-RA
OG0012707	ABT39_00069802-RA	E0M31_00006821-RA
OG0012708	ABT39_00075059-RA	E0M31_00091825-RA
OG0012710	ABT39_00036309-RA	E0M31_00032562-RA
OG0012711	ABT39_00032543-RA	E0M31_00041968-RA
OG0012712	ABT39_00061963-RC	E0M31_00070748-RA
OG0012713	ABT39_00106834-RA	E0M31_00071267-RA
OG0012714	ABT39_00027658-RG	E0M31_00018504-RB
OG0012716	ABT39_00094684-RA	E0M31_00071674-RA
OG0012717	ABT39_00075404-RA	E0M31_00062063-RB
OG0012718	ABT39_00100265-RA	E0M31_00043364-RA
OG0012719	ABT39_00018920-RC	E0M31_00003372-RA
OG0012720	ABT39_00110842-RA	E0M31_00085264-RA
OG0012723	ABT39_00096672-RA	E0M31_00080410-RA
OG0012724	ABT39_00013416-RA	E0M31_00063496-RA
OG0012726	ABT39_00007241-RA	E0M31_00010440-RA
OG0012727	ABT39_00023833-RA	E0M31_00007272-RD
OG0012729	ABT39_00018703-RA	E0M31_00040190-RA
OG0012731	ABT39_00020621-RB	E0M31_00007473-RB
OG0012734	ABT39_00097740-RA	E0M31_00071568-RA
OG0012735	ABT39_00032652-RA	E0M31_00030847-RA
OG0012736	ABT39_00032651-RA	E0M31_00030846-RA
OG0012737	ABT39_00023578-RA	E0M31_00027980-RA
OG0012740	ABT39_00062064-RA	E0M31_00024029-RA
OG0012744	ABT39_00117116-RA	E0M31_00022037-RA
OG0012745	ABT39_00018481-RC	E0M31_00017281-RA
OG0012746	ABT39_00018479-RA	E0M31_00022019-RB
OG0012747	ABT39_00089122-RA	E0M31_00039434-RA
OG0012750	ABT39_00107412-RA	E0M31_00017246-RA
OG0012752	ABT39_00088045-RA	E0M31_00040224-RB
OG0012757	ABT39_00080445-RA	E0M31_00010118-RA
OG0012758	ABT39_00107060-RA	E0M31_00032285-RA
OG0012759	ABT39_00097605-RA	E0M31_00088419-RA
OG0012760	ABT39_00035321-RA	E0M31_00032632-RA
OG0012761	ABT39_00076505-RA	E0M31_00016661-RB
OG0012762	ABT39_00089393-RA	E0M31_00038193-RB
OG0012764	ABT39_00103318-RA	E0M31_00025582-RA
OG0012765	ABT39_00101224-RA	E0M31_00082656-RA
OG0012766	ABT39_00095370-RA	E0M31_00030935-RA
OG0012767	ABT39_00077092-RB	E0M31_00024161-RE
OG0012768	ABT39_00097191-RA	E0M31_00087993-RA
OG0012769	ABT39_00099885-RA	E0M31_00044557-RA
OG0012772	ABT39_00048655-RB	E0M31_00079947-RA
OG0012774	ABT39_00058360-RA	E0M31_00004836-RI
OG0012778	ABT39_00121911-RA	E0M31_00023663-RB
OG0012779	ABT39_00110477-RA	E0M31_00051359-RA
OG0012780	ABT39_00118091-RA	E0M31_00034711-RA
OG0012781	ABT39_00078754-RA	E0M31_00061096-RA
OG0012783	ABT39_00069669-RA	E0M31_00013681-RA
OG0012786	ABT39_00058543-RA	E0M31_00059697-RA
OG0012787	ABT39_00063080-RA	E0M31_00041391-RC
OG0012789	ABT39_00069806-RA	E0M31_00049399-RA
OG0012790	ABT39_00077086-RA	E0M31_00031753-RA
OG0012794	ABT39_00014698-RC	E0M31_00042149-RA
OG0012795	ABT39_00044068-RA	E0M31_00010601-RA
OG0012796	ABT39_00036619-RA	E0M31_00005149-RA
OG0012799	ABT39_00007852-RA	E0M31_00003450-RA
OG0012800	ABT39_00003141-RB	E0M31_00069870-RA
OG0012803	ABT39_00045189-RA	E0M31_00018541-RB
OG0012805	ABT39_00002320-RA	E0M31_00002930-RA
OG0012807	ABT39_00027590-RA	E0M31_00005947-RA
OG0012809	ABT39_00033031-RA	E0M31_00048367-RA
OG0012811	ABT39_00087917-RA	E0M31_00002366-RA
OG0012812	ABT39_00062837-RA	E0M31_00049942-RA
OG0012813	ABT39_00101600-RA	E0M31_00092623-RA
OG0012815	ABT39_00070563-RA	E0M31_00015680-RB
OG0012816	ABT39_00082965-RA	E0M31_00057297-RA
OG0012817	ABT39_00073911-RC	E0M31_00008905-RA
OG0012818	ABT39_00039775-RD	E0M31_00059669-RA
OG0012819	ABT39_00078244-RA	E0M31_00030174-RA
OG0012820	ABT39_00095649-RA	E0M31_00032912-RA
OG0012821	ABT39_00098785-RA	E0M31_00068035-RA
OG0012822	ABT39_00083139-RA	E0M31_00056683-RA
OG0012826	ABT39_00025699-RA	E0M31_00071184-RA
OG0012827	ABT39_00010292-RA	E0M31_00070109-RA
OG0012829	ABT39_00011242-RC	E0M31_00008721-RD
OG0012831	ABT39_00015018-RA	E0M31_00042458-RA
OG0012832	ABT39_00015024-RA	E0M31_00002016-RA
OG0012834	ABT39_00006091-RA	E0M31_00037352-RA
OG0012835	ABT39_00066330-RA	E0M31_00047674-RA
OG0012839	ABT39_00044327-RA	E0M31_00026749-RA
OG0012840	ABT39_00055845-RA	E0M31_00042453-RA
OG0012847	ABT39_00014828-RA	E0M31_00004575-RA
OG0012849	ABT39_00116893-RA	E0M31_00071240-RA
OG0012851	ABT39_00089461-RA	E0M31_00051879-RA
OG0012852	ABT39_00088664-RA	E0M31_00081594-RA
OG0012853	ABT39_00035534-RB	E0M31_00008408-RD
OG0012858	ABT39_00063346-RA	E0M31_00001686-RD
OG0012859	ABT39_00017904-RA	E0M31_00005698-RB
OG0012860	ABT39_00054683-RB	E0M31_00015279-RC
OG0012862	ABT39_00046945-RA	E0M31_00005657-RB
OG0012863	ABT39_00032496-RA	E0M31_00023155-RC
OG0012866	ABT39_00041812-RA	E0M31_00018536-RA
OG0012868	ABT39_00018027-RB	E0M31_00026393-RA
OG0012872	ABT39_00044609-RB	E0M31_00043524-RA
OG0012873	ABT39_00016817-RA	E0M31_00019801-RA
OG0012874	ABT39_00059114-RA	E0M31_00067225-RA
OG0012875	ABT39_00033743-RA	E0M31_00060817-RA
OG0012877	ABT39_00029704-RC	E0M31_00044912-RA
OG0012878	ABT39_00059958-RA	E0M31_00032180-RA
OG0012879	ABT39_00001768-RA	E0M31_00053515-RA
OG0012880	ABT39_00018713-RD	E0M31_00016501-RB
OG0012883	ABT39_00072995-RA	E0M31_00053547-RA
OG0012884	ABT39_00008464-RA	E0M31_00031855-RA
OG0012886	ABT39_00038370-RB	E0M31_00024175-RC
OG0012889	ABT39_00005066-RA	E0M31_00061364-RA
OG0012890	ABT39_00055520-RA	E0M31_00071724-RA
OG0012891	ABT39_00091271-RA	E0M31_00043092-RA
OG0012892	ABT39_00024972-RA	E0M31_00055935-RA
OG0012893	ABT39_00025362-RA	E0M31_00033131-RA
OG0012894	ABT39_00036592-RA	E0M31_00006308-RB
OG0012895	ABT39_00051445-RA	E0M31_00029639-RA
OG0012897	ABT39_00046296-RA	E0M31_00071288-RA
OG0012898	ABT39_00025056-RB	E0M31_00040832-RA
OG0012899	ABT39_00068914-RA	E0M31_00069502-RA
OG0012900	ABT39_00056424-RA	E0M31_00066629-RA
OG0012901	ABT39_00009403-RA	E0M31_00031565-RA
OG0012902	ABT39_00013525-RA	E0M31_00022819-RA
OG0012903	ABT39_00019670-RA	E0M31_00020693-RA
OG0012904	ABT39_00018051-RE	E0M31_00012454-RD
OG0012905	ABT39_00013250-RB	E0M31_00018562-RA
OG0012907	ABT39_00038091-RA	E0M31_00065979-RA
OG0012908	ABT39_00038860-RA	E0M31_00041870-RA
OG0012911	ABT39_00001668-RA	E0M31_00021031-RA
OG0012913	ABT39_00013382-RA	E0M31_00005649-RB
OG0012917	ABT39_00072654-RA	E0M31_00002529-RA
OG0012921	ABT39_00074598-RA	E0M31_00004157-RB
OG0012923	ABT39_00041688-RA	E0M31_00032750-RA
OG0012924	ABT39_00023887-RB	E0M31_00021744-RA
OG0012925	ABT39_00051888-RB	E0M31_00044045-RA
OG0012926	ABT39_00105278-RA	E0M31_00001835-RD
OG0012928	ABT39_00079058-RA	E0M31_00035742-RA
OG0012929	ABT39_00072582-RA	E0M31_00014231-RA
OG0012930	ABT39_00016913-RB	E0M31_00077807-RA
OG0012931	ABT39_00032262-RA	E0M31_00012963-RC
OG0012932	ABT39_00021373-RA	E0M31_00001561-RA
OG0012935	ABT39_00036248-RB	E0M31_00042600-RA
OG0012936	ABT39_00011078-RD	E0M31_00034535-RA
OG0012937	ABT39_00031717-RA	E0M31_00038614-RA
OG0012938	ABT39_00010355-RA	E0M31_00003716-RB
OG0012939	ABT39_00029279-RE	E0M31_00080680-RA
OG0012940	ABT39_00068756-RA	E0M31_00028618-RA
OG0012941	ABT39_00030210-RB	E0M31_00034120-RA
OG0012942	ABT39_00030209-RA	E0M31_00060176-RA
OG0012943	ABT39_00060467-RA	E0M31_00031247-RA
OG0012944	ABT39_00009702-RA	E0M31_00028751-RD
OG0012946	ABT39_00108074-RA	E0M31_00027700-RB
OG0012949	ABT39_00096809-RA	E0M31_00030922-RA
OG0012951	ABT39_00076767-RA	E0M31_00022751-RA
OG0012953	ABT39_00025920-RA	E0M31_00028120-RA
OG0012954	ABT39_00041353-RB	E0M31_00010431-RE
OG0012958	ABT39_00032200-RA	E0M31_00026843-RA
OG0012959	ABT39_00032789-RC	E0M31_00034029-RC
OG0012960	ABT39_00017416-RD	E0M31_00040526-RA
OG0012964	ABT39_00019483-RA	E0M31_00027720-RA
OG0012965	ABT39_00023473-RC	E0M31_00073808-RA
OG0012966	ABT39_00010327-RD	E0M31_00060851-RA
OG0012967	ABT39_00017191-RA	E0M31_00072392-RA
OG0012969	ABT39_00064870-RA	E0M31_00055105-RA
OG0012970	ABT39_00083496-RA	E0M31_00058452-RA
OG0012972	ABT39_00020942-RB	E0M31_00028403-RC
OG0012975	ABT39_00036866-RB	E0M31_00013774-RA
OG0012976	ABT39_00076813-RA	E0M31_00035474-RA
OG0012977	ABT39_00029902-RB	E0M31_00031275-RA
OG0012978	ABT39_00055974-RA	E0M31_00068385-RA
OG0012979	ABT39_00066142-RB	E0M31_00064376-RA
OG0012980	ABT39_00028348-RA	E0M31_00079400-RA
OG0012983	ABT39_00021827-RA	E0M31_00069712-RA
OG0012985	ABT39_00067518-RA	E0M31_00084134-RA
OG0012987	ABT39_00019031-RA	E0M31_00011098-RA
OG0012988	ABT39_00058380-RB	E0M31_00017987-RA
OG0012989	ABT39_00055087-RB	E0M31_00029287-RA
OG0012991	ABT39_00029209-RA	E0M31_00049490-RA
OG0012992	ABT39_00066836-RA	E0M31_00068814-RA
OG0012996	ABT39_00010814-RC	E0M31_00010952-RA
OG0012997	ABT39_00027018-RA	E0M31_00045199-RA
OG0012999	ABT39_00015182-RA	E0M31_00058634-RA
OG0013004	ABT39_00058718-RA	E0M31_00075167-RA
OG0013005	ABT39_00050524-RA	E0M31_00025725-RB
OG0013007	ABT39_00040325-RB	E0M31_00024449-RA
OG0013009	ABT39_00025576-RB	E0M31_00050368-RA
OG0013011	ABT39_00095251-RA	E0M31_00021161-RA
OG0013012	ABT39_00066956-RA	E0M31_00026813-RA
OG0013014	ABT39_00069042-RA	E0M31_00004810-RC
OG0013015	ABT39_00061925-RA	E0M31_00067359-RA
OG0013016	ABT39_00081180-RA	E0M31_00058911-RA
OG0013017	ABT39_00062429-RA	E0M31_00052178-RA
OG0013018	ABT39_00079862-RA	E0M31_00038829-RA
OG0013020	ABT39_00030238-RD	E0M31_00032944-RC
OG0013023	ABT39_00087828-RA	E0M31_00027607-RA
OG0013027	ABT39_00054098-RA	E0M31_00014222-RA
OG0013028	ABT39_00029298-RA	E0M31_00077878-RA
OG0013029	ABT39_00023162-RA	E0M31_00038522-RA
OG0013030	ABT39_00032358-RA	E0M31_00027311-RA
OG0013032	ABT39_00021101-RA	E0M31_00007213-RA
OG0013033	ABT39_00048067-RA	E0M31_00018476-RD
OG0013034	ABT39_00013469-RC	E0M31_00001544-RA
OG0013036	ABT39_00045425-RB	E0M31_00012402-RB
OG0013037	ABT39_00051310-RB	E0M31_00031372-RB
OG0013038	ABT39_00034591-RA	E0M31_00030630-RA
OG0013040	ABT39_00091785-RA	E0M31_00065262-RA
OG0013042	ABT39_00072420-RA	E0M31_00028946-RA
OG0013043	ABT39_00101012-RA	E0M31_00080219-RA
OG0013044	ABT39_00026242-RA	E0M31_00033446-RA
OG0013045	ABT39_00026243-RC	E0M31_00040719-RA
OG0013047	ABT39_00057373-RA	E0M31_00037648-RA
OG0013050	ABT39_00051862-RB	E0M31_00029078-RB
OG0013052	ABT39_00078881-RA	E0M31_00049622-RA
OG0013055	ABT39_00006680-RD	E0M31_00008856-RC
OG0013056	ABT39_00045312-RA	E0M31_00020189-RA
OG0013058	ABT39_00067174-RA	E0M31_00047652-RA
OG0013059	ABT39_00031195-RA	E0M31_00047286-RA
OG0013061	ABT39_00062763-RA	E0M31_00089071-RA
OG0013065	ABT39_00009758-RB	E0M31_00006405-RA
OG0013067	ABT39_00036861-RB	E0M31_00081340-RA
OG0013069	ABT39_00027533-RB	E0M31_00005038-RD
OG0013070	ABT39_00031293-RA	E0M31_00045261-RA
OG0013073	ABT39_00008033-RD	E0M31_00046759-RA
OG0013074	ABT39_00003380-RA	E0M31_00091930-RA
OG0013075	ABT39_00031652-RB	E0M31_00051540-RB
OG0013076	ABT39_00009377-RA	E0M31_00008196-RG
OG0013078	ABT39_00060410-RA	E0M31_00039459-RA
OG0013080	ABT39_00021929-RA	E0M31_00018170-RD
OG0013082	ABT39_00033630-RA	E0M31_00011499-RB
OG0013083	ABT39_00031833-RA	E0M31_00049386-RA
OG0013085	ABT39_00049942-RA	E0M31_00028283-RA
OG0013086	ABT39_00084088-RA	E0M31_00012075-RA
OG0013087	ABT39_00016853-RB	E0M31_00005833-RD
OG0013089	ABT39_00004692-RB	E0M31_00029307-RA
OG0013090	ABT39_00004694-RA	E0M31_00026130-RB
OG0013092	ABT39_00031200-RA	E0M31_00051570-RA
OG0013096	ABT39_00021189-RB	E0M31_00012725-RB
