OG0012315	DB47_00014285-RA	ABT39_00035779-RB
OG0012681	DB47_00061523-RA	ABT39_00100694-RA
OG0012682	DB47_00029054-RA	ABT39_00099367-RA
OG0012684	DB47_00018427-RB	ABT39_00041176-RB
OG0012685	DB47_00011275-RB	ABT39_00013080-RD
OG0012686	DB47_00020401-RB	ABT39_00017924-RA
OG0012690	DB47_00019537-RE	ABT39_00077738-RA
OG0012693	DB47_00048867-RA	ABT39_00035797-RB
OG0012695	DB47_00053640-RA	ABT39_00042502-RA
OG0012697	DB47_00021388-RA	ABT39_00088123-RA
OG0012698	DB47_00060137-RA	ABT39_00050329-RA
OG0012701	DB47_00022792-RB	ABT39_00058273-RC
OG0012702	DB47_00053077-RA	ABT39_00071183-RA
OG0012704	DB47_00071850-RA	ABT39_00094479-RA
OG0012707	DB47_00045340-RA	ABT39_00069802-RA
OG0012708	DB47_00015364-RA	ABT39_00075059-RA
OG0012710	DB47_00031362-RA	ABT39_00036309-RA
OG0012712	DB47_00045937-RB	ABT39_00061963-RC
OG0012714	DB47_00006747-RA	ABT39_00027658-RG
OG0012715	DB47_00038291-RA	ABT39_00110444-RA
OG0012716	DB47_00007414-RA	ABT39_00094684-RA
OG0012717	DB47_00051729-RA	ABT39_00075404-RA
OG0012719	DB47_00006454-RB	ABT39_00018920-RC
OG0012720	DB47_00066893-RA	ABT39_00110842-RA
OG0012721	DB47_00010602-RA	ABT39_00077882-RA
OG0012723	DB47_00067438-RA	ABT39_00096672-RA
OG0012725	DB47_00015067-RA	ABT39_00031418-RA
OG0012726	DB47_00026783-RA	ABT39_00007241-RA
OG0012727	DB47_00034329-RB	ABT39_00023833-RA
OG0012728	DB47_00021855-RA	ABT39_00009708-RA
OG0012731	DB47_00020285-RA	ABT39_00020621-RB
OG0012735	DB47_00026948-RA	ABT39_00032652-RA
OG0012736	DB47_00026949-RA	ABT39_00032651-RA
OG0012737	DB47_00020662-RB	ABT39_00023578-RA
OG0012738	DB47_00005916-RA	ABT39_00069718-RA
OG0012740	DB47_00001305-RB	ABT39_00062064-RA
OG0012744	DB47_00019200-RA	ABT39_00117116-RA
OG0012745	DB47_00013740-RB	ABT39_00018481-RC
OG0012746	DB47_00016713-RB	ABT39_00018479-RA
OG0012750	DB47_00040085-RA	ABT39_00107412-RA
OG0012752	DB47_00005933-RA	ABT39_00088045-RA
OG0012754	DB47_00040693-RB	ABT39_00088116-RA
OG0012756	DB47_00039494-RA	ABT39_00029245-RA
OG0012758	DB47_00052335-RA	ABT39_00107060-RA
OG0012760	DB47_00031258-RA	ABT39_00035321-RA
OG0012761	DB47_00011749-RA	ABT39_00076505-RA
OG0012764	DB47_00002238-RB	ABT39_00103318-RA
OG0012765	DB47_00003817-RA	ABT39_00101224-RA
OG0012772	DB47_00009941-RA	ABT39_00048655-RB
OG0012774	DB47_00028310-RA	ABT39_00058360-RA
OG0012779	DB47_00008891-RA	ABT39_00110477-RA
OG0012782	DB47_00014377-RA	ABT39_00081006-RA
OG0012783	DB47_00030057-RA	ABT39_00069669-RA
OG0012787	DB47_00023948-RA	ABT39_00063080-RA
OG0012789	DB47_00002909-RB	ABT39_00069806-RA
OG0012790	DB47_00050540-RA	ABT39_00077086-RA
OG0012791	DB47_00021575-RA	ABT39_00065187-RA
OG0012794	DB47_00034130-RA	ABT39_00014698-RC
OG0012795	DB47_00029039-RB	ABT39_00044068-RA
OG0012796	DB47_00015459-RA	ABT39_00036619-RA
OG0012799	DB47_00006969-RA	ABT39_00007852-RA
OG0012800	DB47_00045766-RA	ABT39_00003141-RB
OG0012802	DB47_00016829-RA	ABT39_00001860-RA
OG0012803	DB47_00001595-RA	ABT39_00045189-RA
OG0012804	DB47_00022802-RA	ABT39_00015678-RA
OG0012807	DB47_00010059-RA	ABT39_00027590-RA
OG0012813	DB47_00036616-RA	ABT39_00101600-RA
OG0012814	DB47_00079170-RA	ABT39_00121947-RA
OG0012816	DB47_00013941-RA	ABT39_00082965-RA
OG0012817	DB47_00012705-RA	ABT39_00073911-RC
OG0012818	DB47_00033084-RA	ABT39_00039775-RD
OG0012819	DB47_00035679-RA	ABT39_00078244-RA
OG0012820	DB47_00037649-RA	ABT39_00095649-RA
OG0012821	DB47_00028473-RB	ABT39_00098785-RA
OG0012822	DB47_00071533-RA	ABT39_00083139-RA
OG0012823	DB47_00029895-RA	ABT39_00052564-RA
OG0012824	DB47_00060267-RA	ABT39_00098517-RA
OG0012826	DB47_00052125-RA	ABT39_00025699-RA
OG0012829	DB47_00020841-RC	ABT39_00011242-RC
OG0012830	DB47_00022981-RA	ABT39_00015016-RA
OG0012831	DB47_00022978-RA	ABT39_00015018-RA
OG0012832	DB47_00042088-RA	ABT39_00015024-RA
OG0012834	DB47_00033343-RB	ABT39_00006091-RA
OG0012835	DB47_00026859-RB	ABT39_00066330-RA
OG0012838	DB47_00031059-RB	ABT39_00078509-RA
OG0012839	DB47_00019757-RA	ABT39_00044327-RA
OG0012842	DB47_00010821-RA	ABT39_00098550-RA
OG0012847	DB47_00030441-RA	ABT39_00014828-RA
OG0012848	DB47_00033459-RA	ABT39_00084282-RA
OG0012849	DB47_00027858-RA	ABT39_00116893-RA
OG0012852	DB47_00066713-RA	ABT39_00088664-RA
OG0012853	DB47_00034522-RB	ABT39_00035534-RB
OG0012857	DB47_00042341-RA	ABT39_00084288-RA
OG0012858	DB47_00030115-RA	ABT39_00063346-RA
OG0012859	DB47_00004204-RF	ABT39_00017904-RA
OG0012860	DB47_00017403-RB	ABT39_00054683-RB
OG0012862	DB47_00000721-RB	ABT39_00046945-RA
OG0012863	DB47_00029780-RB	ABT39_00032496-RA
OG0012866	DB47_00038135-RB	ABT39_00041812-RA
OG0012868	DB47_00007351-RC	ABT39_00018027-RB
OG0012873	DB47_00000774-RD	ABT39_00016817-RA
OG0012874	DB47_00079730-RA	ABT39_00059114-RA
OG0012875	DB47_00032226-RA	ABT39_00033743-RA
OG0012877	DB47_00021955-RA	ABT39_00029704-RC
OG0012878	DB47_00037070-RB	ABT39_00059958-RA
OG0012879	DB47_00044598-RA	ABT39_00001768-RA
OG0012880	DB47_00008011-RA	ABT39_00018713-RD
OG0012881	DB47_00006804-RA	ABT39_00055908-RA
OG0012882	DB47_00025927-RA	ABT39_00049137-RA
OG0012884	DB47_00022877-RD	ABT39_00008464-RA
OG0012886	DB47_00012407-RA	ABT39_00038370-RB
OG0012887	DB47_00045896-RA	ABT39_00032063-RB
OG0012889	DB47_00027608-RA	ABT39_00005066-RA
OG0012890	DB47_00043069-RA	ABT39_00055520-RA
OG0012891	DB47_00043059-RA	ABT39_00091271-RA
OG0012892	DB47_00035047-RA	ABT39_00024972-RA
OG0012893	DB47_00032435-RA	ABT39_00025362-RA
OG0012894	DB47_00038137-RB	ABT39_00036592-RA
OG0012895	DB47_00028444-RB	ABT39_00051445-RA
OG0012896	DB47_00028979-RA	ABT39_00045700-RA
OG0012897	DB47_00002839-RA	ABT39_00046296-RA
OG0012898	DB47_00007175-RA	ABT39_00025056-RB
OG0012900	DB47_00015245-RA	ABT39_00056424-RA
OG0012901	DB47_00015338-RA	ABT39_00009403-RA
OG0012902	DB47_00060024-RA	ABT39_00013525-RA
OG0012903	DB47_00024030-RD	ABT39_00019670-RA
OG0012904	DB47_00017934-RA	ABT39_00018051-RE
OG0012906	DB47_00043951-RA	ABT39_00012878-RB
OG0012908	DB47_00008720-RA	ABT39_00038860-RA
OG0012913	DB47_00018226-RA	ABT39_00013382-RA
OG0012914	DB47_00077539-RA	ABT39_00052220-RA
OG0012915	DB47_00053629-RA	ABT39_00079883-RA
OG0012916	DB47_00003271-RH	ABT39_00005825-RA
OG0012917	DB47_00002543-RE	ABT39_00072654-RA
OG0012921	DB47_00008133-RA	ABT39_00074598-RA
OG0012922	DB47_00046477-RA	ABT39_00116063-RA
OG0012924	DB47_00043309-RA	ABT39_00023887-RB
OG0012925	DB47_00046722-RB	ABT39_00051888-RB
OG0012926	DB47_00021700-RD	ABT39_00105278-RA
OG0012928	DB47_00016183-RA	ABT39_00079058-RA
OG0012931	DB47_00010779-RA	ABT39_00032262-RA
OG0012932	DB47_00003522-RA	ABT39_00021373-RA
OG0012935	DB47_00030973-RA	ABT39_00036248-RB
OG0012936	DB47_00015612-RE	ABT39_00011078-RD
OG0012938	DB47_00003835-RF	ABT39_00010355-RA
OG0012939	DB47_00010311-RA	ABT39_00029279-RE
OG0012941	DB47_00023593-RB	ABT39_00030210-RB
OG0012943	DB47_00041525-RA	ABT39_00060467-RA
OG0012944	DB47_00029969-RB	ABT39_00009702-RA
OG0012946	DB47_00036501-RC	ABT39_00108074-RA
OG0012947	DB47_00021349-RA	ABT39_00081377-RA
OG0012949	DB47_00038330-RA	ABT39_00096809-RA
OG0012952	DB47_00020390-RA	ABT39_00066150-RA
OG0012953	DB47_00003878-RB	ABT39_00025920-RA
OG0012954	DB47_00006473-RB	ABT39_00041353-RB
OG0012955	DB47_00038421-RA	ABT39_00031336-RA
OG0012957	DB47_00006923-RA	ABT39_00013686-RA
OG0012958	DB47_00033693-RA	ABT39_00032200-RA
OG0012959	DB47_00039672-RC	ABT39_00032789-RC
OG0012960	DB47_00056013-RA	ABT39_00017416-RD
OG0012962	DB47_00059398-RA	ABT39_00067886-RA
OG0012965	DB47_00031689-RA	ABT39_00023473-RC
OG0012966	DB47_00036434-RA	ABT39_00010327-RD
OG0012970	DB47_00026356-RB	ABT39_00083496-RA
OG0012972	DB47_00015386-RA	ABT39_00020942-RB
OG0012975	DB47_00014556-RB	ABT39_00036866-RB
OG0012976	DB47_00050282-RB	ABT39_00076813-RA
OG0012977	DB47_00047677-RA	ABT39_00029902-RB
OG0012980	DB47_00011019-RB	ABT39_00028348-RA
OG0012982	DB47_00051862-RA	ABT39_00085249-RA
OG0012983	DB47_00027369-RA	ABT39_00021827-RA
OG0012984	DB47_00008491-RA	ABT39_00079469-RA
OG0012985	DB47_00071460-RA	ABT39_00067518-RA
OG0012987	DB47_00007779-RA	ABT39_00019031-RA
OG0012989	DB47_00047437-RA	ABT39_00055087-RB
OG0012994	DB47_00003378-RA	ABT39_00053461-RA
OG0012996	DB47_00037958-RB	ABT39_00010814-RC
OG0012997	DB47_00039662-RA	ABT39_00027018-RA
OG0012998	DB47_00055271-RA	ABT39_00038237-RA
OG0012999	DB47_00040137-RA	ABT39_00015182-RA
OG0013003	DB47_00014018-RB	ABT39_00031662-RB
OG0013004	DB47_00058018-RA	ABT39_00058718-RA
OG0013005	DB47_00050705-RA	ABT39_00050524-RA
OG0013006	DB47_00022062-RA	ABT39_00078943-RA
OG0013007	DB47_00012501-RA	ABT39_00040325-RB
OG0013009	DB47_00008538-RA	ABT39_00025576-RB
OG0013010	DB47_00030321-RA	ABT39_00077802-RA
OG0013012	DB47_00054095-RA	ABT39_00066956-RA
OG0013014	DB47_00014769-RE	ABT39_00069042-RA
OG0013015	DB47_00009177-RA	ABT39_00061925-RA
OG0013016	DB47_00052937-RA	ABT39_00081180-RA
OG0013017	DB47_00058518-RA	ABT39_00062429-RA
OG0013018	DB47_00001922-RA	ABT39_00079862-RA
OG0013020	DB47_00011743-RA	ABT39_00030238-RD
OG0013021	DB47_00018763-RA	ABT39_00025809-RA
OG0013023	DB47_00048513-RA	ABT39_00087828-RA
OG0013025	DB47_00060129-RA	ABT39_00072491-RA
OG0013027	DB47_00031246-RA	ABT39_00054098-RA
OG0013028	DB47_00016328-RA	ABT39_00029298-RA
OG0013029	DB47_00034677-RB	ABT39_00023162-RA
OG0013032	DB47_00000743-RA	ABT39_00021101-RA
OG0013033	DB47_00023323-RA	ABT39_00048067-RA
OG0013034	DB47_00005241-RB	ABT39_00013469-RC
OG0013035	DB47_00012836-RA	ABT39_00002491-RA
OG0013036	DB47_00033740-RA	ABT39_00045425-RB
OG0013038	DB47_00016216-RA	ABT39_00034591-RA
OG0013040	DB47_00061884-RA	ABT39_00091785-RA
OG0013042	DB47_00029637-RA	ABT39_00072420-RA
OG0013045	DB47_00040906-RC	ABT39_00026243-RC
OG0013047	DB47_00058192-RA	ABT39_00057373-RA
OG0013049	DB47_00008564-RA	ABT39_00026930-RA
OG0013050	DB47_00060850-RA	ABT39_00051862-RB
OG0013052	DB47_00074961-RA	ABT39_00078881-RA
OG0013054	DB47_00038309-RA	ABT39_00066588-RA
OG0013055	DB47_00009782-RB	ABT39_00006680-RD
OG0013056	DB47_00039944-RA	ABT39_00045312-RA
OG0013058	DB47_00013392-RA	ABT39_00067174-RA
OG0013059	DB47_00043599-RA	ABT39_00031195-RA
OG0013061	DB47_00020904-RA	ABT39_00062763-RA
OG0013065	DB47_00008618-RA	ABT39_00009758-RB
OG0013066	DB47_00016172-RA	ABT39_00036860-RA
OG0013067	DB47_00016170-RB	ABT39_00036861-RB
OG0013068	DB47_00056989-RA	ABT39_00036862-RA
OG0013069	DB47_00003399-RD	ABT39_00027533-RB
OG0013070	DB47_00011188-RA	ABT39_00031293-RA
OG0013071	DB47_00063995-RA	ABT39_00086221-RA
OG0013073	DB47_00014705-RB	ABT39_00008033-RD
OG0013074	DB47_00069568-RA	ABT39_00003380-RA
OG0013075	DB47_00047262-RB	ABT39_00031652-RB
OG0013078	DB47_00012614-RA	ABT39_00060410-RA
OG0013080	DB47_00001615-RD	ABT39_00021929-RA
OG0013081	DB47_00066633-RA	ABT39_00006046-RG
OG0013082	DB47_00057467-RA	ABT39_00033630-RA
OG0013083	DB47_00014298-RB	ABT39_00031833-RA
OG0013084	DB47_00074780-RA	ABT39_00067836-RA
OG0013087	DB47_00022743-RB	ABT39_00016853-RB
OG0013090	DB47_00021849-RB	ABT39_00004694-RA
OG0013091	DB47_00055224-RA	ABT39_00061461-RA
OG0013094	DB47_00057417-RA	ABT39_00029789-RA
OG0013098	DB47_00004794-RA	ABT39_00028229-RA
OG0013099	DB47_00017789-RB	ABT39_00006711-RA
OG0013100	DB47_00064193-RA	ABT39_00094514-RA
OG0013104	DB47_00038230-RC	ABT39_00082505-RA
OG0013106	DB47_00068234-RA	ABT39_00033857-RA
OG0013107	DB47_00026410-RA	ABT39_00105734-RA
OG0013109	DB47_00050504-RA	ABT39_00077205-RA
OG0013112	DB47_00002464-RF	ABT39_00019538-RC
OG0013113	DB47_00063221-RA	ABT39_00092012-RA
OG0013114	DB47_00063657-RA	ABT39_00072452-RA
OG0013116	DB47_00005748-RB	ABT39_00083011-RA
OG0013118	DB47_00037018-RA	ABT39_00076353-RA
OG0013119	DB47_00041432-RA	ABT39_00079785-RA
OG0013121	DB47_00012103-RB	ABT39_00061586-RA
OG0013123	DB47_00037154-RA	ABT39_00009558-RA
OG0013124	DB47_00033652-RB	ABT39_00014348-RB
OG0013125	DB47_00023933-RA	ABT39_00029057-RA
OG0013126	DB47_00037862-RA	ABT39_00117727-RA
OG0013127	DB47_00023189-RA	ABT39_00091284-RA
OG0013128	DB47_00045789-RA	ABT39_00064119-RA
OG0013129	DB47_00047965-RA	ABT39_00025980-RC
OG0013130	DB47_00037601-RA	ABT39_00014304-RA
OG0013131	DB47_00010486-RA	ABT39_00011012-RA
OG0013132	DB47_00008792-RA	ABT39_00000518-RA
OG0013133	DB47_00012649-RA	ABT39_00010153-RB
OG0013134	DB47_00009953-RA	ABT39_00014201-RD
OG0013135	DB47_00075156-RA	ABT39_00062647-RA
OG0013137	DB47_00047103-RA	ABT39_00063237-RA
OG0013138	DB47_00053720-RA	ABT39_00033433-RC
OG0013140	DB47_00009502-RA	ABT39_00042336-RA
OG0013141	DB47_00011702-RC	ABT39_00067720-RA
OG0013142	DB47_00044912-RA	ABT39_00007695-RA
OG0013143	DB47_00057742-RA	ABT39_00066579-RA
OG0013146	DB47_00045489-RA	ABT39_00051399-RA
OG0013147	DB47_00037744-RB	ABT39_00056411-RB
OG0013150	DB47_00036822-RA	ABT39_00031830-RA
OG0013152	DB47_00011642-RA	ABT39_00029097-RA
OG0013153	DB47_00036280-RA	ABT39_00041888-RA
OG0013154	DB47_00021550-RA	ABT39_00033392-RA
OG0013156	DB47_00012152-RD	ABT39_00014956-RD
OG0013157	DB47_00034803-RA	ABT39_00059635-RA
OG0013159	DB47_00044114-RA	ABT39_00014941-RA
OG0013160	DB47_00053899-RA	ABT39_00013565-RA
