OG0012315	ABT39_00035779-RB	DB47_00014285-RA
OG0012578	ABT39_00069636-RA	DB47_00032229-RA
OG0012580	ABT39_00025778-RA	DB47_00017186-RA
OG0012583	ABT39_00018782-RA	DB47_00045039-RA
OG0012584	ABT39_00077739-RA	DB47_00033494-RA
OG0012585	ABT39_00050201-RA	DB47_00050523-RA
OG0012586	ABT39_00094808-RA	DB47_00063299-RA
OG0012587	ABT39_00055143-RA	DB47_00076689-RA
OG0012588	ABT39_00059564-RA	DB47_00029636-RA
OG0012589	ABT39_00040422-RA	DB47_00019734-RA
OG0012590	ABT39_00081806-RA	DB47_00033114-RB
OG0012591	ABT39_00080972-RA	DB47_00011399-RA
OG0012592	ABT39_00026507-RA	DB47_00017558-RA
OG0012593	ABT39_00002990-RA	DB47_00030093-RB
OG0012594	ABT39_00054985-RB	DB47_00019684-RB
OG0012595	ABT39_00050151-RA	DB47_00023552-RA
OG0012596	ABT39_00006822-RF	DB47_00056255-RA
OG0012598	ABT39_00093402-RA	DB47_00060465-RA
OG0012599	ABT39_00091632-RA	DB47_00035062-RA
OG0012600	ABT39_00092940-RA	DB47_00047218-RA
OG0012602	ABT39_00099190-RA	DB47_00061201-RA
OG0012605	ABT39_00049243-RB	DB47_00007905-RA
OG0012606	ABT39_00080496-RB	DB47_00030505-RA
OG0012607	ABT39_00065727-RA	DB47_00007364-RC
OG0012611	ABT39_00089837-RA	DB47_00031317-RA
OG0012613	ABT39_00081488-RA	DB47_00050801-RA
OG0012615	ABT39_00015285-RA	DB47_00031958-RA
OG0012616	ABT39_00012648-RA	DB47_00020041-RA
OG0012617	ABT39_00012645-RA	DB47_00020039-RA
OG0012623	ABT39_00023787-RA	DB47_00013875-RA
OG0012624	ABT39_00083768-RA	DB47_00062645-RA
OG0012625	ABT39_00005627-RD	DB47_00017709-RB
OG0012629	ABT39_00062225-RB	DB47_00017998-RA
OG0012630	ABT39_00004907-RA	DB47_00006903-RB
OG0012631	ABT39_00004910-RA	DB47_00006906-RA
OG0012632	ABT39_00004909-RC	DB47_00006905-RF
OG0012633	ABT39_00027385-RA	DB47_00022182-RA
OG0012635	ABT39_00070312-RB	DB47_00035537-RA
OG0012638	ABT39_00109237-RA	DB47_00045243-RA
OG0012640	ABT39_00090658-RA	DB47_00013738-RA
OG0012644	ABT39_00062698-RB	DB47_00023257-RB
OG0012645	ABT39_00120546-RA	DB47_00018724-RA
OG0012649	ABT39_00030815-RA	DB47_00012947-RA
OG0012651	ABT39_00000242-RA	DB47_00025225-RB
OG0012653	ABT39_00006863-RA	DB47_00012620-RA
OG0012654	ABT39_00001146-RB	DB47_00002625-RA
OG0012655	ABT39_00038149-RA	DB47_00017627-RB
OG0012656	ABT39_00000763-RA	DB47_00009227-RA
OG0012657	ABT39_00000758-RB	DB47_00046945-RA
OG0012659	ABT39_00015330-RA	DB47_00012771-RC
OG0012661	ABT39_00022738-RA	DB47_00027485-RA
OG0012663	ABT39_00030808-RB	DB47_00002999-RB
OG0012664	ABT39_00030881-RA	DB47_00012328-RB
OG0012667	ABT39_00010030-RA	DB47_00003916-RA
OG0012668	ABT39_00003986-RB	DB47_00053513-RA
OG0012669	ABT39_00088542-RA	DB47_00031594-RA
OG0012671	ABT39_00045006-RB	DB47_00032055-RD
OG0012672	ABT39_00042861-RA	DB47_00044500-RA
OG0012673	ABT39_00006922-RE	DB47_00031136-RA
OG0012675	ABT39_00025744-RA	DB47_00027913-RA
OG0012677	ABT39_00028799-RA	DB47_00010935-RC
OG0012678	ABT39_00097789-RA	DB47_00042581-RA
OG0012679	ABT39_00079308-RA	DB47_00011635-RA
OG0012680	ABT39_00084454-RA	DB47_00053939-RA
OG0012681	ABT39_00100694-RA	DB47_00061523-RA
OG0012682	ABT39_00099367-RA	DB47_00029054-RA
OG0012684	ABT39_00041176-RB	DB47_00018427-RB
OG0012685	ABT39_00013080-RD	DB47_00011275-RB
OG0012686	ABT39_00017924-RA	DB47_00020401-RB
OG0012690	ABT39_00077738-RA	DB47_00019537-RE
OG0012693	ABT39_00035797-RB	DB47_00048867-RA
OG0012695	ABT39_00042502-RA	DB47_00053640-RA
OG0012697	ABT39_00088123-RA	DB47_00021388-RA
OG0012698	ABT39_00050329-RA	DB47_00060137-RA
OG0012701	ABT39_00058273-RC	DB47_00022792-RB
OG0012702	ABT39_00071183-RA	DB47_00053077-RA
OG0012704	ABT39_00094479-RA	DB47_00071850-RA
OG0012707	ABT39_00069802-RA	DB47_00045340-RA
OG0012708	ABT39_00075059-RA	DB47_00015364-RA
OG0012710	ABT39_00036309-RA	DB47_00031362-RA
OG0012712	ABT39_00061963-RC	DB47_00045937-RB
OG0012714	ABT39_00027658-RG	DB47_00006747-RA
OG0012715	ABT39_00110444-RA	DB47_00038291-RA
OG0012716	ABT39_00094684-RA	DB47_00007414-RA
OG0012717	ABT39_00075404-RA	DB47_00051729-RA
OG0012719	ABT39_00018920-RC	DB47_00006454-RB
OG0012720	ABT39_00110842-RA	DB47_00066893-RA
OG0012721	ABT39_00077882-RA	DB47_00010602-RA
OG0012723	ABT39_00096672-RA	DB47_00067438-RA
OG0012725	ABT39_00031418-RA	DB47_00015067-RA
OG0012726	ABT39_00007241-RA	DB47_00026783-RA
OG0012727	ABT39_00023833-RA	DB47_00034329-RB
OG0012728	ABT39_00009708-RA	DB47_00021855-RA
OG0012731	ABT39_00020621-RB	DB47_00020285-RA
OG0012735	ABT39_00032652-RA	DB47_00026948-RA
OG0012736	ABT39_00032651-RA	DB47_00026949-RA
OG0012737	ABT39_00023578-RA	DB47_00020662-RB
OG0012738	ABT39_00069718-RA	DB47_00005916-RA
OG0012740	ABT39_00062064-RA	DB47_00001305-RB
OG0012744	ABT39_00117116-RA	DB47_00019200-RA
OG0012745	ABT39_00018481-RC	DB47_00013740-RB
OG0012746	ABT39_00018479-RA	DB47_00016713-RB
OG0012750	ABT39_00107412-RA	DB47_00040085-RA
OG0012752	ABT39_00088045-RA	DB47_00005933-RA
OG0012754	ABT39_00088116-RA	DB47_00040693-RB
OG0012756	ABT39_00029245-RA	DB47_00039494-RA
OG0012758	ABT39_00107060-RA	DB47_00052335-RA
OG0012760	ABT39_00035321-RA	DB47_00031258-RA
OG0012761	ABT39_00076505-RA	DB47_00011749-RA
OG0012764	ABT39_00103318-RA	DB47_00002238-RB
OG0012765	ABT39_00101224-RA	DB47_00003817-RA
OG0012772	ABT39_00048655-RB	DB47_00009941-RA
OG0012774	ABT39_00058360-RA	DB47_00028310-RA
OG0012779	ABT39_00110477-RA	DB47_00008891-RA
OG0012782	ABT39_00081006-RA	DB47_00014377-RA
OG0012783	ABT39_00069669-RA	DB47_00030057-RA
OG0012787	ABT39_00063080-RA	DB47_00023948-RA
OG0012789	ABT39_00069806-RA	DB47_00002909-RB
OG0012790	ABT39_00077086-RA	DB47_00050540-RA
OG0012791	ABT39_00065187-RA	DB47_00021575-RA
OG0012794	ABT39_00014698-RC	DB47_00034130-RA
OG0012795	ABT39_00044068-RA	DB47_00029039-RB
OG0012796	ABT39_00036619-RA	DB47_00015459-RA
OG0012799	ABT39_00007852-RA	DB47_00006969-RA
OG0012800	ABT39_00003141-RB	DB47_00045766-RA
OG0012802	ABT39_00001860-RA	DB47_00016829-RA
OG0012803	ABT39_00045189-RA	DB47_00001595-RA
OG0012804	ABT39_00015678-RA	DB47_00022802-RA
OG0012807	ABT39_00027590-RA	DB47_00010059-RA
OG0012813	ABT39_00101600-RA	DB47_00036616-RA
OG0012814	ABT39_00121947-RA	DB47_00079170-RA
OG0012816	ABT39_00082965-RA	DB47_00013941-RA
OG0012817	ABT39_00073911-RC	DB47_00012705-RA
OG0012818	ABT39_00039775-RD	DB47_00033084-RA
OG0012819	ABT39_00078244-RA	DB47_00035679-RA
OG0012820	ABT39_00095649-RA	DB47_00037649-RA
OG0012821	ABT39_00098785-RA	DB47_00028473-RB
OG0012822	ABT39_00083139-RA	DB47_00071533-RA
OG0012823	ABT39_00052564-RA	DB47_00029895-RA
OG0012824	ABT39_00098517-RA	DB47_00060267-RA
OG0012826	ABT39_00025699-RA	DB47_00052125-RA
OG0012829	ABT39_00011242-RC	DB47_00020841-RC
OG0012830	ABT39_00015016-RA	DB47_00022981-RA
OG0012831	ABT39_00015018-RA	DB47_00022978-RA
OG0012832	ABT39_00015024-RA	DB47_00042088-RA
OG0012834	ABT39_00006091-RA	DB47_00033343-RB
OG0012835	ABT39_00066330-RA	DB47_00026859-RB
OG0012838	ABT39_00078509-RA	DB47_00031059-RB
OG0012839	ABT39_00044327-RA	DB47_00019757-RA
OG0012842	ABT39_00098550-RA	DB47_00010821-RA
OG0012847	ABT39_00014828-RA	DB47_00030441-RA
OG0012848	ABT39_00084282-RA	DB47_00033459-RA
OG0012849	ABT39_00116893-RA	DB47_00027858-RA
OG0012852	ABT39_00088664-RA	DB47_00066713-RA
OG0012853	ABT39_00035534-RB	DB47_00034522-RB
OG0012857	ABT39_00084288-RA	DB47_00042341-RA
OG0012858	ABT39_00063346-RA	DB47_00030115-RA
OG0012859	ABT39_00017904-RA	DB47_00004204-RF
OG0012860	ABT39_00054683-RB	DB47_00017403-RB
OG0012862	ABT39_00046945-RA	DB47_00000721-RB
OG0012863	ABT39_00032496-RA	DB47_00029780-RB
OG0012866	ABT39_00041812-RA	DB47_00038135-RB
OG0012868	ABT39_00018027-RB	DB47_00007351-RC
OG0012873	ABT39_00016817-RA	DB47_00000774-RD
OG0012874	ABT39_00059114-RA	DB47_00079730-RA
OG0012875	ABT39_00033743-RA	DB47_00032226-RA
OG0012877	ABT39_00029704-RC	DB47_00021955-RA
OG0012878	ABT39_00059958-RA	DB47_00037070-RB
OG0012879	ABT39_00001768-RA	DB47_00044598-RA
OG0012880	ABT39_00018713-RD	DB47_00008011-RA
OG0012881	ABT39_00055908-RA	DB47_00006804-RA
OG0012882	ABT39_00049137-RA	DB47_00025927-RA
OG0012884	ABT39_00008464-RA	DB47_00022877-RD
OG0012886	ABT39_00038370-RB	DB47_00012407-RA
OG0012887	ABT39_00032063-RB	DB47_00045896-RA
OG0012889	ABT39_00005066-RA	DB47_00027608-RA
OG0012890	ABT39_00055520-RA	DB47_00043069-RA
OG0012891	ABT39_00091271-RA	DB47_00043059-RA
OG0012892	ABT39_00024972-RA	DB47_00035047-RA
OG0012893	ABT39_00025362-RA	DB47_00032435-RA
OG0012894	ABT39_00036592-RA	DB47_00038137-RB
OG0012895	ABT39_00051445-RA	DB47_00028444-RB
OG0012896	ABT39_00045700-RA	DB47_00028979-RA
OG0012897	ABT39_00046296-RA	DB47_00002839-RA
OG0012898	ABT39_00025056-RB	DB47_00007175-RA
OG0012900	ABT39_00056424-RA	DB47_00015245-RA
OG0012901	ABT39_00009403-RA	DB47_00015338-RA
OG0012902	ABT39_00013525-RA	DB47_00060024-RA
OG0012903	ABT39_00019670-RA	DB47_00024030-RD
OG0012904	ABT39_00018051-RE	DB47_00017934-RA
OG0012906	ABT39_00012878-RB	DB47_00043951-RA
OG0012908	ABT39_00038860-RA	DB47_00008720-RA
OG0012913	ABT39_00013382-RA	DB47_00018226-RA
OG0012914	ABT39_00052220-RA	DB47_00077539-RA
OG0012915	ABT39_00079883-RA	DB47_00053629-RA
OG0012916	ABT39_00005825-RA	DB47_00003271-RH
OG0012917	ABT39_00072654-RA	DB47_00002543-RE
OG0012921	ABT39_00074598-RA	DB47_00008133-RA
OG0012922	ABT39_00116063-RA	DB47_00046477-RA
OG0012924	ABT39_00023887-RB	DB47_00043309-RA
OG0012925	ABT39_00051888-RB	DB47_00046722-RB
OG0012926	ABT39_00105278-RA	DB47_00021700-RD
OG0012928	ABT39_00079058-RA	DB47_00016183-RA
OG0012931	ABT39_00032262-RA	DB47_00010779-RA
OG0012932	ABT39_00021373-RA	DB47_00003522-RA
OG0012935	ABT39_00036248-RB	DB47_00030973-RA
OG0012936	ABT39_00011078-RD	DB47_00015612-RE
OG0012938	ABT39_00010355-RA	DB47_00003835-RF
OG0012939	ABT39_00029279-RE	DB47_00010311-RA
OG0012941	ABT39_00030210-RB	DB47_00023593-RB
OG0012943	ABT39_00060467-RA	DB47_00041525-RA
OG0012944	ABT39_00009702-RA	DB47_00029969-RB
OG0012946	ABT39_00108074-RA	DB47_00036501-RC
OG0012947	ABT39_00081377-RA	DB47_00021349-RA
OG0012949	ABT39_00096809-RA	DB47_00038330-RA
OG0012952	ABT39_00066150-RA	DB47_00020390-RA
OG0012953	ABT39_00025920-RA	DB47_00003878-RB
OG0012954	ABT39_00041353-RB	DB47_00006473-RB
OG0012955	ABT39_00031336-RA	DB47_00038421-RA
OG0012957	ABT39_00013686-RA	DB47_00006923-RA
OG0012958	ABT39_00032200-RA	DB47_00033693-RA
OG0012959	ABT39_00032789-RC	DB47_00039672-RC
OG0012960	ABT39_00017416-RD	DB47_00056013-RA
OG0012962	ABT39_00067886-RA	DB47_00059398-RA
OG0012965	ABT39_00023473-RC	DB47_00031689-RA
OG0012966	ABT39_00010327-RD	DB47_00036434-RA
OG0012970	ABT39_00083496-RA	DB47_00026356-RB
OG0012972	ABT39_00020942-RB	DB47_00015386-RA
OG0012975	ABT39_00036866-RB	DB47_00014556-RB
OG0012976	ABT39_00076813-RA	DB47_00050282-RB
OG0012977	ABT39_00029902-RB	DB47_00047677-RA
OG0012980	ABT39_00028348-RA	DB47_00011019-RB
OG0012982	ABT39_00085249-RA	DB47_00051862-RA
OG0012983	ABT39_00021827-RA	DB47_00027369-RA
OG0012984	ABT39_00079469-RA	DB47_00008491-RA
OG0012985	ABT39_00067518-RA	DB47_00071460-RA
OG0012987	ABT39_00019031-RA	DB47_00007779-RA
OG0012989	ABT39_00055087-RB	DB47_00047437-RA
OG0012994	ABT39_00053461-RA	DB47_00003378-RA
OG0012996	ABT39_00010814-RC	DB47_00037958-RB
OG0012997	ABT39_00027018-RA	DB47_00039662-RA
OG0012998	ABT39_00038237-RA	DB47_00055271-RA
OG0012999	ABT39_00015182-RA	DB47_00040137-RA
OG0013003	ABT39_00031662-RB	DB47_00014018-RB
OG0013004	ABT39_00058718-RA	DB47_00058018-RA
OG0013005	ABT39_00050524-RA	DB47_00050705-RA
OG0013006	ABT39_00078943-RA	DB47_00022062-RA
OG0013007	ABT39_00040325-RB	DB47_00012501-RA
OG0013009	ABT39_00025576-RB	DB47_00008538-RA
OG0013010	ABT39_00077802-RA	DB47_00030321-RA
OG0013012	ABT39_00066956-RA	DB47_00054095-RA
OG0013014	ABT39_00069042-RA	DB47_00014769-RE
OG0013015	ABT39_00061925-RA	DB47_00009177-RA
OG0013016	ABT39_00081180-RA	DB47_00052937-RA
OG0013017	ABT39_00062429-RA	DB47_00058518-RA
OG0013018	ABT39_00079862-RA	DB47_00001922-RA
OG0013020	ABT39_00030238-RD	DB47_00011743-RA
OG0013021	ABT39_00025809-RA	DB47_00018763-RA
OG0013023	ABT39_00087828-RA	DB47_00048513-RA
OG0013025	ABT39_00072491-RA	DB47_00060129-RA
OG0013027	ABT39_00054098-RA	DB47_00031246-RA
OG0013028	ABT39_00029298-RA	DB47_00016328-RA
OG0013029	ABT39_00023162-RA	DB47_00034677-RB
OG0013032	ABT39_00021101-RA	DB47_00000743-RA
OG0013033	ABT39_00048067-RA	DB47_00023323-RA
OG0013034	ABT39_00013469-RC	DB47_00005241-RB
OG0013035	ABT39_00002491-RA	DB47_00012836-RA
OG0013036	ABT39_00045425-RB	DB47_00033740-RA
OG0013038	ABT39_00034591-RA	DB47_00016216-RA
OG0013040	ABT39_00091785-RA	DB47_00061884-RA
OG0013042	ABT39_00072420-RA	DB47_00029637-RA
OG0013045	ABT39_00026243-RC	DB47_00040906-RC
OG0013047	ABT39_00057373-RA	DB47_00058192-RA
OG0013049	ABT39_00026930-RA	DB47_00008564-RA
OG0013050	ABT39_00051862-RB	DB47_00060850-RA
OG0013052	ABT39_00078881-RA	DB47_00074961-RA
OG0013054	ABT39_00066588-RA	DB47_00038309-RA
OG0013055	ABT39_00006680-RD	DB47_00009782-RB
OG0013056	ABT39_00045312-RA	DB47_00039944-RA
OG0013058	ABT39_00067174-RA	DB47_00013392-RA
OG0013059	ABT39_00031195-RA	DB47_00043599-RA
OG0013061	ABT39_00062763-RA	DB47_00020904-RA
OG0013065	ABT39_00009758-RB	DB47_00008618-RA
OG0013066	ABT39_00036860-RA	DB47_00016172-RA
OG0013067	ABT39_00036861-RB	DB47_00016170-RB
OG0013068	ABT39_00036862-RA	DB47_00056989-RA
OG0013069	ABT39_00027533-RB	DB47_00003399-RD
OG0013070	ABT39_00031293-RA	DB47_00011188-RA
OG0013071	ABT39_00086221-RA	DB47_00063995-RA
OG0013073	ABT39_00008033-RD	DB47_00014705-RB
OG0013074	ABT39_00003380-RA	DB47_00069568-RA
OG0013075	ABT39_00031652-RB	DB47_00047262-RB
OG0013078	ABT39_00060410-RA	DB47_00012614-RA
OG0013080	ABT39_00021929-RA	DB47_00001615-RD
OG0013081	ABT39_00006046-RG	DB47_00066633-RA
OG0013082	ABT39_00033630-RA	DB47_00057467-RA
OG0013083	ABT39_00031833-RA	DB47_00014298-RB
OG0013084	ABT39_00067836-RA	DB47_00074780-RA
OG0013087	ABT39_00016853-RB	DB47_00022743-RB
OG0013090	ABT39_00004694-RA	DB47_00021849-RB
OG0013091	ABT39_00061461-RA	DB47_00055224-RA
OG0013094	ABT39_00029789-RA	DB47_00057417-RA
OG0013098	ABT39_00028229-RA	DB47_00004794-RA
OG0013099	ABT39_00006711-RA	DB47_00017789-RB
OG0013100	ABT39_00094514-RA	DB47_00064193-RA
OG0013104	ABT39_00082505-RA	DB47_00038230-RC
OG0013106	ABT39_00033857-RA	DB47_00068234-RA
OG0013107	ABT39_00105734-RA	DB47_00026410-RA
OG0013109	ABT39_00077205-RA	DB47_00050504-RA
OG0013112	ABT39_00019538-RC	DB47_00002464-RF
OG0013113	ABT39_00092012-RA	DB47_00063221-RA
OG0013114	ABT39_00072452-RA	DB47_00063657-RA
OG0013116	ABT39_00083011-RA	DB47_00005748-RB
OG0013118	ABT39_00076353-RA	DB47_00037018-RA
OG0013119	ABT39_00079785-RA	DB47_00041432-RA
OG0013121	ABT39_00061586-RA	DB47_00012103-RB
OG0013123	ABT39_00009558-RA	DB47_00037154-RA
OG0013124	ABT39_00014348-RB	DB47_00033652-RB
OG0013125	ABT39_00029057-RA	DB47_00023933-RA
OG0013126	ABT39_00117727-RA	DB47_00037862-RA
OG0013127	ABT39_00091284-RA	DB47_00023189-RA
OG0013128	ABT39_00064119-RA	DB47_00045789-RA
OG0013129	ABT39_00025980-RC	DB47_00047965-RA
OG0013130	ABT39_00014304-RA	DB47_00037601-RA
OG0013131	ABT39_00011012-RA	DB47_00010486-RA
OG0013132	ABT39_00000518-RA	DB47_00008792-RA
OG0013133	ABT39_00010153-RB	DB47_00012649-RA
OG0013134	ABT39_00014201-RD	DB47_00009953-RA
OG0013135	ABT39_00062647-RA	DB47_00075156-RA
OG0013137	ABT39_00063237-RA	DB47_00047103-RA
OG0013138	ABT39_00033433-RC	DB47_00053720-RA
OG0013140	ABT39_00042336-RA	DB47_00009502-RA
OG0013141	ABT39_00067720-RA	DB47_00011702-RC
OG0013142	ABT39_00007695-RA	DB47_00044912-RA
OG0013143	ABT39_00066579-RA	DB47_00057742-RA
OG0013146	ABT39_00051399-RA	DB47_00045489-RA
OG0013147	ABT39_00056411-RB	DB47_00037744-RB
OG0013150	ABT39_00031830-RA	DB47_00036822-RA
OG0013152	ABT39_00029097-RA	DB47_00011642-RA
OG0013153	ABT39_00041888-RA	DB47_00036280-RA
OG0013154	ABT39_00033392-RA	DB47_00021550-RA
OG0013156	ABT39_00014956-RD	DB47_00012152-RD
OG0013157	ABT39_00059635-RA	DB47_00034803-RA
OG0013159	ABT39_00014941-RA	DB47_00044114-RA
OG0013160	ABT39_00013565-RA	DB47_00053899-RA
