OG0012315	E0M31_00014648-RC	DB47_00014285-RA
OG0012726	E0M31_00010440-RA	DB47_00026783-RA
OG0012727	E0M31_00007272-RD	DB47_00034329-RB
OG0012731	E0M31_00007473-RB	DB47_00020285-RA
OG0012735	E0M31_00030847-RA	DB47_00026948-RA
OG0012736	E0M31_00030846-RA	DB47_00026949-RA
OG0012737	E0M31_00027980-RA	DB47_00020662-RB
OG0012740	E0M31_00024029-RA	DB47_00001305-RB
OG0012744	E0M31_00022037-RA	DB47_00019200-RA
OG0012745	E0M31_00017281-RA	DB47_00013740-RB
OG0012746	E0M31_00022019-RB	DB47_00016713-RB
OG0012750	E0M31_00017246-RA	DB47_00040085-RA
OG0012752	E0M31_00040224-RB	DB47_00005933-RA
OG0012758	E0M31_00032285-RA	DB47_00052335-RA
OG0012760	E0M31_00032632-RA	DB47_00031258-RA
OG0012761	E0M31_00016661-RB	DB47_00011749-RA
OG0012764	E0M31_00025582-RA	DB47_00002238-RB
OG0012765	E0M31_00082656-RA	DB47_00003817-RA
OG0012772	E0M31_00079947-RA	DB47_00009941-RA
OG0012774	E0M31_00004836-RI	DB47_00028310-RA
OG0012779	E0M31_00051359-RA	DB47_00008891-RA
OG0012783	E0M31_00013681-RA	DB47_00030057-RA
OG0012787	E0M31_00041391-RC	DB47_00023948-RA
OG0012789	E0M31_00049399-RA	DB47_00002909-RB
OG0012790	E0M31_00031753-RA	DB47_00050540-RA
OG0012794	E0M31_00042149-RA	DB47_00034130-RA
OG0012795	E0M31_00010601-RA	DB47_00029039-RB
OG0012796	E0M31_00005149-RA	DB47_00015459-RA
OG0012799	E0M31_00003450-RA	DB47_00006969-RA
OG0012800	E0M31_00069870-RA	DB47_00045766-RA
OG0012803	E0M31_00018541-RB	DB47_00001595-RA
OG0012807	E0M31_00005947-RA	DB47_00010059-RA
OG0012813	E0M31_00092623-RA	DB47_00036616-RA
OG0012816	E0M31_00057297-RA	DB47_00013941-RA
OG0012817	E0M31_00008905-RA	DB47_00012705-RA
OG0012818	E0M31_00059669-RA	DB47_00033084-RA
OG0012819	E0M31_00030174-RA	DB47_00035679-RA
OG0012820	E0M31_00032912-RA	DB47_00037649-RA
OG0012821	E0M31_00068035-RA	DB47_00028473-RB
OG0012822	E0M31_00056683-RA	DB47_00071533-RA
OG0012826	E0M31_00071184-RA	DB47_00052125-RA
OG0012829	E0M31_00008721-RD	DB47_00020841-RC
OG0012831	E0M31_00042458-RA	DB47_00022978-RA
OG0012832	E0M31_00002016-RA	DB47_00042088-RA
OG0012834	E0M31_00037352-RA	DB47_00033343-RB
OG0012835	E0M31_00047674-RA	DB47_00026859-RB
OG0012839	E0M31_00026749-RA	DB47_00019757-RA
OG0012847	E0M31_00004575-RA	DB47_00030441-RA
OG0012849	E0M31_00071240-RA	DB47_00027858-RA
OG0012852	E0M31_00081594-RA	DB47_00066713-RA
OG0012853	E0M31_00008408-RD	DB47_00034522-RB
OG0012858	E0M31_00001686-RD	DB47_00030115-RA
OG0012859	E0M31_00005698-RB	DB47_00004204-RF
OG0012860	E0M31_00015279-RC	DB47_00017403-RB
OG0012862	E0M31_00005657-RB	DB47_00000721-RB
OG0012863	E0M31_00023155-RC	DB47_00029780-RB
OG0012866	E0M31_00018536-RA	DB47_00038135-RB
OG0012868	E0M31_00026393-RA	DB47_00007351-RC
OG0012873	E0M31_00019801-RA	DB47_00000774-RD
OG0012874	E0M31_00067225-RA	DB47_00079730-RA
OG0012875	E0M31_00060817-RA	DB47_00032226-RA
OG0012877	E0M31_00044912-RA	DB47_00021955-RA
OG0012878	E0M31_00032180-RA	DB47_00037070-RB
OG0012879	E0M31_00053515-RA	DB47_00044598-RA
OG0012880	E0M31_00016501-RB	DB47_00008011-RA
OG0012884	E0M31_00031855-RA	DB47_00022877-RD
OG0012886	E0M31_00024175-RC	DB47_00012407-RA
OG0012889	E0M31_00061364-RA	DB47_00027608-RA
OG0012890	E0M31_00071724-RA	DB47_00043069-RA
OG0012891	E0M31_00043092-RA	DB47_00043059-RA
OG0012892	E0M31_00055935-RA	DB47_00035047-RA
OG0012893	E0M31_00033131-RA	DB47_00032435-RA
OG0012894	E0M31_00006308-RB	DB47_00038137-RB
OG0012895	E0M31_00029639-RA	DB47_00028444-RB
OG0012897	E0M31_00071288-RA	DB47_00002839-RA
OG0012898	E0M31_00040832-RA	DB47_00007175-RA
OG0012900	E0M31_00066629-RA	DB47_00015245-RA
OG0012901	E0M31_00031565-RA	DB47_00015338-RA
OG0012902	E0M31_00022819-RA	DB47_00060024-RA
OG0012903	E0M31_00020693-RA	DB47_00024030-RD
OG0012904	E0M31_00012454-RD	DB47_00017934-RA
OG0012908	E0M31_00041870-RA	DB47_00008720-RA
OG0012913	E0M31_00005649-RB	DB47_00018226-RA
OG0012917	E0M31_00002529-RA	DB47_00002543-RE
OG0012921	E0M31_00004157-RB	DB47_00008133-RA
OG0012924	E0M31_00021744-RA	DB47_00043309-RA
OG0012925	E0M31_00044045-RA	DB47_00046722-RB
OG0012926	E0M31_00001835-RD	DB47_00021700-RD
OG0012928	E0M31_00035742-RA	DB47_00016183-RA
OG0012931	E0M31_00012963-RC	DB47_00010779-RA
OG0012932	E0M31_00001561-RA	DB47_00003522-RA
OG0012935	E0M31_00042600-RA	DB47_00030973-RA
OG0012936	E0M31_00034535-RA	DB47_00015612-RE
OG0012938	E0M31_00003716-RB	DB47_00003835-RF
OG0012939	E0M31_00080680-RA	DB47_00010311-RA
OG0012941	E0M31_00034120-RA	DB47_00023593-RB
OG0012943	E0M31_00031247-RA	DB47_00041525-RA
OG0012944	E0M31_00028751-RD	DB47_00029969-RB
OG0012946	E0M31_00027700-RB	DB47_00036501-RC
OG0012949	E0M31_00030922-RA	DB47_00038330-RA
OG0012953	E0M31_00028120-RA	DB47_00003878-RB
OG0012954	E0M31_00010431-RE	DB47_00006473-RB
OG0012958	E0M31_00026843-RA	DB47_00033693-RA
OG0012959	E0M31_00034029-RC	DB47_00039672-RC
OG0012960	E0M31_00040526-RA	DB47_00056013-RA
OG0012965	E0M31_00073808-RA	DB47_00031689-RA
OG0012966	E0M31_00060851-RA	DB47_00036434-RA
OG0012970	E0M31_00058452-RA	DB47_00026356-RB
OG0012972	E0M31_00028403-RC	DB47_00015386-RA
OG0012975	E0M31_00013774-RA	DB47_00014556-RB
OG0012976	E0M31_00035474-RA	DB47_00050282-RB
OG0012977	E0M31_00031275-RA	DB47_00047677-RA
OG0012980	E0M31_00079400-RA	DB47_00011019-RB
OG0012983	E0M31_00069712-RA	DB47_00027369-RA
OG0012985	E0M31_00084134-RA	DB47_00071460-RA
OG0012987	E0M31_00011098-RA	DB47_00007779-RA
OG0012989	E0M31_00029287-RA	DB47_00047437-RA
OG0012996	E0M31_00010952-RA	DB47_00037958-RB
OG0012997	E0M31_00045199-RA	DB47_00039662-RA
OG0012999	E0M31_00058634-RA	DB47_00040137-RA
OG0013004	E0M31_00075167-RA	DB47_00058018-RA
OG0013005	E0M31_00025725-RB	DB47_00050705-RA
OG0013007	E0M31_00024449-RA	DB47_00012501-RA
OG0013009	E0M31_00050368-RA	DB47_00008538-RA
OG0013012	E0M31_00026813-RA	DB47_00054095-RA
OG0013014	E0M31_00004810-RC	DB47_00014769-RE
OG0013015	E0M31_00067359-RA	DB47_00009177-RA
OG0013016	E0M31_00058911-RA	DB47_00052937-RA
OG0013017	E0M31_00052178-RA	DB47_00058518-RA
OG0013018	E0M31_00038829-RA	DB47_00001922-RA
OG0013020	E0M31_00032944-RC	DB47_00011743-RA
OG0013023	E0M31_00027607-RA	DB47_00048513-RA
OG0013027	E0M31_00014222-RA	DB47_00031246-RA
OG0013028	E0M31_00077878-RA	DB47_00016328-RA
OG0013029	E0M31_00038522-RA	DB47_00034677-RB
OG0013032	E0M31_00007213-RA	DB47_00000743-RA
OG0013033	E0M31_00018476-RD	DB47_00023323-RA
OG0013034	E0M31_00001544-RA	DB47_00005241-RB
OG0013036	E0M31_00012402-RB	DB47_00033740-RA
OG0013038	E0M31_00030630-RA	DB47_00016216-RA
OG0013040	E0M31_00065262-RA	DB47_00061884-RA
OG0013042	E0M31_00028946-RA	DB47_00029637-RA
OG0013045	E0M31_00040719-RA	DB47_00040906-RC
OG0013047	E0M31_00037648-RA	DB47_00058192-RA
OG0013050	E0M31_00029078-RB	DB47_00060850-RA
OG0013052	E0M31_00049622-RA	DB47_00074961-RA
OG0013055	E0M31_00008856-RC	DB47_00009782-RB
OG0013056	E0M31_00020189-RA	DB47_00039944-RA
OG0013058	E0M31_00047652-RA	DB47_00013392-RA
OG0013059	E0M31_00047286-RA	DB47_00043599-RA
OG0013061	E0M31_00089071-RA	DB47_00020904-RA
OG0013065	E0M31_00006405-RA	DB47_00008618-RA
OG0013067	E0M31_00081340-RA	DB47_00016170-RB
OG0013069	E0M31_00005038-RD	DB47_00003399-RD
OG0013070	E0M31_00045261-RA	DB47_00011188-RA
OG0013073	E0M31_00046759-RA	DB47_00014705-RB
OG0013074	E0M31_00091930-RA	DB47_00069568-RA
OG0013075	E0M31_00051540-RB	DB47_00047262-RB
OG0013078	E0M31_00039459-RA	DB47_00012614-RA
OG0013080	E0M31_00018170-RD	DB47_00001615-RD
OG0013082	E0M31_00011499-RB	DB47_00057467-RA
OG0013083	E0M31_00049386-RA	DB47_00014298-RB
OG0013087	E0M31_00005833-RD	DB47_00022743-RB
OG0013090	E0M31_00026130-RB	DB47_00021849-RB
OG0013098	E0M31_00003851-RA	DB47_00004794-RA
OG0013100	E0M31_00072516-RA	DB47_00064193-RA
OG0013104	E0M31_00057282-RA	DB47_00038230-RC
OG0013106	E0M31_00075700-RA	DB47_00068234-RA
OG0013107	E0M31_00082646-RA	DB47_00026410-RA
OG0013112	E0M31_00021393-RD	DB47_00002464-RF
OG0013114	E0M31_00083923-RA	DB47_00063657-RA
OG0013118	E0M31_00041558-RB	DB47_00037018-RA
OG0013121	E0M31_00006191-RB	DB47_00012103-RB
OG0013123	E0M31_00017775-RA	DB47_00037154-RA
OG0013125	E0M31_00043423-RA	DB47_00023933-RA
OG0013126	E0M31_00071321-RA	DB47_00037862-RA
OG0013127	E0M31_00014129-RA	DB47_00023189-RA
OG0013128	E0M31_00028201-RB	DB47_00045789-RA
OG0013129	E0M31_00005109-RB	DB47_00047965-RA
OG0013130	E0M31_00017693-RA	DB47_00037601-RA
OG0013132	E0M31_00004649-RA	DB47_00008792-RA
OG0013133	E0M31_00008284-RA	DB47_00012649-RA
OG0013134	E0M31_00005974-RC	DB47_00009953-RA
OG0013135	E0M31_00048539-RA	DB47_00075156-RA
OG0013137	E0M31_00042099-RA	DB47_00047103-RA
OG0013138	E0M31_00021377-RA	DB47_00053720-RA
OG0013140	E0M31_00072716-RA	DB47_00009502-RA
OG0013141	E0M31_00023429-RA	DB47_00011702-RC
OG0013142	E0M31_00025237-RB	DB47_00044912-RA
OG0013143	E0M31_00076068-RA	DB47_00057742-RA
OG0013146	E0M31_00037726-RA	DB47_00045489-RA
OG0013147	E0M31_00040544-RB	DB47_00037744-RB
OG0013152	E0M31_00047152-RB	DB47_00011642-RA
OG0013153	E0M31_00029161-RA	DB47_00036280-RA
OG0013154	E0M31_00004681-RA	DB47_00021550-RA
OG0013156	E0M31_00026275-RB	DB47_00012152-RD
OG0013157	E0M31_00024179-RA	DB47_00034803-RA
OG0013159	E0M31_00017631-RA	DB47_00044114-RA
OG0013162	E0M31_00005065-RA	DB47_00027745-RB
OG0013164	E0M31_00050041-RA	DB47_00001630-RA
OG0013166	E0M31_00059752-RA	DB47_00018236-RB
OG0013168	E0M31_00008219-RD	DB47_00000119-RB
OG0013175	E0M31_00001607-RB	DB47_00013314-RA
OG0013178	E0M31_00055468-RA	DB47_00065640-RA
OG0013179	E0M31_00064903-RA	DB47_00007909-RA
OG0013183	E0M31_00023686-RA	DB47_00000541-RA
OG0013184	E0M31_00011910-RA	DB47_00001890-RC
OG0013185	E0M31_00013631-RB	DB47_00006452-RB
OG0013186	E0M31_00003362-RA	DB47_00057535-RA
OG0013187	E0M31_00034453-RA	DB47_00042084-RA
OG0013193	E0M31_00032480-RA	DB47_00007269-RB
OG0013195	E0M31_00031666-RA	DB47_00016606-RA
OG0013196	E0M31_00027453-RA	DB47_00019790-RA
OG0013198	E0M31_00079110-RA	DB47_00016361-RB
OG0013200	E0M31_00000838-RA	DB47_00001006-RA
OG0013201	E0M31_00000836-RA	DB47_00001005-RA
OG0013202	E0M31_00008752-RD	DB47_00020627-RB
OG0013204	E0M31_00000379-RB	DB47_00000600-RB
OG0013205	E0M31_00000378-RA	DB47_00010047-RA
OG0013207	E0M31_00011584-RA	DB47_00013736-RA
OG0013208	E0M31_00043733-RA	DB47_00004391-RC
OG0013210	E0M31_00070191-RA	DB47_00044444-RA
OG0013212	E0M31_00084574-RA	DB47_00040710-RA
OG0013213	E0M31_00015576-RA	DB47_00003545-RA
OG0013215	E0M31_00043516-RA	DB47_00034461-RA
OG0013218	E0M31_00093050-RA	DB47_00055933-RA
OG0013219	E0M31_00014414-RA	DB47_00001632-RA
OG0013220	E0M31_00080822-RA	DB47_00006793-RA
OG0013221	E0M31_00064847-RA	DB47_00040272-RA
OG0013227	E0M31_00032178-RA	DB47_00027229-RB
OG0013230	E0M31_00015027-RA	DB47_00011607-RA
OG0013232	E0M31_00071382-RA	DB47_00053870-RA
OG0013233	E0M31_00081263-RA	DB47_00041434-RA
OG0013241	E0M31_00001287-RB	DB47_00022830-RC
OG0013242	E0M31_00051407-RA	DB47_00007686-RC
OG0013243	E0M31_00039667-RA	DB47_00049642-RA
OG0013244	E0M31_00038958-RA	DB47_00034322-RB
OG0013246	E0M31_00003436-RA	DB47_00017730-RA
OG0013248	E0M31_00065982-RA	DB47_00019674-RA
OG0013249	E0M31_00057632-RA	DB47_00035085-RB
OG0013250	E0M31_00030934-RB	DB47_00039537-RA
OG0013251	E0M31_00082407-RA	DB47_00069148-RA
OG0013252	E0M31_00044548-RA	DB47_00043108-RA
OG0013254	E0M31_00014992-RA	DB47_00002706-RC
OG0013261	E0M31_00060946-RA	DB47_00058580-RA
OG0013265	E0M31_00029516-RB	DB47_00024009-RA
OG0013266	E0M31_00075007-RA	DB47_00010523-RA
OG0013268	E0M31_00007269-RD	DB47_00002846-RC
OG0013269	E0M31_00036952-RA	DB47_00023472-RA
OG0013275	E0M31_00043756-RB	DB47_00057588-RA
OG0013276	E0M31_00042614-RA	DB47_00046020-RA
OG0013277	E0M31_00061855-RA	DB47_00050355-RA
OG0013278	E0M31_00020245-RB	DB47_00026663-RA
OG0013282	E0M31_00065411-RA	DB47_00068683-RA
OG0013284	E0M31_00006671-RE	DB47_00017755-RD
OG0013285	E0M31_00002334-RA	DB47_00029786-RA
OG0013286	E0M31_00082543-RA	DB47_00025525-RA
OG0013288	E0M31_00025627-RA	DB47_00026359-RA
OG0013294	E0M31_00000360-RC	DB47_00004417-RB
OG0013295	E0M31_00032446-RB	DB47_00010181-RA
OG0013296	E0M31_00006022-RD	DB47_00033894-RA
OG0013299	E0M31_00008999-RC	DB47_00036774-RA
OG0013303	E0M31_00090765-RA	DB47_00078713-RA
OG0013304	E0M31_00018747-RA	DB47_00003364-RA
OG0013307	E0M31_00070825-RA	DB47_00065477-RA
OG0013310	E0M31_00080529-RA	DB47_00012617-RA
OG0013312	E0M31_00083420-RA	DB47_00074222-RA
OG0013313	E0M31_00025232-RA	DB47_00022302-RA
OG0013315	E0M31_00032479-RA	DB47_00037789-RA
OG0013318	E0M31_00048452-RA	DB47_00001306-RB
OG0013322	E0M31_00076524-RA	DB47_00059753-RA
OG0013325	E0M31_00059791-RA	DB47_00019274-RA
OG0013327	E0M31_00049836-RA	DB47_00003651-RB
OG0013328	E0M31_00006067-RA	DB47_00004610-RA
OG0013330	E0M31_00008271-RB	DB47_00013631-RC
OG0013332	E0M31_00040161-RA	DB47_00022312-RA
OG0013333	E0M31_00018487-RA	DB47_00011121-RA
OG0013335	E0M31_00060789-RA	DB47_00025188-RA
OG0013336	E0M31_00057642-RA	DB47_00048420-RA
OG0013338	E0M31_00018052-RD	DB47_00004283-RB
OG0013339	E0M31_00017854-RB	DB47_00043408-RA
OG0013340	E0M31_00013010-RA	DB47_00038777-RA
OG0013344	E0M31_00003978-RA	DB47_00009029-RC
OG0013346	E0M31_00024943-RA	DB47_00009183-RA
OG0013347	E0M31_00074860-RA	DB47_00044138-RA
OG0013348	E0M31_00025859-RA	DB47_00035444-RA
OG0013350	E0M31_00009870-RA	DB47_00007908-RB
OG0013355	E0M31_00017779-RA	DB47_00042290-RA
OG0013359	E0M31_00082792-RA	DB47_00012385-RA
OG0013361	E0M31_00053877-RA	DB47_00048280-RA
OG0013362	E0M31_00056334-RB	DB47_00056211-RA
OG0013364	E0M31_00062045-RA	DB47_00068149-RA
OG0013366	E0M31_00000123-RB	DB47_00001291-RC
OG0013369	E0M31_00033320-RA	DB47_00061739-RA
OG0013370	E0M31_00070470-RA	DB47_00056686-RA
OG0013371	E0M31_00036201-RB	DB47_00026231-RA
OG0013372	E0M31_00015317-RA	DB47_00015551-RA
OG0013374	E0M31_00058580-RA	DB47_00042288-RA
OG0013375	E0M31_00076989-RA	DB47_00052924-RA
OG0013376	E0M31_00037321-RA	DB47_00022612-RA
OG0013379	E0M31_00010065-RA	DB47_00014558-RB
