OG0012312	E0M31_00068937-RA	ABT39_00020472-RA
OG0012640	E0M31_00064212-RA	ABT39_00090658-RA
OG0012642	E0M31_00043651-RB	ABT39_00084653-RA
OG0012644	E0M31_00056230-RA	ABT39_00062698-RB
OG0012645	E0M31_00001696-RD	ABT39_00120546-RA
OG0012648	E0M31_00017112-RB	ABT39_00001597-RC
OG0012649	E0M31_00019563-RA	ABT39_00030815-RA
OG0012651	E0M31_00023593-RA	ABT39_00000242-RA
OG0012652	E0M31_00030271-RA	ABT39_00002081-RA
OG0012653	E0M31_00043228-RA	ABT39_00006863-RA
OG0012654	E0M31_00006936-RA	ABT39_00001146-RB
OG0012655	E0M31_00021751-RA	ABT39_00038149-RA
OG0012657	E0M31_00017479-RA	ABT39_00000758-RB
OG0012659	E0M31_00006633-RB	ABT39_00015330-RA
OG0012663	E0M31_00004122-RA	ABT39_00030808-RB
OG0012665	E0M31_00034254-RA	ABT39_00008973-RA
OG0012668	E0M31_00056860-RA	ABT39_00003986-RB
OG0012669	E0M31_00063482-RA	ABT39_00088542-RA
OG0012671	E0M31_00026014-RC	ABT39_00045006-RB
OG0012672	E0M31_00064564-RA	ABT39_00042861-RA
OG0012673	E0M31_00014313-RA	ABT39_00006922-RE
OG0012674	E0M31_00038254-RA	ABT39_00010871-RA
OG0012675	E0M31_00010818-RB	ABT39_00025744-RA
OG0012677	E0M31_00006558-RD	ABT39_00028799-RA
OG0012678	E0M31_00028606-RA	ABT39_00097789-RA
OG0012680	E0M31_00041665-RA	ABT39_00084454-RA
OG0012681	E0M31_00074172-RA	ABT39_00100694-RA
OG0012684	E0M31_00024331-RD	ABT39_00041176-RB
OG0012685	E0M31_00019983-RB	ABT39_00013080-RD
OG0012686	E0M31_00014471-RA	ABT39_00017924-RA
OG0012689	E0M31_00004596-RA	ABT39_00056306-RA
OG0012690	E0M31_00010667-RD	ABT39_00077738-RA
OG0012691	E0M31_00086184-RA	ABT39_00018896-RA
OG0012693	E0M31_00047809-RB	ABT39_00035797-RB
OG0012694	E0M31_00071164-RA	ABT39_00107998-RA
OG0012695	E0M31_00044533-RC	ABT39_00042502-RA
OG0012696	E0M31_00020486-RA	ABT39_00037826-RC
OG0012697	E0M31_00055819-RA	ABT39_00088123-RA
OG0012698	E0M31_00020109-RA	ABT39_00050329-RA
OG0012699	E0M31_00025761-RA	ABT39_00063804-RA
OG0012701	E0M31_00011386-RD	ABT39_00058273-RC
OG0012703	E0M31_00061640-RA	ABT39_00016905-RA
OG0012704	E0M31_00017815-RB	ABT39_00094479-RA
OG0012706	E0M31_00020498-RA	ABT39_00045400-RA
OG0012707	E0M31_00006821-RA	ABT39_00069802-RA
OG0012708	E0M31_00091825-RA	ABT39_00075059-RA
OG0012710	E0M31_00032562-RA	ABT39_00036309-RA
OG0012711	E0M31_00041968-RA	ABT39_00032543-RA
OG0012712	E0M31_00070748-RA	ABT39_00061963-RC
OG0012713	E0M31_00071267-RA	ABT39_00106834-RA
OG0012714	E0M31_00018504-RB	ABT39_00027658-RG
OG0012716	E0M31_00071674-RA	ABT39_00094684-RA
OG0012717	E0M31_00062063-RB	ABT39_00075404-RA
OG0012718	E0M31_00043364-RA	ABT39_00100265-RA
OG0012719	E0M31_00003372-RA	ABT39_00018920-RC
OG0012720	E0M31_00085264-RA	ABT39_00110842-RA
OG0012723	E0M31_00080410-RA	ABT39_00096672-RA
OG0012724	E0M31_00063496-RA	ABT39_00013416-RA
OG0012726	E0M31_00010440-RA	ABT39_00007241-RA
OG0012727	E0M31_00007272-RD	ABT39_00023833-RA
OG0012729	E0M31_00040190-RA	ABT39_00018703-RA
OG0012731	E0M31_00007473-RB	ABT39_00020621-RB
OG0012734	E0M31_00071568-RA	ABT39_00097740-RA
OG0012735	E0M31_00030847-RA	ABT39_00032652-RA
OG0012736	E0M31_00030846-RA	ABT39_00032651-RA
OG0012737	E0M31_00027980-RA	ABT39_00023578-RA
OG0012740	E0M31_00024029-RA	ABT39_00062064-RA
OG0012744	E0M31_00022037-RA	ABT39_00117116-RA
OG0012745	E0M31_00017281-RA	ABT39_00018481-RC
OG0012746	E0M31_00022019-RB	ABT39_00018479-RA
OG0012747	E0M31_00039434-RA	ABT39_00089122-RA
OG0012750	E0M31_00017246-RA	ABT39_00107412-RA
OG0012752	E0M31_00040224-RB	ABT39_00088045-RA
OG0012757	E0M31_00010118-RA	ABT39_00080445-RA
OG0012758	E0M31_00032285-RA	ABT39_00107060-RA
OG0012759	E0M31_00088419-RA	ABT39_00097605-RA
OG0012760	E0M31_00032632-RA	ABT39_00035321-RA
OG0012761	E0M31_00016661-RB	ABT39_00076505-RA
OG0012762	E0M31_00038193-RB	ABT39_00089393-RA
OG0012764	E0M31_00025582-RA	ABT39_00103318-RA
OG0012765	E0M31_00082656-RA	ABT39_00101224-RA
OG0012766	E0M31_00030935-RA	ABT39_00095370-RA
OG0012767	E0M31_00024161-RE	ABT39_00077092-RB
OG0012768	E0M31_00087993-RA	ABT39_00097191-RA
OG0012769	E0M31_00044557-RA	ABT39_00099885-RA
OG0012772	E0M31_00079947-RA	ABT39_00048655-RB
OG0012774	E0M31_00004836-RI	ABT39_00058360-RA
OG0012778	E0M31_00023663-RB	ABT39_00121911-RA
OG0012779	E0M31_00051359-RA	ABT39_00110477-RA
OG0012780	E0M31_00034711-RA	ABT39_00118091-RA
OG0012781	E0M31_00061096-RA	ABT39_00078754-RA
OG0012783	E0M31_00013681-RA	ABT39_00069669-RA
OG0012786	E0M31_00059697-RA	ABT39_00058543-RA
OG0012787	E0M31_00041391-RC	ABT39_00063080-RA
OG0012789	E0M31_00049399-RA	ABT39_00069806-RA
OG0012790	E0M31_00031753-RA	ABT39_00077086-RA
OG0012794	E0M31_00042149-RA	ABT39_00014698-RC
OG0012795	E0M31_00010601-RA	ABT39_00044068-RA
OG0012796	E0M31_00005149-RA	ABT39_00036619-RA
OG0012799	E0M31_00003450-RA	ABT39_00007852-RA
OG0012800	E0M31_00069870-RA	ABT39_00003141-RB
OG0012803	E0M31_00018541-RB	ABT39_00045189-RA
OG0012805	E0M31_00002930-RA	ABT39_00002320-RA
OG0012807	E0M31_00005947-RA	ABT39_00027590-RA
OG0012809	E0M31_00048367-RA	ABT39_00033031-RA
OG0012811	E0M31_00002366-RA	ABT39_00087917-RA
OG0012812	E0M31_00049942-RA	ABT39_00062837-RA
OG0012813	E0M31_00092623-RA	ABT39_00101600-RA
OG0012815	E0M31_00015680-RB	ABT39_00070563-RA
OG0012816	E0M31_00057297-RA	ABT39_00082965-RA
OG0012817	E0M31_00008905-RA	ABT39_00073911-RC
OG0012818	E0M31_00059669-RA	ABT39_00039775-RD
OG0012819	E0M31_00030174-RA	ABT39_00078244-RA
OG0012820	E0M31_00032912-RA	ABT39_00095649-RA
OG0012821	E0M31_00068035-RA	ABT39_00098785-RA
OG0012822	E0M31_00056683-RA	ABT39_00083139-RA
OG0012826	E0M31_00071184-RA	ABT39_00025699-RA
OG0012827	E0M31_00070109-RA	ABT39_00010292-RA
OG0012829	E0M31_00008721-RD	ABT39_00011242-RC
OG0012831	E0M31_00042458-RA	ABT39_00015018-RA
OG0012832	E0M31_00002016-RA	ABT39_00015024-RA
OG0012834	E0M31_00037352-RA	ABT39_00006091-RA
OG0012835	E0M31_00047674-RA	ABT39_00066330-RA
OG0012839	E0M31_00026749-RA	ABT39_00044327-RA
OG0012840	E0M31_00042453-RA	ABT39_00055845-RA
OG0012847	E0M31_00004575-RA	ABT39_00014828-RA
OG0012849	E0M31_00071240-RA	ABT39_00116893-RA
OG0012851	E0M31_00051879-RA	ABT39_00089461-RA
OG0012852	E0M31_00081594-RA	ABT39_00088664-RA
OG0012853	E0M31_00008408-RD	ABT39_00035534-RB
OG0012858	E0M31_00001686-RD	ABT39_00063346-RA
OG0012859	E0M31_00005698-RB	ABT39_00017904-RA
OG0012860	E0M31_00015279-RC	ABT39_00054683-RB
OG0012862	E0M31_00005657-RB	ABT39_00046945-RA
OG0012863	E0M31_00023155-RC	ABT39_00032496-RA
OG0012866	E0M31_00018536-RA	ABT39_00041812-RA
OG0012868	E0M31_00026393-RA	ABT39_00018027-RB
OG0012872	E0M31_00043524-RA	ABT39_00044609-RB
OG0012873	E0M31_00019801-RA	ABT39_00016817-RA
OG0012874	E0M31_00067225-RA	ABT39_00059114-RA
OG0012875	E0M31_00060817-RA	ABT39_00033743-RA
OG0012877	E0M31_00044912-RA	ABT39_00029704-RC
OG0012878	E0M31_00032180-RA	ABT39_00059958-RA
OG0012879	E0M31_00053515-RA	ABT39_00001768-RA
OG0012880	E0M31_00016501-RB	ABT39_00018713-RD
OG0012883	E0M31_00053547-RA	ABT39_00072995-RA
OG0012884	E0M31_00031855-RA	ABT39_00008464-RA
OG0012886	E0M31_00024175-RC	ABT39_00038370-RB
OG0012889	E0M31_00061364-RA	ABT39_00005066-RA
OG0012890	E0M31_00071724-RA	ABT39_00055520-RA
OG0012891	E0M31_00043092-RA	ABT39_00091271-RA
OG0012892	E0M31_00055935-RA	ABT39_00024972-RA
OG0012893	E0M31_00033131-RA	ABT39_00025362-RA
OG0012894	E0M31_00006308-RB	ABT39_00036592-RA
OG0012895	E0M31_00029639-RA	ABT39_00051445-RA
OG0012897	E0M31_00071288-RA	ABT39_00046296-RA
OG0012898	E0M31_00040832-RA	ABT39_00025056-RB
OG0012899	E0M31_00069502-RA	ABT39_00068914-RA
OG0012900	E0M31_00066629-RA	ABT39_00056424-RA
OG0012901	E0M31_00031565-RA	ABT39_00009403-RA
OG0012902	E0M31_00022819-RA	ABT39_00013525-RA
OG0012903	E0M31_00020693-RA	ABT39_00019670-RA
OG0012904	E0M31_00012454-RD	ABT39_00018051-RE
OG0012905	E0M31_00018562-RA	ABT39_00013250-RB
OG0012907	E0M31_00065979-RA	ABT39_00038091-RA
OG0012908	E0M31_00041870-RA	ABT39_00038860-RA
OG0012911	E0M31_00021031-RA	ABT39_00001668-RA
OG0012913	E0M31_00005649-RB	ABT39_00013382-RA
OG0012917	E0M31_00002529-RA	ABT39_00072654-RA
OG0012921	E0M31_00004157-RB	ABT39_00074598-RA
OG0012923	E0M31_00032750-RA	ABT39_00041688-RA
OG0012924	E0M31_00021744-RA	ABT39_00023887-RB
OG0012925	E0M31_00044045-RA	ABT39_00051888-RB
OG0012926	E0M31_00001835-RD	ABT39_00105278-RA
OG0012928	E0M31_00035742-RA	ABT39_00079058-RA
OG0012929	E0M31_00014231-RA	ABT39_00072582-RA
OG0012930	E0M31_00077807-RA	ABT39_00016913-RB
OG0012931	E0M31_00012963-RC	ABT39_00032262-RA
OG0012932	E0M31_00001561-RA	ABT39_00021373-RA
OG0012935	E0M31_00042600-RA	ABT39_00036248-RB
OG0012936	E0M31_00034535-RA	ABT39_00011078-RD
OG0012937	E0M31_00038614-RA	ABT39_00031717-RA
OG0012938	E0M31_00003716-RB	ABT39_00010355-RA
OG0012939	E0M31_00080680-RA	ABT39_00029279-RE
OG0012940	E0M31_00028618-RA	ABT39_00068756-RA
OG0012941	E0M31_00034120-RA	ABT39_00030210-RB
OG0012942	E0M31_00060176-RA	ABT39_00030209-RA
OG0012943	E0M31_00031247-RA	ABT39_00060467-RA
OG0012944	E0M31_00028751-RD	ABT39_00009702-RA
OG0012946	E0M31_00027700-RB	ABT39_00108074-RA
OG0012949	E0M31_00030922-RA	ABT39_00096809-RA
OG0012951	E0M31_00022751-RA	ABT39_00076767-RA
OG0012953	E0M31_00028120-RA	ABT39_00025920-RA
OG0012954	E0M31_00010431-RE	ABT39_00041353-RB
OG0012958	E0M31_00026843-RA	ABT39_00032200-RA
OG0012959	E0M31_00034029-RC	ABT39_00032789-RC
OG0012960	E0M31_00040526-RA	ABT39_00017416-RD
OG0012964	E0M31_00027720-RA	ABT39_00019483-RA
OG0012965	E0M31_00073808-RA	ABT39_00023473-RC
OG0012966	E0M31_00060851-RA	ABT39_00010327-RD
OG0012967	E0M31_00072392-RA	ABT39_00017191-RA
OG0012969	E0M31_00055105-RA	ABT39_00064870-RA
OG0012970	E0M31_00058452-RA	ABT39_00083496-RA
OG0012972	E0M31_00028403-RC	ABT39_00020942-RB
OG0012975	E0M31_00013774-RA	ABT39_00036866-RB
OG0012976	E0M31_00035474-RA	ABT39_00076813-RA
OG0012977	E0M31_00031275-RA	ABT39_00029902-RB
OG0012978	E0M31_00068385-RA	ABT39_00055974-RA
OG0012979	E0M31_00064376-RA	ABT39_00066142-RB
OG0012980	E0M31_00079400-RA	ABT39_00028348-RA
OG0012983	E0M31_00069712-RA	ABT39_00021827-RA
OG0012985	E0M31_00084134-RA	ABT39_00067518-RA
OG0012987	E0M31_00011098-RA	ABT39_00019031-RA
OG0012988	E0M31_00017987-RA	ABT39_00058380-RB
OG0012989	E0M31_00029287-RA	ABT39_00055087-RB
OG0012991	E0M31_00049490-RA	ABT39_00029209-RA
OG0012992	E0M31_00068814-RA	ABT39_00066836-RA
OG0012996	E0M31_00010952-RA	ABT39_00010814-RC
OG0012997	E0M31_00045199-RA	ABT39_00027018-RA
OG0012999	E0M31_00058634-RA	ABT39_00015182-RA
OG0013004	E0M31_00075167-RA	ABT39_00058718-RA
OG0013005	E0M31_00025725-RB	ABT39_00050524-RA
OG0013007	E0M31_00024449-RA	ABT39_00040325-RB
OG0013009	E0M31_00050368-RA	ABT39_00025576-RB
OG0013011	E0M31_00021161-RA	ABT39_00095251-RA
OG0013012	E0M31_00026813-RA	ABT39_00066956-RA
OG0013014	E0M31_00004810-RC	ABT39_00069042-RA
OG0013015	E0M31_00067359-RA	ABT39_00061925-RA
OG0013016	E0M31_00058911-RA	ABT39_00081180-RA
OG0013017	E0M31_00052178-RA	ABT39_00062429-RA
OG0013018	E0M31_00038829-RA	ABT39_00079862-RA
OG0013020	E0M31_00032944-RC	ABT39_00030238-RD
OG0013023	E0M31_00027607-RA	ABT39_00087828-RA
OG0013027	E0M31_00014222-RA	ABT39_00054098-RA
OG0013028	E0M31_00077878-RA	ABT39_00029298-RA
OG0013029	E0M31_00038522-RA	ABT39_00023162-RA
OG0013030	E0M31_00027311-RA	ABT39_00032358-RA
OG0013032	E0M31_00007213-RA	ABT39_00021101-RA
OG0013033	E0M31_00018476-RD	ABT39_00048067-RA
OG0013034	E0M31_00001544-RA	ABT39_00013469-RC
OG0013036	E0M31_00012402-RB	ABT39_00045425-RB
OG0013037	E0M31_00031372-RB	ABT39_00051310-RB
OG0013038	E0M31_00030630-RA	ABT39_00034591-RA
OG0013040	E0M31_00065262-RA	ABT39_00091785-RA
OG0013042	E0M31_00028946-RA	ABT39_00072420-RA
OG0013043	E0M31_00080219-RA	ABT39_00101012-RA
OG0013044	E0M31_00033446-RA	ABT39_00026242-RA
OG0013045	E0M31_00040719-RA	ABT39_00026243-RC
OG0013047	E0M31_00037648-RA	ABT39_00057373-RA
OG0013050	E0M31_00029078-RB	ABT39_00051862-RB
OG0013052	E0M31_00049622-RA	ABT39_00078881-RA
OG0013055	E0M31_00008856-RC	ABT39_00006680-RD
OG0013056	E0M31_00020189-RA	ABT39_00045312-RA
OG0013058	E0M31_00047652-RA	ABT39_00067174-RA
OG0013059	E0M31_00047286-RA	ABT39_00031195-RA
OG0013061	E0M31_00089071-RA	ABT39_00062763-RA
OG0013065	E0M31_00006405-RA	ABT39_00009758-RB
OG0013067	E0M31_00081340-RA	ABT39_00036861-RB
OG0013069	E0M31_00005038-RD	ABT39_00027533-RB
OG0013070	E0M31_00045261-RA	ABT39_00031293-RA
OG0013073	E0M31_00046759-RA	ABT39_00008033-RD
OG0013074	E0M31_00091930-RA	ABT39_00003380-RA
OG0013075	E0M31_00051540-RB	ABT39_00031652-RB
OG0013076	E0M31_00008196-RG	ABT39_00009377-RA
OG0013078	E0M31_00039459-RA	ABT39_00060410-RA
OG0013080	E0M31_00018170-RD	ABT39_00021929-RA
OG0013082	E0M31_00011499-RB	ABT39_00033630-RA
OG0013083	E0M31_00049386-RA	ABT39_00031833-RA
OG0013085	E0M31_00028283-RA	ABT39_00049942-RA
OG0013086	E0M31_00012075-RA	ABT39_00084088-RA
OG0013087	E0M31_00005833-RD	ABT39_00016853-RB
OG0013089	E0M31_00029307-RA	ABT39_00004692-RB
OG0013090	E0M31_00026130-RB	ABT39_00004694-RA
OG0013092	E0M31_00051570-RA	ABT39_00031200-RA
OG0013096	E0M31_00012725-RB	ABT39_00021189-RB
