OG0012315	DB47_00014285-RA	E0M31_00014648-RC
OG0012980	DB47_00011019-RB	E0M31_00079400-RA
OG0012983	DB47_00027369-RA	E0M31_00069712-RA
OG0012985	DB47_00071460-RA	E0M31_00084134-RA
OG0012987	DB47_00007779-RA	E0M31_00011098-RA
OG0012989	DB47_00047437-RA	E0M31_00029287-RA
OG0012996	DB47_00037958-RB	E0M31_00010952-RA
OG0012997	DB47_00039662-RA	E0M31_00045199-RA
OG0012999	DB47_00040137-RA	E0M31_00058634-RA
OG0013004	DB47_00058018-RA	E0M31_00075167-RA
OG0013005	DB47_00050705-RA	E0M31_00025725-RB
OG0013007	DB47_00012501-RA	E0M31_00024449-RA
OG0013009	DB47_00008538-RA	E0M31_00050368-RA
OG0013012	DB47_00054095-RA	E0M31_00026813-RA
OG0013014	DB47_00014769-RE	E0M31_00004810-RC
OG0013015	DB47_00009177-RA	E0M31_00067359-RA
OG0013016	DB47_00052937-RA	E0M31_00058911-RA
OG0013017	DB47_00058518-RA	E0M31_00052178-RA
OG0013018	DB47_00001922-RA	E0M31_00038829-RA
OG0013020	DB47_00011743-RA	E0M31_00032944-RC
OG0013023	DB47_00048513-RA	E0M31_00027607-RA
OG0013027	DB47_00031246-RA	E0M31_00014222-RA
OG0013028	DB47_00016328-RA	E0M31_00077878-RA
OG0013029	DB47_00034677-RB	E0M31_00038522-RA
OG0013032	DB47_00000743-RA	E0M31_00007213-RA
OG0013033	DB47_00023323-RA	E0M31_00018476-RD
OG0013034	DB47_00005241-RB	E0M31_00001544-RA
OG0013036	DB47_00033740-RA	E0M31_00012402-RB
OG0013038	DB47_00016216-RA	E0M31_00030630-RA
OG0013040	DB47_00061884-RA	E0M31_00065262-RA
OG0013042	DB47_00029637-RA	E0M31_00028946-RA
OG0013045	DB47_00040906-RC	E0M31_00040719-RA
OG0013047	DB47_00058192-RA	E0M31_00037648-RA
OG0013050	DB47_00060850-RA	E0M31_00029078-RB
OG0013052	DB47_00074961-RA	E0M31_00049622-RA
OG0013055	DB47_00009782-RB	E0M31_00008856-RC
OG0013056	DB47_00039944-RA	E0M31_00020189-RA
OG0013058	DB47_00013392-RA	E0M31_00047652-RA
OG0013059	DB47_00043599-RA	E0M31_00047286-RA
OG0013061	DB47_00020904-RA	E0M31_00089071-RA
OG0013065	DB47_00008618-RA	E0M31_00006405-RA
OG0013067	DB47_00016170-RB	E0M31_00081340-RA
OG0013069	DB47_00003399-RD	E0M31_00005038-RD
OG0013070	DB47_00011188-RA	E0M31_00045261-RA
OG0013073	DB47_00014705-RB	E0M31_00046759-RA
OG0013074	DB47_00069568-RA	E0M31_00091930-RA
OG0013075	DB47_00047262-RB	E0M31_00051540-RB
OG0013078	DB47_00012614-RA	E0M31_00039459-RA
OG0013080	DB47_00001615-RD	E0M31_00018170-RD
OG0013082	DB47_00057467-RA	E0M31_00011499-RB
OG0013083	DB47_00014298-RB	E0M31_00049386-RA
OG0013087	DB47_00022743-RB	E0M31_00005833-RD
OG0013090	DB47_00021849-RB	E0M31_00026130-RB
OG0013098	DB47_00004794-RA	E0M31_00003851-RA
OG0013100	DB47_00064193-RA	E0M31_00072516-RA
OG0013104	DB47_00038230-RC	E0M31_00057282-RA
OG0013106	DB47_00068234-RA	E0M31_00075700-RA
OG0013107	DB47_00026410-RA	E0M31_00082646-RA
OG0013112	DB47_00002464-RF	E0M31_00021393-RD
OG0013114	DB47_00063657-RA	E0M31_00083923-RA
OG0013118	DB47_00037018-RA	E0M31_00041558-RB
OG0013121	DB47_00012103-RB	E0M31_00006191-RB
OG0013123	DB47_00037154-RA	E0M31_00017775-RA
OG0013125	DB47_00023933-RA	E0M31_00043423-RA
OG0013126	DB47_00037862-RA	E0M31_00071321-RA
OG0013127	DB47_00023189-RA	E0M31_00014129-RA
OG0013128	DB47_00045789-RA	E0M31_00028201-RB
OG0013129	DB47_00047965-RA	E0M31_00005109-RB
OG0013130	DB47_00037601-RA	E0M31_00017693-RA
OG0013132	DB47_00008792-RA	E0M31_00004649-RA
OG0013133	DB47_00012649-RA	E0M31_00008284-RA
OG0013134	DB47_00009953-RA	E0M31_00005974-RC
OG0013135	DB47_00075156-RA	E0M31_00048539-RA
OG0013137	DB47_00047103-RA	E0M31_00042099-RA
OG0013138	DB47_00053720-RA	E0M31_00021377-RA
OG0013140	DB47_00009502-RA	E0M31_00072716-RA
OG0013141	DB47_00011702-RC	E0M31_00023429-RA
OG0013142	DB47_00044912-RA	E0M31_00025237-RB
OG0013143	DB47_00057742-RA	E0M31_00076068-RA
OG0013146	DB47_00045489-RA	E0M31_00037726-RA
OG0013147	DB47_00037744-RB	E0M31_00040544-RB
OG0013152	DB47_00011642-RA	E0M31_00047152-RB
OG0013153	DB47_00036280-RA	E0M31_00029161-RA
OG0013154	DB47_00021550-RA	E0M31_00004681-RA
OG0013156	DB47_00012152-RD	E0M31_00026275-RB
OG0013157	DB47_00034803-RA	E0M31_00024179-RA
OG0013159	DB47_00044114-RA	E0M31_00017631-RA
OG0013162	DB47_00027745-RB	E0M31_00005065-RA
OG0013164	DB47_00001630-RA	E0M31_00050041-RA
OG0013166	DB47_00018236-RB	E0M31_00059752-RA
OG0013168	DB47_00000119-RB	E0M31_00008219-RD
OG0013175	DB47_00013314-RA	E0M31_00001607-RB
OG0013178	DB47_00065640-RA	E0M31_00055468-RA
OG0013179	DB47_00007909-RA	E0M31_00064903-RA
OG0013183	DB47_00000541-RA	E0M31_00023686-RA
OG0013184	DB47_00001890-RC	E0M31_00011910-RA
OG0013185	DB47_00006452-RB	E0M31_00013631-RB
OG0013186	DB47_00057535-RA	E0M31_00003362-RA
OG0013187	DB47_00042084-RA	E0M31_00034453-RA
OG0013193	DB47_00007269-RB	E0M31_00032480-RA
OG0013195	DB47_00016606-RA	E0M31_00031666-RA
OG0013196	DB47_00019790-RA	E0M31_00027453-RA
OG0013198	DB47_00016361-RB	E0M31_00079110-RA
OG0013200	DB47_00001006-RA	E0M31_00000838-RA
OG0013201	DB47_00001005-RA	E0M31_00000836-RA
OG0013202	DB47_00020627-RB	E0M31_00008752-RD
OG0013204	DB47_00000600-RB	E0M31_00000379-RB
OG0013205	DB47_00010047-RA	E0M31_00000378-RA
OG0013207	DB47_00013736-RA	E0M31_00011584-RA
OG0013208	DB47_00004391-RC	E0M31_00043733-RA
OG0013210	DB47_00044444-RA	E0M31_00070191-RA
OG0013212	DB47_00040710-RA	E0M31_00084574-RA
OG0013213	DB47_00003545-RA	E0M31_00015576-RA
OG0013215	DB47_00034461-RA	E0M31_00043516-RA
OG0013218	DB47_00055933-RA	E0M31_00093050-RA
OG0013219	DB47_00001632-RA	E0M31_00014414-RA
OG0013220	DB47_00006793-RA	E0M31_00080822-RA
OG0013221	DB47_00040272-RA	E0M31_00064847-RA
OG0013227	DB47_00027229-RB	E0M31_00032178-RA
OG0013230	DB47_00011607-RA	E0M31_00015027-RA
OG0013232	DB47_00053870-RA	E0M31_00071382-RA
OG0013233	DB47_00041434-RA	E0M31_00081263-RA
OG0013241	DB47_00022830-RC	E0M31_00001287-RB
OG0013242	DB47_00007686-RC	E0M31_00051407-RA
OG0013243	DB47_00049642-RA	E0M31_00039667-RA
OG0013244	DB47_00034322-RB	E0M31_00038958-RA
OG0013246	DB47_00017730-RA	E0M31_00003436-RA
OG0013248	DB47_00019674-RA	E0M31_00065982-RA
OG0013249	DB47_00035085-RB	E0M31_00057632-RA
OG0013250	DB47_00039537-RA	E0M31_00030934-RB
OG0013251	DB47_00069148-RA	E0M31_00082407-RA
OG0013252	DB47_00043108-RA	E0M31_00044548-RA
OG0013254	DB47_00002706-RC	E0M31_00014992-RA
OG0013261	DB47_00058580-RA	E0M31_00060946-RA
OG0013265	DB47_00024009-RA	E0M31_00029516-RB
OG0013266	DB47_00010523-RA	E0M31_00075007-RA
OG0013268	DB47_00002846-RC	E0M31_00007269-RD
OG0013269	DB47_00023472-RA	E0M31_00036952-RA
OG0013275	DB47_00057588-RA	E0M31_00043756-RB
OG0013276	DB47_00046020-RA	E0M31_00042614-RA
OG0013277	DB47_00050355-RA	E0M31_00061855-RA
OG0013278	DB47_00026663-RA	E0M31_00020245-RB
OG0013282	DB47_00068683-RA	E0M31_00065411-RA
OG0013284	DB47_00017755-RD	E0M31_00006671-RE
OG0013285	DB47_00029786-RA	E0M31_00002334-RA
OG0013286	DB47_00025525-RA	E0M31_00082543-RA
OG0013288	DB47_00026359-RA	E0M31_00025627-RA
OG0013294	DB47_00004417-RB	E0M31_00000360-RC
OG0013295	DB47_00010181-RA	E0M31_00032446-RB
OG0013296	DB47_00033894-RA	E0M31_00006022-RD
OG0013299	DB47_00036774-RA	E0M31_00008999-RC
OG0013303	DB47_00078713-RA	E0M31_00090765-RA
OG0013304	DB47_00003364-RA	E0M31_00018747-RA
OG0013307	DB47_00065477-RA	E0M31_00070825-RA
OG0013310	DB47_00012617-RA	E0M31_00080529-RA
OG0013312	DB47_00074222-RA	E0M31_00083420-RA
OG0013313	DB47_00022302-RA	E0M31_00025232-RA
OG0013315	DB47_00037789-RA	E0M31_00032479-RA
OG0013318	DB47_00001306-RB	E0M31_00048452-RA
OG0013322	DB47_00059753-RA	E0M31_00076524-RA
OG0013325	DB47_00019274-RA	E0M31_00059791-RA
OG0013327	DB47_00003651-RB	E0M31_00049836-RA
OG0013328	DB47_00004610-RA	E0M31_00006067-RA
OG0013330	DB47_00013631-RC	E0M31_00008271-RB
OG0013332	DB47_00022312-RA	E0M31_00040161-RA
OG0013333	DB47_00011121-RA	E0M31_00018487-RA
OG0013335	DB47_00025188-RA	E0M31_00060789-RA
OG0013336	DB47_00048420-RA	E0M31_00057642-RA
OG0013338	DB47_00004283-RB	E0M31_00018052-RD
OG0013339	DB47_00043408-RA	E0M31_00017854-RB
OG0013340	DB47_00038777-RA	E0M31_00013010-RA
OG0013344	DB47_00009029-RC	E0M31_00003978-RA
OG0013346	DB47_00009183-RA	E0M31_00024943-RA
OG0013347	DB47_00044138-RA	E0M31_00074860-RA
OG0013348	DB47_00035444-RA	E0M31_00025859-RA
OG0013350	DB47_00007908-RB	E0M31_00009870-RA
OG0013355	DB47_00042290-RA	E0M31_00017779-RA
OG0013359	DB47_00012385-RA	E0M31_00082792-RA
OG0013361	DB47_00048280-RA	E0M31_00053877-RA
OG0013362	DB47_00056211-RA	E0M31_00056334-RB
OG0013364	DB47_00068149-RA	E0M31_00062045-RA
OG0013366	DB47_00001291-RC	E0M31_00000123-RB
OG0013369	DB47_00061739-RA	E0M31_00033320-RA
OG0013370	DB47_00056686-RA	E0M31_00070470-RA
OG0013371	DB47_00026231-RA	E0M31_00036201-RB
OG0013372	DB47_00015551-RA	E0M31_00015317-RA
OG0013374	DB47_00042288-RA	E0M31_00058580-RA
OG0013375	DB47_00052924-RA	E0M31_00076989-RA
OG0013376	DB47_00022612-RA	E0M31_00037321-RA
OG0013379	DB47_00014558-RB	E0M31_00010065-RA
