transcript bin.PG29 coverage.PG29 strand.PG29 gene.PG29 cigar.PG29 MD.PG29 NM.PG29 introns_len.PG29 introns_num.PG29 bin.WS coverage.WS strand.WS gene.WS cigar.WS MD.WS NM.WS introns_len.WS introns_num.WS swap.introns_len.PG29 swap.introns_len.WS
augustus_masked-166352044-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7753764 951M440N807M MD:Z:144C161G53G353G284G278C236T50A20A17C121C30 NM:i:11 440 1 cdhit-output-4_16.iteration.3 0.99 16 4300156 1584M263N174M MD:Z:144C161G53G592C1C31T11G4A17A255C236T50A29TT7C121C30 NM:i:16 263 1 440 263
augustus_masked-166398954-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6837006 391M104N119M110N366M MD:Z:41A33G83C3T11A70CC23G55G35A147A66C204C55A36 NM:i:14 104,110 2 cdhit-output-4_15.iteration.1 0.99 16 3575110 391M104N119M110N366M MD:Z:41A33G83C3T11A70CC23G55G35A147A66C204C55A36 NM:i:14 104,110 2 110,104 110,104
augustus_masked-166527179-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6713945 237M266N210M MD:Z:443T3 NM:i:1 266 1 cdhit-output-4_13.iteration.1 0.99 16 3957750 237M266N210M MD:Z:443T3 NM:i:1 266 1 266 266
augustus_masked-166569783-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 16 7685520 690M435N67M87N101M MD:Z:641A216 NM:i:1 435,87 2 cdhit-output-4_12.iteration.1 0.99 16 3303509 690M435N67M87N101M MD:Z:641A216 NM:i:1 435,87 2 87,435 87,435
augustus_masked-166582663-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9131706 1651M60N1187M MD:Z:177T30G443C25G69C78T219T523G16A12T17G1A14T34C33A3G44G37G37G2G28C535G6T34C94C8C42T112T32T60G43 NM:i:30 60 1 cdhit-output-4_16.iteration.1 0.99 0 3093375 733M243N454M60N1651M MD:Z:43C60A32A112A42G8G94G34A6C535G28C2C37C37C33G14T33G34A14T1C17A12T16C31T491A219A78G69C25G443C30A177 NM:i:31 243,60 2 60 243,60
augustus_masked-166693748-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9274660 248M565N295M96N183M MD:Z:98A275C43T1G22TG45CA67G6G30C54CG72 NM:i:13 565,96 2 cdhit-output-4_10.iteration.1 0.99 16 2914948 183M96N295M565N248M MD:Z:159C285A280 NM:i:2 96,565 2 565,96 565,96
augustus_masked-166735925-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 16 8694637 570M102N117M MD:Z:160A14T68C442 NM:i:3 102 1 cdhit-output-4_10.iteration.1 0.99 16 2915419 570M102N117M MD:Z:160A14T68C442 NM:i:3 102 1 102 102
augustus_masked-166822161-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9197726 141M241N220M261N119M609N795M148N617M MD:Z:380C485G14A121C99G97G145T168C3G331A39 NM:i:10 241,261,609,148 4 cdhit-output-4_12.iteration.1 0.99 16 3286683 617M148N795M609N119M261N220M241N141M MD:Z:39T331C3G168A145C97C99G121T14C485G380 NM:i:10 148,609,261,241 4 241,261,609,148 241,261,609,148
augustus_masked-166889645-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7062416 154M96N904M72N278M114N28M354N68M89N167M MD:Z:26G314T71A158C65A347T297T44G260G8 NM:i:9 96,72,114,354,89 5 cdhit-output-4_9.iteration.3 0.99 0 3588051 154M96N904M72N278M114N28M354N68M89N167M MD:Z:26G314T71A158C65A347T297T44G260G8 NM:i:9 96,72,114,354,89 5 96,72,114,354,89 96,72,114,354,89
augustus_masked-167041847-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9238053 403M99N97M164N139M80N251M817N1286M MD:Z:127C8A23C23A57G12T60A55A141T53A200A643C84T51G2C27C186C57C13C90T65T156T21 NM:i:22 99,164,80,817 4 cdhit-output-4_11.iteration.1 0.99 16 3288470 403M99N97M164N139M80N251M817N560M232N726M MD:Z:127C8A23C23A57G12T60A55A141T53A200A643C84T51G2C27C186C57C13C90T65T156T21 NM:i:22 99,164,80,817,232 5 817,80,164,99 232,817,80,164,99
augustus_masked-167063863-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9209444 103M78N76M118N58M150N342M MD:Z:149A429 NM:i:1 78,118,150 3 cdhit-output-4_8.iteration.2 0.99 0 4031641 342M150N58M118N76M78N103M MD:Z:429T149 NM:i:1 150,118,78 3 150,118,78 150,118,78
augustus_masked-167198735-processed-gene-0.3-mRNA-1 myseq0.fa.r112 0.99 0 7046835 204M675N110M438N109M122N79M162N117M787N415M MD:Z:927G106 NM:i:1 675,438,122,162,787 5 cdhit-output-4_12.iteration.1 0.99 0 3364350 204M673N110M438N109M122N79M162N117M787N415M MD:Z:927G106 NM:i:1 673,438,122,162,787 5 675,438,122,162,787 673,438,122,162,787
augustus_masked-167798770-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7168411 1557M96N435M MD:Z:1481T510 NM:i:1 96 1 cdhit-output-4_8.iteration.1 0.99 0 4560310 435M95N1557M MD:Z:510A1481 NM:i:1 95 1 96 95
augustus_masked-167805618-processed-gene-0.10-mRNA-1 myseq3000.fa.r112 0.99 0 9300255 556M51N383M MD:Z:122T545C35T50T183 NM:i:4 51 1 cdhit-output-4_11.iteration.1 0.99 16 3225351 383M51N556M MD:Z:183A50A35G545A122 NM:i:4 51 1 51 51
augustus_masked-167813405-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 0 6851859 453M1397N358M141N635M MD:Z:513G9A5C35A72A25A185G57T149A53A140C4A30A108T22G24 NM:i:15 1397,141 2 cdhit-output-4_14.iteration.2 0.99 16 5291162 635M141N358M1291N453M MD:Z:24C22A108T30T4G140T53T149A57C7C177T25T72T35G5T9C513 NM:i:16 141,1291 2 1397,141 1291,141
augustus_masked-167830659-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7741180 129M151N236M115N163M118N138M189N234M907N57M132N273M MD:Z:476C753 NM:i:1 151,115,118,189,907,132 6 cdhit-output-4_16.iteration.1 0.99 0 3093468 273M132N57M907N234M189N138M118N163M115N236M151N129M MD:Z:753G476 NM:i:1 132,907,189,118,115,151 6 132,907,189,118,115,151 132,907,189,118,115,151
augustus_masked-167834480-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 6840889 87M341N2704M121N87M119N711M91N165M327N295M118N215M94N306M150N64M143N240M120N983M MD:Z:751G4290C72G741 NM:i:3 341,121,119,91,327,118,94,150,143,120 10 cdhit-output-4_13.iteration.1 0.99 16 3957751 983M120N240M143N64M150N306M94N215M118N295M327N165M91N711M117N87M121N2704M341N87M MD:Z:741C72G5042 NM:i:2 120,143,150,94,118,327,91,117,121,341 10 341,121,119,91,327,118,94,150,143,120 341,121,117,91,327,118,94,150,143,120
augustus_masked-167840003-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9303026 684M100N85M96N61M102N35M151N123M410N61M148N69M225N96M82N109M153N67M571N53M124N103M144N139M1047N90M134N69M1611N79M109N418M2636N335M MD:Z:2676 NM:i:0 100,96,102,151,410,148,225,82,153,571,124,144,1047,134,1611,109,2636 17 cdhit-output-4_11.iteration.1 0.99 16 3288540 684M100N85M96N61M102N35M151N123M409N61M149N69M225N96M82N109M153N67M571N53M124N103M144N139M850N90M134N69M1611N79M109N418M2636N335M MD:Z:2676 NM:i:0 100,96,102,151,409,149,225,82,153,571,124,144,850,134,1611,109,2636 17 2636,109,1611,134,1047,144,124,571,153,82,225,148,410,151,102,96,100 2636,109,1611,134,850,144,124,571,153,82,225,149,409,151,102,96,100
augustus_masked-167865352-processed-gene-0.8-mRNA-1 myseq0.fa.r112 0.99 16 7134803 76M247N1556M MD:Z:414A480T736 NM:i:2 247 1 cdhit-output-4_8.iteration.1 0.99 16 4466157 76M247N1556M MD:Z:234G179A480T736 NM:i:3 247 1 247 247
augustus_masked-167873313-processed-gene-0.8-mRNA-1 myseq3000.fa.r112 0.99 16 9196838 341M419N266M256N80M130N1312M80N266M261N233M68N124M850N101M87N34M381N369M MD:Z:340A1210A1110T463 NM:i:3 419,256,130,80,261,68,850,87,381 9 cdhit-output-4_12.iteration.1 0.99 0 3364376 369M381N34M87N101M850N124M68N233M261N266M80N1312M130N80M256N266M437N341M MD:Z:463A1110T1342G57G150 NM:i:4 381,87,850,68,261,80,130,256,437 9 381,87,850,68,261,80,130,256,419 381,87,850,68,261,80,130,256,437
augustus_masked-167889027-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7684979 45M56N582M MD:Z:627 NM:i:0 56 1 cdhit-output-4_17.iteration.1 0.99 16 3052068 45M56N582M MD:Z:627 NM:i:0 56 1 56 56
augustus_masked-167915881-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9303913 209M131N93M270N58M118N1833M141N210M MD:Z:14A879C249T619GA637 NM:i:5 131,270,118,141 4 cdhit-output-4_15.iteration.1 0.99 16 3575641 2043M118N58M270N93M131N209M MD:Z:637TC516G352G879T14 NM:i:5 118,270,131 3 131,270,118,141 131,270,118
augustus_masked-167929491-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7054945 1088M440N1803M107N83M252N1264M909N75M269N59M180N129M125N64M150N174M MD:Z:3551G753T433 NM:i:2 440,107,252,909,269,180,125,150 8 cdhit-output-4_12.iteration.1 0.99 0 3364467 174M150N64M125N129M180N59M269N75M909N1264M252N83M107N1803M440N1088M MD:Z:433A753C3551 NM:i:2 150,125,180,269,909,252,107,440 8 150,125,180,269,909,252,107,440 150,125,180,269,909,252,107,440
augustus_masked-167957229-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 16 6703271 1747M169N111M415N103M157N84M237N62M203N447M126N485M1482N287M MD:Z:331T973C10T106A86A36G410G638G728 NM:i:8 169,415,157,237,203,126,1482 7 cdhit-output-4_13.iteration.1 0.99 0 3957413 287M1482N485M126N447M203N62M237N84M157N103M415N111M169N1747M MD:Z:728C638C410C36T86T106A10G973A331 NM:i:8 1482,126,203,237,157,415,169 7 1482,126,203,237,157,415,169 1482,126,203,237,157,415,169
augustus_masked-167995031-processed-gene-0.10-mRNA-1 myseq0.fa.r112 0.99 0 7159174 1014M1003N36M MD:Z:965A84 NM:i:1 1003 1 cdhit-output-4_9.iteration.1 0.99 0 3260433 1014M1003N36M MD:Z:965A84 NM:i:1 1003 1 1003 1003
augustus_masked-168007150-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9195356 965M198N601M MD:Z:482C690A144G169G77 NM:i:4 198 1 cdhit-output-4_11.iteration.1 0.99 16 3233035 965M198N601M MD:Z:127T27C326C690A144G247 NM:i:5 198 1 198 198
augustus_masked-168014894-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7707673 258M195N233M238N508M490N755M MD:Z:56A194C149A722T272G109A45T193A6 NM:i:8 195,238,490 3 cdhit-output-4_16.iteration.1 0.99 16 3092562 755M490N508M238N233M195N258M MD:Z:6T193A45T109C272A722T149G194T56 NM:i:8 490,238,195 3 195,238,490 195,238,490
augustus_masked-168019117-processed-gene-0.2-mRNA-1 myseq0.fa.r112 0.99 16 7050927 356M96N298M MD:Z:654 NM:i:0 96 1 cdhit-output-4_9.iteration.1 0.99 0 3260090 298M96N356M MD:Z:283C1G14A37T159C82A21A26G23 NM:i:8 96 1 96 96
augustus_masked-168065329-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7019687 2427M130N81M140N228M245N320M MD:Z:255G67C80C101T49C41A66C45TG181T286A10C70G126G60G39G11T24G83G91C28T64T73T92C151T70C30C17T78T266C472 NM:i:30 130,140,245 3 cdhit-output-4_11.iteration.1 0.99 0 3287605 320M245N228M140N81M130N2427M MD:Z:472G266A78A17G30G70A151G92A73A64A28G91C83C24A11C39C60C126C70G10T286A181CA45G66T41G49A101G80G67C255 NM:i:30 245,140,130 3 245,140,130 245,140,130
augustus_masked-168107587-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9239886 321M103N285M MD:Z:66T37T59G19A145A28G27C29G14T173 NM:i:9 103 1 cdhit-output-4_11.iteration.2 0.99 0 3092978 285M103N321M MD:Z:173A14C29G27C28T330 NM:i:5 103 1 103 103
augustus_masked-168110913-processed-gene-0.7-mRNA-1 myseq3000.fa.r112 0.99 0 9299687 326M456N28M2711N228M141N64M87N60M126N550M104N20M MD:Z:167C867C44G1T153G39 NM:i:5 456,2711,141,87,126,104 6 cdhit-output-4_11.iteration.1 0.99 16 3288547 20M104N550M126N60M87N64M141N228M1894N28M456N326M MD:Z:22G170A1C44G154A712G167 NM:i:6 104,126,87,141,1894,456 6 456,2711,141,87,126,104 456,1894,141,87,126,104
augustus_masked-168122112-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 16 9273350 242M86N261M147N67M MD:Z:206T319G43 NM:i:2 86,147 2 cdhit-output-4_16.iteration.1 0.99 0 3024396 67M147N261M86N242M MD:Z:43C319A206 NM:i:2 147,86 2 147,86 147,86
augustus_masked-168139664-processed-gene-0.4-mRNA-1 myseq3000.fa.r112 0.99 0 9237167 79M408N2511M99N491M MD:Z:368T14T835A29T44A276G359G42C171G610A323 NM:i:10 408,99 2 cdhit-output-4_12.iteration.1 0.99 16 3364665 491M99N2511M408N79M MD:Z:106T187T639C171G42C636T44A29T835A14A368 NM:i:10 99,408 2 408,99 408,99
augustus_masked-168164349-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 0 9143687 34M159N185M MD:Z:219 NM:i:0 159 1 cdhit-output-4_9.iteration.5 0.99 16 3179911 185M159N34M MD:Z:219 NM:i:0 159 1 159 159
augustus_masked-168174988-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9302304 366M85N165M243N1074M69N137M80N136M MD:Z:323C605A13T212C721 NM:i:4 85,243,69,80 4 cdhit-output-4_16.iteration.1 0.99 16 3092470 366M85N165M243N1074M69N137M80N136M MD:Z:323C605A13T212C721 NM:i:4 85,243,69,80 4 80,69,243,85 80,69,243,85
augustus_masked-168182767-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 16 7753729 750M2226N119M120N757M2100N187M87N201M MD:Z:230A1028C754 NM:i:2 2226,120,2100,87 4 cdhit-output-4_17.iteration.1 0.99 0 3052725 201M87N187M2635N757M120N119M3065N750M MD:Z:754G1028T230 NM:i:2 87,2635,120,3065 4 87,2100,120,2226 87,2635,120,3065
augustus_masked-168183519-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7165844 342M72N850M445N35M MD:Z:144T714G155A179G31 NM:i:4 72,445 2 cdhit-output-4_8.iteration.1 0.99 0 4560355 342M72N850M445N35M MD:Z:670T188G155A211 NM:i:3 72,445 2 72,445 72,445
augustus_masked-168183871-processed-gene-0.4-mRNA-1 myseq12000.fa.r112 0.99 16 7715145 76M329N362M84N102M MD:Z:540 NM:i:0 329,84 2 cdhit-output-4_17.iteration.1 0.99 16 3052423 76M329N362M84N102M MD:Z:540 NM:i:0 329,84 2 84,329 84,329
augustus_masked-168184607-processed-gene-0.2-mRNA-1 myseq9000.fa.r112 0.99 0 9304038 42M105N69M210N166M91N505M2194N166M200N179M239N261M109N650M MD:Z:310G742T379T50G289C172G90 NM:i:6 105,210,91,2194,200,239,109 7 cdhit-output-4_15.iteration.1 0.99 16 3575884 650M109N261M239N179M200N671M91N166M210N69M105N42M MD:Z:90C172G289C50A379A312C429C310 NM:i:7 109,239,200,91,210,105 6 105,210,91,2194,200,239,109 105,210,91,200,239,109
augustus_masked-168184695-processed-gene-0.18-mRNA-1 myseq6000.fa.r112 0.99 0 6707313 103M131N132M246N174M223N136M487N152M600N243M MD:Z:940 NM:i:0 131,246,223,487,600 5 cdhit-output-4_13.iteration.1 0.99 16 3957314 243M600N152M487N136M223N174M246N132M131N103M MD:Z:940 NM:i:0 600,487,223,246,131 5 131,246,223,487,600 131,246,223,487,600
augustus_masked-168184937-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7044568 343M161N174M537N58M66N97M MD:Z:672 NM:i:0 161,537,66 3 cdhit-output-4_9.iteration.1 0.99 16 3260269 343M161N174M537N58M66N97M MD:Z:672 NM:i:0 161,537,66 3 66,537,161 66,537,161
augustus_masked-168184985-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 16 7740132 96M401N1101M169N468M604N1098M MD:Z:571A73T300G1816 NM:i:3 401,169,604 3 cdhit-output-4_16.iteration.1 0.99 16 3092774 96M401N1101M169N468M604N1098M MD:Z:571A73T300G1816 NM:i:3 401,169,604 3 604,169,401 604,169,401
augustus_masked-168185855-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 16 6714091 597M214N90M82N88M103N92M87N293M110N229M102N222M380N240M270N90M989N500M117N51M246N289M MD:Z:366A2228G185 NM:i:2 214,82,103,87,110,102,380,270,989,117,246 11 cdhit-output-4_13.iteration.1 0.99 16 3958073 597M214N90M82N88M103N92M87N293M110N229M102N222M380N240M270N90M989N500M117N51M246N289M MD:Z:366A2228G185 NM:i:2 214,82,103,87,110,102,380,270,989,117,246 11 246,117,989,270,380,102,110,87,103,82,214 246,117,989,270,380,102,110,87,103,82,214
augustus_masked-168186518-processed-gene-0.2-mRNA-1 myseq6000.fa.r112 0.99 0 30439 25M87N264M238N37M964N382M MD:Z:379G31T82T213 NM:i:3 87,238,964 3 cdhit-output-4_12.iteration.1 0.99 0 3364905 25M87N264M238N37M964N382M MD:Z:379G31T16T65T213 NM:i:4 87,238,964 3 87,238,964 87,238,964
augustus_masked-168188139-processed-gene-0.26-mRNA-1 myseq6000.fa.r112 0.99 0 6836696 140M86N337M MD:Z:477 NM:i:0 86 1 cdhit-output-4_13.iteration.1 0.99 16 3957425 337M86N140M MD:Z:477 NM:i:0 86 1 86 86
augustus_masked-168188747-processed-gene-0.8-mRNA-1 myseq15000.fa.r112 0.99 0 11197187 54M712N153M89N45M MD:Z:200C51 NM:i:1 712,89 2 cdhit-output-4_18.iteration.3 0.99 16 4738308 45M89N153M712N54M MD:Z:51G171G28 NM:i:2 89,712 2 712,89 712,89
augustus_masked-168188904-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7158061 1720M249N57M231N38M241N148M91N56M336N165M61N42M MD:Z:27C141C102G6G649C829T466 NM:i:6 249,231,241,91,336,61 6 cdhit-output-4_11.iteration.1 0.99 16 3287691 40M76N167M336N56M91N148M241N38M231N57M249N1720M MD:Z:466A829G649C6C102G141G27 NM:i:6 76,336,91,241,231,249 6 249,231,241,91,336,61 249,231,241,91,336,76
