transcript bin.x coverage.x strand.x gene.x cigar.x MD.x NM.x bin.y coverage.y strand.y gene.y cigar.y MD.y NM.y
augustus_masked-158970197-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7134450 354M MD:Z:77G143C132 NM:i:2 cdhit-output-4_10.iteration.1 0.99 0 959230 354M MD:Z:77G143C132 NM:i:2
augustus_masked-158993501-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 2858581 824M MD:Z:260T382A180 NM:i:2 cdhit-output-4_9.iteration.1 0.99 16 3210575 824M MD:Z:180T382A260 NM:i:2
augustus_masked-159044015-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9297566 1914M MD:Z:1883T30 NM:i:1 cdhit-output-4_15.iteration.1 0.99 16 3575171 1914M MD:Z:1883T30 NM:i:1
augustus_masked-159081026-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7165624 1260M MD:Z:1012C247 NM:i:1 cdhit-output-4_10.iteration.1 0.99 0 2845259 1260M MD:Z:247G1012 NM:i:1
augustus_masked-159279420-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6743013 1281M MD:Z:605G104C60C102C19G134A251 NM:i:6 cdhit-output-4_14.iteration.1 0.99 16 2939775 1281M MD:Z:874C19G134A251 NM:i:3
augustus_masked-159280557-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9298300 1707M MD:Z:560C111G459G75T60A437 NM:i:5 cdhit-output-4_11.iteration.3 0.99 16 2747731 1707M MD:Z:560C111G459G75T60A437 NM:i:5
augustus_masked-159287479-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 5281306 732M MD:Z:354A203G173 NM:i:2 cdhit-output-4_14.iteration.1 0.99 0 3011395 732M MD:Z:57T115N203T354 NM:i:3
augustus_masked-159454360-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 2349430 222M MD:Z:10T211 NM:i:1 cdhit-output-4_14.iteration.1 0.99 16 1284437 222M MD:Z:10T211 NM:i:1
augustus_masked-159766302-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 1198093 779M MD:Z:9G170G598 NM:i:2 cdhit-output-4_8.iteration.1 0.99 16 4559746 779M MD:Z:9G170G598 NM:i:2
augustus_masked-159882295-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9130353 300M MD:Z:150T149 NM:i:1 cdhit-output-4_15.iteration.1 0.99 0 3501155 300M MD:Z:150T149 NM:i:1
augustus_masked-160042276-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6820343 1449M MD:Z:518C90C839 NM:i:2 cdhit-output-4_13.iteration.1 0.99 16 3957260 1449M MD:Z:518C90C839 NM:i:2
augustus_masked-160084814-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9259801 1284M MD:Z:410A10C294T51T1T179G77G36T44C54A118 NM:i:10 cdhit-output-4_11.iteration.1 0.99 16 3287896 1284M MD:Z:415T284C67T1T179G77G36T44C81G6A84 NM:i:10
augustus_masked-160345140-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7632499 231M MD:Z:231 NM:i:0 cdhit-output-4_17.iteration.1 0.99 0 2983294 231M MD:Z:231 NM:i:0
augustus_masked-160355095-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7022305 3225M MD:Z:274G34T448T117T168C792G42T430C24A14C28A118C69A2AT116A71A5C13A37C168G38A188T6 NM:i:23 cdhit-output-4_8.iteration.2 0.99 0 4125026 3225M MD:Z:403G37T13G5T71T120T69G118T28G14T24G430A42C124G54A612G168A211A389C274 NM:i:19
augustus_masked-160384079-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6830551 345M MD:Z:345 NM:i:0 cdhit-output-4_13.iteration.1 0.99 16 3870573 345M MD:Z:345 NM:i:0
augustus_masked-160417307-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7026194 2413M MD:Z:89G124G195C474T208A95C335C517A368 NM:i:8 cdhit-output-4_9.iteration.1 0.99 0 3210341 2413M MD:Z:214G195C474T208A95C335C517A16T351 NM:i:8
augustus_masked-160535725-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9300228 813M MD:Z:813 NM:i:0 cdhit-output-4_14.iteration.1 0.99 16 3011228 813M MD:Z:637T84G90 NM:i:2
augustus_masked-160589544-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9207764 2025M MD:Z:1054G61G148C759 NM:i:3 cdhit-output-4_16.iteration.1 0.99 0 3092904 2025M MD:Z:1054G61G148C237A521 NM:i:4
augustus_masked-161304880-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7692442 429M MD:Z:74C1A30G67C4A10G17A2A6G64G33GT1A22G20G6A39G16 NM:i:17 cdhit-output-4_8.iteration.1 0.99 0 4490100 429M MD:Z:141A142G144 NM:i:2
augustus_masked-161324233-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 1125294 387M MD:Z:289C89T7 NM:i:2 cdhit-output-4_8.iteration.1 0.99 0 4494959 387M MD:Z:289C4T21G70 NM:i:3
augustus_masked-161361862-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7683541 318M MD:Z:318 NM:i:0 cdhit-output-4_17.iteration.1 0.99 0 2989591 318M MD:Z:318 NM:i:0
augustus_masked-161460871-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9253383 549M MD:Z:26C1G520 NM:i:2 cdhit-output-4_15.iteration.1 0.99 16 3493895 549M MD:Z:520C1G26 NM:i:2
augustus_masked-161474922-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9245926 1125M MD:Z:324G450G349 NM:i:2 cdhit-output-4_11.iteration.1 0.99 0 3234197 1125M MD:Z:349C450C324 NM:i:2
augustus_masked-161520615-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7729342 1488M MD:Z:245A353A407G480 NM:i:3 cdhit-output-4_8.iteration.1 0.99 16 4559732 1488M MD:Z:178C9T291C407T353T245 NM:i:5
augustus_masked-161610211-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9271316 423M MD:Z:14T33A374 NM:i:2 cdhit-output-4_9.iteration.1 0.99 16 3189261 423M MD:Z:14T33A374 NM:i:2
augustus_masked-161655789-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7103360 525M MD:Z:107C417 NM:i:1 cdhit-output-4_10.iteration.1 0.99 0 2915296 525M MD:Z:107C417 NM:i:1
augustus_masked-161710627-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 2763563 564M MD:Z:47T9G5T72C10A25C40T188C45T1G112 NM:i:10 cdhit-output-4_10.iteration.1 0.99 16 2915397 564M MD:Z:112C1A45G188A40G25T10G72A5C9A47 NM:i:10
augustus_masked-161771757-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 6831391 648M MD:Z:107C2T108C13G8T135N87G75T22A82 NM:i:9 cdhit-output-4_12.iteration.4 0.99 0 2758758 648M MD:Z:12T31A1GA2AC1A53C2G50T27G29CA12G8T2C32T227T58G57C24 NM:i:20
augustus_masked-161823563-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 16 7630002 1950M MD:Z:39G35T1T735G110G68G376C3C35C16C228A13A67C211 NM:i:13 cdhit-output-4_17.iteration.1 0.99 16 3052597 1950M MD:Z:39G35T1T735G110G68G376C3C35C16C228A13A67C211 NM:i:13
augustus_masked-161866779-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9237467 942M MD:Z:90C151T10A25T3C97T1C121G87T47C160T6T21A110 NM:i:13 cdhit-output-4_15.iteration.1 0.99 0 3575218 942M MD:Z:110T21A6A54T105G47A87C121G1A97G3A25T10A151G90 NM:i:14
augustus_masked-161896787-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9251368 1587M MD:Z:395C190G181A32C46G191G7C96A68G99C2G121G147 NM:i:12 cdhit-output-4_12.iteration.1 0.99 16 3364894 1587M MD:Z:147C679T172C129G60G395 NM:i:5
augustus_masked-161939159-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 6747068 2550M MD:Z:41A31C21C8G75T23T14G43G153T127T402T20C352T488T56T467A176G36 NM:i:17 cdhit-output-4_13.iteration.3 0.99 16 4700337 2550M MD:Z:213T467A56A488A352G20A402A281C58A99C30G7T65 NM:i:12
augustus_masked-161990408-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7736680 498M MD:Z:8G59T8C31T103G178T13T91 NM:i:7 cdhit-output-4_16.iteration.1 0.99 0 379996 498M MD:Z:91A13A178C103A31G8A59C8 NM:i:7
augustus_masked-162020190-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7733851 1401M MD:Z:54G18C133G310C83C17C27G1A23T28C33C71G68G3A88T50C1C376 NM:i:17 cdhit-output-4_16.iteration.1 0.99 0 3092853 1401M MD:Z:73C444C101C116C71G68G3A88T50C1C196A179 NM:i:11
augustus_masked-162088407-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 0 7065597 435M MD:Z:51C383 NM:i:1 cdhit-output-4_10.iteration.1 0.99 0 2915326 435M MD:Z:51C383 NM:i:1
augustus_masked-162100704-processed-gene-0.3-mRNA-1 myseq9000.fa.r112 0.99 16 9194351 468M MD:Z:123C182A57G37T65 NM:i:4 cdhit-output-4_15.iteration.1 0.99 0 3575490 468M MD:Z:65A37C57T182G123 NM:i:4
augustus_masked-162128440-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7715879 393M MD:Z:49G1G59C281 NM:i:3 cdhit-output-4_10.iteration.1 0.99 16 2914662 393M MD:Z:270N122 NM:i:1
augustus_masked-162246406-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6789694 1623M MD:Z:418C13AC32TC9A10T61T10T74G440C436A46A61 NM:i:13 cdhit-output-4_14.iteration.1 0.99 0 3011739 1623M MD:Z:61T46T436G440C74A10A61A10T9GA32GT13G418 NM:i:13
augustus_masked-162249451-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7139941 2546M MD:Z:684T171C40G26C590C153T559A31C249A25C8 NM:i:10 cdhit-output-4_14.iteration.1 0.99 16 3011284 2546M MD:Z:684T171C40G26C744T841A25C8 NM:i:7
augustus_masked-162273354-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7081674 681M MD:Z:29A28A87T197C33A99A63C9C106A21 NM:i:9 cdhit-output-4_8.iteration.1 0.99 0 4527412 681M MD:Z:21T106G9G63T99T33G197A87T28T29 NM:i:9
augustus_masked-162301359-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7719801 1062M MD:Z:235G43C15C14A2A216T20T237A67T204 NM:i:9 cdhit-output-4_17.iteration.1 0.99 16 3052511 1062M MD:Z:235G43C15C14A2A216T20T237A67T204 NM:i:9
augustus_masked-162318402-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6739977 339M MD:Z:103C235 NM:i:1 cdhit-output-4_13.iteration.2 0.99 0 4287590 339M MD:Z:235G103 NM:i:1
augustus_masked-162342153-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9293171 2382M MD:Z:1075T65C92G852G159A19A114 NM:i:6 cdhit-output-4_15.iteration.1 0.99 0 3496449 2382M MD:Z:1141C92G852G159A19A114 NM:i:5
augustus_masked-162508246-processed-gene-0.1-mRNA-1 myseq3000.fa.r112 0.99 16 9207370 626M MD:Z:93G24C344C162 NM:i:3 cdhit-output-4_10.iteration.1 0.99 16 2903430 626M MD:Z:93G24C344C162 NM:i:3
augustus_masked-162588525-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7591887 739M MD:Z:130A71C114T30G100A24C13C1G217C30 NM:i:9 cdhit-output-4_18.iteration.3 0.99 0 1402490 739M MD:Z:30G217A1G13G271G71T130 NM:i:6
augustus_masked-162591030-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9294536 2334M MD:Z:117G392A425T724C38C234G170T77G149 NM:i:8 cdhit-output-4_12.iteration.1 0.99 16 3287543 2334M MD:Z:936T724C6A13A2G14C40C4G9A158T190T77G149 NM:i:12
augustus_masked-162599146-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6773092 552M MD:Z:12A29A38T63C406 NM:i:4 cdhit-output-4_13.iteration.1 0.99 16 3870493 552M MD:Z:12A29A38T63C406 NM:i:4
augustus_masked-162611389-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7165423 1269M MD:Z:46T110C65C230T37C22G34G86C12C132A308T71C60C43 NM:i:13 cdhit-output-4_8.iteration.1 0.99 16 4559514 1269M MD:Z:43G60G71A308T132G12G86C34C22G37A230G65G110A46 NM:i:13
augustus_masked-162644485-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7738439 1191M MD:Z:70T10G1G139T27T17G104G119T12A47G367T2A30G233 NM:i:13 cdhit-output-4_10.iteration.1 0.99 16 2915348 1191M MD:Z:233C30T2A367C47T12A119C104C17A27A139C1C10A70 NM:i:13
augustus_masked-162706066-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7054383 1902M MD:Z:109C8C292A20A225T175C589C236C240 NM:i:8 cdhit-output-4_10.iteration.1 0.99 16 2915102 1902M MD:Z:109C8C292A20A225T765C236C240 NM:i:7
augustus_masked-162746834-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7086509 510M MD:Z:75A434 NM:i:1 cdhit-output-4_9.iteration.1 0.99 0 3260794 510M MD:Z:434T75 NM:i:1
augustus_masked-162759288-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9290922 1476M MD:Z:682G15C44A41A216C290A172C9 NM:i:7 cdhit-output-4_12.iteration.1 0.99 16 3284436 1476M MD:Z:9G172T290G303G698 NM:i:4
augustus_masked-162899247-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6849814 369M MD:Z:86T71A175T34 NM:i:3 cdhit-output-4_13.iteration.2 0.99 16 4336288 369M MD:Z:86T247T34 NM:i:2
augustus_masked-162902512-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6707826 357M MD:Z:123A82A17T39A92 NM:i:4 cdhit-output-4_13.iteration.5 0.99 0 3413994 357M MD:Z:92T39A17T82T123 NM:i:4
augustus_masked-162903465-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 0 6783128 243M MD:Z:243 NM:i:0 cdhit-output-4_14.iteration.1 0.99 0 2990933 243M MD:Z:243 NM:i:0
augustus_masked-162909039-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7672150 312M MD:Z:312 NM:i:0 cdhit-output-4_16.iteration.1 0.99 0 3093283 312M MD:Z:312 NM:i:0
augustus_masked-162926840-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 4907424 369M MD:Z:369 NM:i:0 cdhit-output-4_13.iteration.1 0.99 0 3958282 369M MD:Z:369 NM:i:0
augustus_masked-162936136-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9139364 1314M MD:Z:1113T41A158 NM:i:2 cdhit-output-4_14.iteration.1 0.99 0 3012243 1314M MD:Z:158T41A89G830T192 NM:i:4
augustus_masked-162952495-processed-gene-0.1-mRNA-1 myseq15000.fa.r112 0.99 0 4579625 417M MD:Z:417 NM:i:0 cdhit-output-4_18.iteration.1 0.99 16 3690364 417M MD:Z:417 NM:i:0
augustus_masked-163056377-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9298565 1560M MD:Z:93A565G660G98T140 NM:i:4 cdhit-output-4_9.iteration.1 0.99 0 3183570 1560M MD:Z:140A98C268C391C565T93 NM:i:5
augustus_masked-163059219-processed-gene-0.0-mRNA-1 myseq6000.fa.r112 0.99 16 6764451 324M MD:Z:324 NM:i:0 cdhit-output-4_16.iteration.1 0.99 16 3093365 324M MD:Z:324 NM:i:0
augustus_masked-163085346-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 0 9301001 2196M MD:Z:242G286G1119A383G157G4 NM:i:5 cdhit-output-4_10.iteration.1 0.99 16 2848997 2196M MD:Z:546T1119C286C242 NM:i:3
augustus_masked-163098266-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9201403 2067M MD:Z:384C667A959T11A42 NM:i:4 cdhit-output-4_11.iteration.1 0.99 16 3288507 2067M MD:Z:42T11A959T667G384 NM:i:4
augustus_masked-163111636-processed-gene-0.0-mRNA-1 myseq15000.fa.r112 0.99 16 9302467 2556M MD:Z:66G215T424C21T386C845A55T33A317G174C10 NM:i:10 cdhit-output-4_19.iteration.1 0.99 16 831922 2556M MD:Z:66G640C408C845A55T33A317G91A82C10 NM:i:9
augustus_masked-163127727-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 8028928 460M MD:Z:109A56T57G29T23A153C27 NM:i:6 cdhit-output-4_14.iteration.2 0.99 16 5290802 460M MD:Z:109A56T57G29T23A153C27 NM:i:6
augustus_masked-163142492-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9216939 888M MD:Z:56A51A70A310C221C83C91 NM:i:6 cdhit-output-4_10.iteration.2 0.99 16 3112605 888M MD:Z:91G83G221G310T70T51T56 NM:i:6
augustus_masked-163182345-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9137367 1509M MD:Z:736C772 NM:i:1 cdhit-output-4_17.iteration.1 0.99 0 3052028 1509M MD:Z:736C772 NM:i:1
augustus_masked-163245988-processed-gene-0.2-mRNA-1 myseq12000.fa.r112 0.99 16 7749552 489M MD:Z:6T75G65G45T7A1CT15C10G23T27A58G66A22G47A7 NM:i:15 cdhit-output-4_19.iteration.1 0.99 16 831848 489M MD:Z:52A436 NM:i:1
augustus_masked-163331802-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 16 9190473 969M MD:Z:90C353A143A380 NM:i:3 cdhit-output-4_15.iteration.1 0.99 0 3575188 969M MD:Z:380T143T353G90 NM:i:3
augustus_masked-163404341-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9168692 3690M MD:Z:1194C128C209G2097C58 NM:i:4 cdhit-output-4_9.iteration.1 0.99 16 3260698 3690M MD:Z:1194C128C209G2097C58 NM:i:4
augustus_masked-163404630-processed-gene-0.1-mRNA-1 myseq6000.fa.r112 0.99 16 6849435 774M MD:Z:159C71C8C533 NM:i:3 cdhit-output-4_13.iteration.1 0.99 0 3957761 774M MD:Z:533G8G231 NM:i:2
augustus_masked-163410974-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 16 7158945 2046M MD:Z:8C1169T586C111T150G17 NM:i:5 cdhit-output-4_8.iteration.1 0.99 16 4560253 2046M MD:Z:8C1169T586C111T150G17 NM:i:5
augustus_masked-163436855-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7065524 465M MD:Z:391G4G64C3 NM:i:3 cdhit-output-4_9.iteration.1 0.99 16 3183983 465M MD:Z:391G4G64C3 NM:i:3
augustus_masked-163450215-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9295801 1173M MD:Z:245C18G808T53T6A38 NM:i:5 cdhit-output-4_12.iteration.1 0.99 16 3364319 1173M MD:Z:38T6A53A808C18G245 NM:i:5
augustus_masked-163503528-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7752004 2109M MD:Z:658C199T118T1026T104 NM:i:4 cdhit-output-4_8.iteration.1 0.99 0 4559943 2109M MD:Z:104A1026A318G658 NM:i:3
augustus_masked-163572805-processed-gene-0.1-mRNA-1 myseq9000.fa.r112 0.99 16 9184925 417M MD:Z:187T229 NM:i:1 cdhit-output-4_16.iteration.1 0.99 16 3019786 417M MD:Z:187T229 NM:i:1
augustus_masked-163643823-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7592619 1083M MD:Z:1083 NM:i:0 cdhit-output-4_17.iteration.1 0.99 0 3051953 1083M MD:Z:1083 NM:i:0
augustus_masked-163689328-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9202073 1173M MD:Z:197A252C443G109C168 NM:i:4 cdhit-output-4_12.iteration.1 0.99 0 3364983 1173M MD:Z:168G109C443G252T197 NM:i:4
augustus_masked-163766643-processed-gene-0.1-mRNA-1 myseq0.fa.r112 0.99 16 7052952 2184M MD:Z:147G377T194T5C438A26C17A25A78G27T6G41C32T79C41T34A11T17A412A36T85G23G3C7 NM:i:23 cdhit-output-4_8.iteration.1 0.99 0 4560212 2184M MD:Z:7G3C23C85A36T412T17A11T34A41G79A32G41C6A27C78T25T17G26T438G5A194A377C147 NM:i:23
augustus_masked-163767771-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7741906 462M MD:Z:4T16G15T92T69A1A10A24T74C38C90G18 NM:i:11 cdhit-output-4_18.iteration.3 0.99 16 1758613 462M MD:Z:18C90G120A28T54T73T51C16A4 NM:i:8
augustus_masked-163822686-processed-gene-0.2-mRNA-1 myseq3000.fa.r112 0.99 0 9135238 603M MD:Z:173A74TT299A41G11 NM:i:5 cdhit-output-4_12.iteration.2 0.99 16 2804278 603M MD:Z:11C41T258C290 NM:i:3
augustus_masked-163880074-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9244806 900M MD:Z:112A17G2T62A78A55G120C89C52A101A42T51A107 NM:i:12 cdhit-output-4_12.iteration.1 0.99 16 3364151 900M MD:Z:48G58T51A42T365C46A8T78T29C35C11C5T112 NM:i:12
augustus_masked-163897976-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 16 9141239 354M MD:Z:354 NM:i:0 cdhit-output-4_11.iteration.1 0.99 0 3250343 354M MD:Z:223G12C29C32C54 NM:i:4
augustus_masked-163901590-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7701734 729M MD:Z:223G17A103G28T39G77T85T17T132 NM:i:8 cdhit-output-4_9.iteration.2 0.99 16 3334209 729M MD:Z:223G17A103G28T39G77T103T132 NM:i:7
augustus_masked-163949268-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9298743 1440M MD:Z:19C43A106G2T36C166C162C174A232G370C5T114 NM:i:11 cdhit-output-4_16.iteration.1 0.99 16 3021724 1440M MD:Z:114A5G603T174G162G166G36A2C138G11GT18 NM:i:11
augustus_masked-163984269-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7660510 420M MD:Z:333G25G60 NM:i:2 cdhit-output-4_19.iteration.1 0.99 0 815011 420M MD:Z:333G25G60 NM:i:2
augustus_masked-163994809-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 16 7712774 804M MD:Z:366C74CT361 NM:i:3 cdhit-output-4_17.iteration.1 0.99 0 3032267 804M MD:Z:361AG74G366 NM:i:3
augustus_masked-164006246-processed-gene-0.0-mRNA-1 myseq9000.fa.r112 0.99 0 9237215 492M MD:Z:85A6G1G43T21G108A7C214 NM:i:7 cdhit-output-4_15.iteration.1 0.99 16 3575775 492M MD:Z:214G7T102T27A43C1C92 NM:i:6
augustus_masked-164016228-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9300690 2235M MD:Z:2235 NM:i:0 cdhit-output-4_11.iteration.1 0.99 0 3287942 2235M MD:Z:2235 NM:i:0
augustus_masked-164044203-processed-gene-0.0-mRNA-1 myseq12000.fa.r112 0.99 0 7671674 3162M MD:Z:7T489A308C89G496G405A251G112G511C13G71T137G261 NM:i:12 cdhit-output-4_14.iteration.1 0.99 0 2950580 3162M MD:Z:7T489A308C89G496G405A251G112G511C13G71T137G261 NM:i:12
augustus_masked-164135065-processed-gene-0.1-mRNA-1 myseq12000.fa.r112 0.99 0 7708204 1740M MD:Z:47A68A96G53T23A9A78G281T2A89A78A223G29A4G41G93G119T390 NM:i:17 cdhit-output-4_16.iteration.1 0.99 16 3049956 1740M MD:Z:378C131C93C41C4T29C223T78T89T2A281C78T9T23A53C96T68T47 NM:i:17
augustus_masked-164138161-processed-gene-0.0-mRNA-1 myseq0.fa.r112 0.99 0 7085405 960M MD:Z:24G11C58T149G344T170G198 NM:i:6 cdhit-output-4_10.iteration.1 0.99 0 2915217 960M MD:Z:24G11C58T149G344T170G198 NM:i:6
augustus_masked-164156711-processed-gene-0.0-mRNA-1 myseq3000.fa.r112 0.99 0 9298491 1281M MD:Z:61G498T23G104T473A76G40 NM:i:6 cdhit-output-4_10.iteration.1 0.99 0 2915507 1281M MD:Z:61G926G174A76G40 NM:i:4
