bin coverage transcript strand gene cigar MD NM introns_len introns_num
myseq0.fa.r112 0.99 snap_masked-168403627-processed-gene-0.20-mRNA-1 16 7047075 285M35N31M608N341M MD:Z:171A227A257 NM:i:2 35,608 2
myseq12000.fa.r112 0.99 snap_masked-168399922-processed-gene-0.6-mRNA-1 0 7646939 389M853N19M MD:Z:38G369 NM:i:1 853 1
myseq12000.fa.r112 0.99 snap_masked-168395513-processed-gene-0.10-mRNA-1 0 7705549 1059M967N30M MD:Z:260A410T417 NM:i:2 967 1
myseq0.fa.r112 0.99 snap_masked-168391806-processed-gene-0.50-mRNA-1 16 7149209 387M161N232M863N1749M631N1326M MD:Z:606A26C367T1083T953A124C48G61G418 NM:i:8 161,863,631 3
myseq9000.fa.r112 0.99 snap_masked-168370811-processed-gene-0.10-mRNA-1 16 9236642 745M288N216M126N132M430N147M222N294M174N30M MD:Z:88C69C22C42T75G112T550T72C10G98T2T73T161G89T39C2C29A14 NM:i:17 288,126,430,222,174 5
myseq6000.fa.r112 0.99 snap_masked-168370667-processed-gene-0.9-mRNA-1 16 6827235 672M300N96M151N108M535N377M1105N31M MD:Z:294G101A20T23T647G194 NM:i:5 300,151,535,1105 4
myseq6000.fa.r112 0.99 snap_masked-168369871-processed-gene-0.44-mRNA-1 0 6792622 520M181N368M124N221M112N85M138N576M MD:Z:317T1452 NM:i:1 181,124,112,138 4
myseq12000.fa.r112 0.99 snap_masked-168363119-processed-gene-0.34-mRNA-1 0 7753804 186M830N177M MD:Z:20A342 NM:i:1 830 1
myseq12000.fa.r112 0.99 snap_masked-168348206-processed-gene-0.49-mRNA-1 0 7707742 1398M772N99M MD:Z:378A192C148A37C80A153C57T206T203G34 NM:i:9 772 1
myseq6000.fa.r112 0.99 snap_masked-168344558-processed-gene-0.20-mRNA-1 0 6814240 483M980N255M263N160M47N77M MD:Z:781T73T119 NM:i:2 980,263,47 3
myseq6000.fa.r112 0.99 snap_masked-168314006-processed-gene-0.71-mRNA-1 16 2824895 387M620N21M MD:Z:152T255 NM:i:1 620 1
myseq0.fa.r112 0.99 snap_masked-168310027-processed-gene-0.6-mRNA-1 0 7166171 342M270N1015M718N125M157N918M MD:Z:9A597G15C210C1565 NM:i:4 270,718,157 3
myseq3000.fa.r112 0.99 snap_masked-168304247-processed-gene-0.14-mRNA-1 0 9230132 21M264N876M MD:Z:587T90C7T155TC53 NM:i:5 264 1
myseq12000.fa.r112 0.99 snap_masked-168301335-processed-gene-0.13-mRNA-1 16 7627937 587M61N276M MD:Z:46TT7A284C28G40T54G211C48G29T69C36 NM:i:11 61 1
myseq6000.fa.r112 0.99 snap_masked-168267877-processed-gene-0.58-mRNA-1 16 6741236 24M50N298M203N248M131N294M MD:Z:9T251T46G30C157C114G17G38T41A32A6C24C9C77 NM:i:13 50,203,131 3
myseq0.fa.r112 0.99 snap_masked-168267741-processed-gene-0.11-mRNA-1 16 7168970 613M214N128M MD:Z:3C32G34CA38C3A6T213C1T91T118G139A22C18C9 NM:i:14 214 1
myseq9000.fa.r112 0.99 snap_masked-168259747-processed-gene-0.3-mRNA-1 16 9224146 111M369N149M197N55M MD:Z:52A23A238 NM:i:2 369,197 2
myseq0.fa.r112 0.99 snap_masked-168243840-processed-gene-0.32-mRNA-1 0 3618394 23M665N127M160N765M643N28M141N119M545N90M214N595M MD:Z:165A244C810T525 NM:i:3 665,160,643,141,545,214 6
myseq12000.fa.r112 0.99 snap_masked-168241044-processed-gene-0.5-mRNA-1 0 7748212 265M183N221M165N1719M MD:Z:115A457A44A278A132G53G108G121G765A72C38T11 NM:i:11 183,165 2
myseq6000.fa.r112 0.99 snap_masked-168233950-processed-gene-0.49-mRNA-1 0 6802230 241M374N173M1225N127M1504N251M107N115M135N256M116N169M171N525M MD:Z:1857 NM:i:0 374,1225,1504,107,135,116,171 7
myseq3000.fa.r112 0.99 snap_masked-168232233-processed-gene-0.19-mRNA-1 0 9240239 247M1039N20M MD:Z:127G45C21C13T57 NM:i:4 1039 1
myseq12000.fa.r112 0.99 snap_masked-168230750-processed-gene-0.39-mRNA-1 0 7711445 70M156N326M MD:Z:313A82 NM:i:1 156 1
myseq0.fa.r112 0.99 snap_masked-168227321-processed-gene-1.125-mRNA-1 16 7044508 797M935N87M MD:Z:884 NM:i:0 935 1
myseq6000.fa.r112 0.99 snap_masked-168225487-processed-gene-0.67-mRNA-1 16 6821927 698M177N158M142N87M527N293M112N157M270N114M MD:Z:1407T99 NM:i:1 177,142,527,112,270 5
myseq3000.fa.r112 0.99 snap_masked-168221674-processed-gene-0.30-mRNA-1 16 9137566 531M147N490M MD:Z:812T26C181 NM:i:2 147 1
myseq9000.fa.r112 0.99 snap_masked-168217481-processed-gene-0.55-mRNA-1 0 9304005 219M142N100M123N78M216N88M97N105M187N658M208N194M156N109M2456N478M MD:Z:506C1094A194C85C18C7C9G28A37A10T11T19 NM:i:11 142,123,216,97,187,208,156,2456 8
myseq3000.fa.r112 0.99 snap_masked-168209777-processed-gene-0.51-mRNA-1 0 9303013 69M300N67M171N548M MD:Z:93G418T171 NM:i:2 300,171 2
myseq9000.fa.r112 0.99 snap_masked-168199200-processed-gene-0.72-mRNA-1 0 9252270 97M224N20M298N1212M MD:Z:87G89G227T4T329G5C238A45A297 NM:i:8 224,298 2
myseq12000.fa.r112 0.99 snap_masked-168192009-processed-gene-0.91-mRNA-1 16 7620083 1182M212N146M123N60M MD:Z:888C484C14 NM:i:2 212,123 2
myseq6000.fa.r112 0.99 snap_masked-168191494-processed-gene-0.57-mRNA-1 0 6711022 579M241N84M MD:Z:339T56G62C7A60A14GA21C52T1C41 NM:i:10 241 1
myseq9000.fa.r112 0.99 snap_masked-168188494-processed-gene-0.13-mRNA-1 16 9201040 75M61N366M803N339M168N21M MD:Z:12C788 NM:i:1 61,803,168 3
myseq0.fa.r112 0.99 snap_masked-168187374-processed-gene-0.122-mRNA-1 16 7069078 924M479N497M45N106M MD:Z:166G210T29C114C1004 NM:i:4 479,45 2
myseq12000.fa.r112 0.99 snap_masked-168187075-processed-gene-0.14-mRNA-1 16 7754121 18M934N2601M MD:Z:626A27A131C47T581G68A424C75A335C234T19G35T5 NM:i:12 934 1
myseq12000.fa.r112 0.99 snap_masked-168186309-processed-gene-0.25-mRNA-1 16 7722963 17M162N322M MD:Z:339 NM:i:0 162 1
myseq3000.fa.r112 0.99 snap_masked-168184965-processed-gene-0.19-mRNA-1 0 9299338 224M114N613M67N33M MD:Z:33T11AA27A58G4C13A34A22G154C176C103G85T55A56T1G22 NM:i:16 114,67 2
myseq0.fa.r112 0.99 snap_masked-168184876-processed-gene-0.41-mRNA-1 0 7164605 1229M53N25M MD:Z:112C132T21G35A97A50G197T96A157TC347 NM:i:10 53 1
myseq9000.fa.r112 0.99 snap_masked-168184629-processed-gene-0.10-mRNA-1 16 9208719 1693M340N23M MD:Z:168C259A192C170G66T381C21G452 NM:i:7 340 1
myseq3000.fa.r112 0.99 snap_masked-168165369-processed-gene-0.14-mRNA-1 16 9260413 713M66N253M MD:Z:17T165A67G7A51T11T26A13G94C37C142T27C13A13C45T19A135C1C65 NM:i:18 66 1
myseq9000.fa.r112 0.99 snap_masked-168153487-processed-gene-0.15-mRNA-1 0 9304076 138M101N275M887N1424M1090N252M186N92M2213N489M MD:Z:163T11A123G5C313C2050 NM:i:5 101,887,1090,186,2213 5
myseq6000.fa.r112 0.99 snap_masked-168143466-processed-gene-0.14-mRNA-1 16 6739608 16M611N1871M MD:Z:593G1206A86 NM:i:2 611 1
myseq9000.fa.r112 0.99 snap_masked-168127238-processed-gene-0.8-mRNA-1 16 9175431 403M22N850M969N209M105N356M395N427M1047N957M MD:Z:72C201T4A197C131G11CA83G42C15T59A24G61T3C37C47G30C1A47A74C49C76C625A62T426C18G146T17A196G173C32G138T36G36 NM:i:33 22,969,105,395,1047 5
myseq3000.fa.r112 0.99 snap_masked-168104155-processed-gene-0.10-mRNA-1 0 9303142 1202M2562N166M MD:Z:43A11C24G14T1272 NM:i:4 2562 1
myseq12000.fa.r112 0.99 snap_masked-168052496-processed-gene-0.23-mRNA-1 0 7699652 503M96N392M258N704M MD:Z:60T337T1200 NM:i:2 96,258 2
myseq9000.fa.r112 0.99 snap_masked-167957962-processed-gene-0.58-mRNA-1 0 8940617 140M586N115M143N65M290N55M95N382M MD:Z:757 NM:i:0 586,143,290,95 4
myseq12000.fa.r112 0.99 snap_masked-167955145-processed-gene-0.20-mRNA-1 0 7722906 2264M277N1181M MD:Z:227C273C1G397G664C197T400CA112T376G726C61 NM:i:11 277 1
myseq6000.fa.r112 0.99 snap_masked-167923352-processed-gene-0.14-mRNA-1 0 6814997 197M869N268M287N215M48N338M81N480M105N155M116N83M112N927M MD:Z:255C137A80T281G646G599A342G97G11A206 NM:i:9 869,287,48,81,105,116,112 7
myseq0.fa.r112 0.99 snap_masked-167864594-processed-gene-0.9-mRNA-1 0 7168419 267M311N161M86N204M107N238M157N1137M MD:Z:682C204A520G598 NM:i:3 311,86,107,157 4
myseq12000.fa.r112 0.99 snap_masked-167852520-processed-gene-0.20-mRNA-1 0 7591667 1082M269N151M176N142M299N62M92N943M MD:Z:196G33A1569A579 NM:i:3 269,176,299,92 4
myseq12000.fa.r112 0.99 snap_masked-167813743-processed-gene-0.6-mRNA-1 0 7706946 130M139N184M228N84M227N8M280N105M187N71M723N832M MD:Z:863G70C387A91 NM:i:3 139,228,227,280,187,723 6
myseq0.fa.r112 0.99 snap_masked-167263573-processed-gene-0.2-mRNA-1 16 7168502 956M464N1774M MD:Z:458G299T18T606T391C89A730A132 NM:i:7 464 1
myseq0.fa.r112 0.99 snap_masked-167016301-processed-gene-0.3-mRNA-1 0 6243562 433M378N197M MD:Z:223T211C194 NM:i:2 378 1
myseq3000.fa.r112 0.99 snap_masked-166997004-processed-gene-0.2-mRNA-1 16 9299386 624M86N54M651N109M106N264M307N104M207N1212M217N209M MD:Z:942GA1G49C2C533A170G11C59A44T12C481A260 NM:i:12 86,651,106,307,207,217 6
myseq9000.fa.r112 0.99 snap_masked-166939621-processed-gene-0.2-mRNA-1 0 9250384 198M815N89M217N285M36N1995M163N211M148N1028M MD:Z:300A313C23G499G317T148G51T1417C315A414 NM:i:9 815,217,36,163,148 5
myseq9000.fa.r112 0.99 snap_masked-166827834-processed-gene-0.6-mRNA-1 16 9179723 264M1459N698M1038N349M MD:Z:5C58T127A5C2G140T50G174T208G268C40C40A126C15C39 NM:i:14 1459,1038 2
myseq9000.fa.r112 0.99 snap_masked-166706928-processed-gene-0.2-mRNA-1 16 9269246 605M121N540M MD:Z:291C202A12T264A11C44A176A138 NM:i:7 121 1
myseq3000.fa.r112 0.99 snap_masked-165775771-processed-gene-0.2-mRNA-1 0 9237588 99M87N426M355N852M MD:Z:27A13T131A168AA208T196T627 NM:i:7 87,355 2
myseq12000.fa.r112 0.99 snap_masked-162693410-processed-gene-0.3-mRNA-1 0 7587474 97M38N414M426N1049M MD:Z:632A205A185G132G48G78C30G243 NM:i:7 38,426 2
myseq6000.fa.r112 0.99 snap_masked-162051028-processed-gene-0.3-mRNA-1 16 6791752 277M106N572M MD:Z:71A18A143G152T37T222A16C52G75A25G16T11 NM:i:11 106 1
myseq9000.fa.r112 0.99 snap_masked-161894007-processed-gene-0.3-mRNA-1 16 9143814 267M151N144M107N78M171N682M MD:Z:185G568C116A151T42G49G54 NM:i:6 151,107,171 3
myseq12000.fa.r112 0.99 snap_masked-158642469-processed-gene-0.4-mRNA-1 0 7748787 315M348N771M MD:Z:960C125 NM:i:1 348 1
myseq9000.fa.r112 0.99 maker-97349046-snap-gene-0.2-mRNA-1 16 9137278 315M189N941M MD:Z:654A601 NM:i:1 189 1
myseq6000.fa.r112 0.99 maker-95637066-snap-gene-0.4-mRNA-1 0 6851836 402M146N109M130N86M MD:Z:597 NM:i:0 146,130 2
myseq3000.fa.r112 0.99 maker-89711947-augustus-gene-0.3-mRNA-1 16 9255935 940M106N69M MD:Z:1009 NM:i:0 106 1
myseq9000.fa.r112 0.99 maker-75264706-snap-gene-0.4-mRNA-1 0 9300952 273M98N195M MD:Z:238A53G175 NM:i:2 98 1
myseq9000.fa.r112 0.99 maker-74361277-snap-gene-0.6-mRNA-1 0 9284268 1119M547N1221M MD:Z:381T196G735G781A243 NM:i:4 547 1
myseq6000.fa.r112 0.99 maker-57141529-augustus-gene-0.3-mRNA-1 16 6750677 530M123N120M94N144M MD:Z:17A230G35G24C105G19G250T55T51 NM:i:8 123,94 2
myseq3000.fa.r112 0.99 maker-54538516-snap-gene-0.5-mRNA-1 0 9300661 376M112N886M MD:Z:184C132C218T503A77A71C71 NM:i:6 112 1
myseq9000.fa.r112 0.99 maker-5410913-augustus-gene-0.3-mRNA-1 16 9265528 751M207N130M189N284M MD:Z:529C23G322C142C2C5C8A127 NM:i:7 207,189 2
myseq0.fa.r112 0.99 maker-42639634-augustus-gene-0.4-mRNA-1 0 7068486 360M101N101M122N197M115N435M30N73M MD:Z:126G20T16T8A5A601G384 NM:i:6 101,122,115,30 4
myseq6000.fa.r112 0.99 maker-34152916-augustus-gene-0.3-mRNA-1 0 5344620 180M91N445M MD:Z:313A311 NM:i:1 91 1
myseq9000.fa.r112 0.99 maker-168577648-snap-gene-0.51-mRNA-1 0 9197852 36M746N183M210N219M207N81M426N21M MD:Z:52A33A110C305T36 NM:i:4 746,210,207,426 4
myseq12000.fa.r112 0.99 maker-168577634-snap-gene-0.47-mRNA-1 0 7646372 237M912N276M186N189M1437N574M MD:Z:1276 NM:i:0 912,186,1437 3
myseq6000.fa.r112 0.99 maker-168577632-snap-gene-0.64-mRNA-1 0 6802368 297M1112N86M251N66M116N171M146N171M142N156M135N147M126N72M125N549M106N245M MD:Z:433A50G149G740T584 NM:i:4 1112,251,116,146,142,135,126,125,106 9
myseq9000.fa.r112 0.99 maker-168577629-augustus-gene-0.26-mRNA-1 16 9179045 1568M101N621M382N63M MD:Z:222A21A233T117C1228T343C82 NM:i:6 101,382 2
myseq3000.fa.r112 0.99 maker-168577625-snap-gene-0.40-mRNA-1 0 9299478 674M165N519M619N596M MD:Z:578G626A583 NM:i:2 165,619 2
myseq12000.fa.r112 0.99 maker-168577592-augustus-gene-0.95-mRNA-1 16 3825422 419M95N102M89N81M141N96M139N105M102N75M113N60M301N131M133N76M276N33M MD:Z:14A6C448G424G282 NM:i:4 95,89,141,139,102,113,301,133,276 9
myseq12000.fa.r112 0.99 maker-168577591-augustus-gene-0.54-mRNA-1 16 7711095 323M133N99M236N69M101N39M258N114M166N150M105N126M MD:Z:812C107 NM:i:1 133,236,101,258,166,105 6
myseq9000.fa.r112 0.99 maker-168577567-augustus-gene-0.70-mRNA-1 0 9220624 430M101N2044M MD:Z:13C1142C1198G118 NM:i:3 101 1
myseq9000.fa.r112 0.99 maker-168577559-augustus-gene-1.69-mRNA-1 0 9227606 30M258N141M359N1064M MD:Z:29A205A41G64C38C27T69G31A78T106C159T25T78A47C224 NM:i:14 258,359 2
myseq0.fa.r112 0.99 maker-168577546-snap-gene-1.73-mRNA-1 0 7158878 522M1007N141M90N21M MD:Z:684 NM:i:0 1007,90 2
myseq9000.fa.r112 0.99 maker-168577542-augustus-gene-0.28-mRNA-1 0 9173426 389M187N96M80N655M410N1265M175N295M MD:Z:119C1159C398C315A705 NM:i:4 187,80,410,175 4
myseq9000.fa.r112 0.99 maker-168577528-augustus-gene-0.84-mRNA-1 0 9198121 220M1675N362M MD:Z:199A382 NM:i:1 1675 1
myseq6000.fa.r112 0.99 maker-168577511-snap-gene-0.95-mRNA-1 0 6851631 1882M2010N207M721N340M MD:Z:446C415T1027T68T469 NM:i:4 2010,721 2
myseq9000.fa.r112 0.99 maker-168577511-augustus-gene-0.94-mRNA-1 16 9260339 228M62N135M92N117M MD:Z:81C251C40T55G49 NM:i:4 62,92 2
myseq12000.fa.r112 0.99 maker-168577495-snap-gene-0.68-mRNA-1 0 7753976 404M548N226M269N339M1696N261M119N53M142N115M91N255M2774N1359M MD:Z:1035A1539C68T177G189 NM:i:4 548,269,1696,119,142,91,2774 7
myseq3000.fa.r112 0.99 maker-168577490-augustus-gene-0.61-mRNA-1 16 9132383 1072M186N117M99N270M153N199M113N222M MD:Z:170C198T8T186T266TT10G41C54T163T34C126A139A63TT329G26T13AC35 NM:i:19 186,99,153,113 4
myseq3000.fa.r112 0.99 maker-168577481-augustus-gene-0.75-mRNA-1 16 9192517 846M481N329M439N82M242N99M MD:Z:327A838C102T86 NM:i:3 481,439,242 3
myseq9000.fa.r112 0.99 maker-168577479-snap-gene-1.82-mRNA-1 16 9298149 96M489N447M414N168M771N45M MD:Z:727C28 NM:i:1 489,414,771 3
myseq12000.fa.r112 0.99 maker-168577470-snap-gene-0.63-mRNA-1 0 7669407 37M1532N242M115N334M263N86M MD:Z:11AC20A137C279C163TT82 NM:i:7 1532,115,263 3
myseq3000.fa.r112 0.99 maker-168577455-augustus-gene-0.49-mRNA-1 0 9267653 374M968N127M293N143M226N171M MD:Z:112C114G169T417 NM:i:3 968,293,226 3
myseq6000.fa.r112 0.99 maker-168577444-snap-gene-0.49-mRNA-1 0 6840602 145M274N699M MD:Z:844 NM:i:0 274 1
myseq15000.fa.r112 0.99 maker-168577437-augustus-gene-0.56-mRNA-1 0 5642325 50M270N45M145N909M MD:Z:239T485T66T106C104 NM:i:4 270,145 2
myseq3000.fa.r112 0.99 maker-168577436-augustus-gene-0.49-mRNA-3 16 9302983 1359M3050N424M MD:Z:596G58C532C194T399 NM:i:4 3050 1
myseq3000.fa.r112 0.99 maker-168577434-snap-gene-0.59-mRNA-1 16 9213836 141M74N62M259N69M96N625M MD:Z:183G713 NM:i:1 74,259,96 3
myseq3000.fa.r112 0.99 maker-168577427-snap-gene-0.30-mRNA-1 0 9251577 169M1134N110M94N171M130N218M218N252M108N222M82N482M MD:Z:863G528C231 NM:i:2 1134,94,130,218,108,82 6
myseq3000.fa.r112 0.99 maker-168577419-augustus-gene-0.40-mRNA-1 0 6660823 19M671N100M105N146M MD:Z:43A16A204 NM:i:2 671,105 2
myseq6000.fa.r112 0.99 maker-168577406-snap-gene-0.49-mRNA-1 0 6829261 23M181N25M1583N81M95N198M89N1212M MD:Z:206A206T198G101C135T204G69G9G89A276A36 NM:i:10 181,1583,95,89 4
myseq12000.fa.r112 0.99 maker-168577400-augustus-gene-0.23-mRNA-1 16 7662153 623M237N342M MD:Z:908T56 NM:i:1 237 1
myseq12000.fa.r112 0.99 maker-168577373-snap-gene-0.48-mRNA-1 16 7753541 755M230N97M136N104M337N129M199N64M279N83M1021N82M118N77M86N84M196N70M106N89M99N693M479N375M310N500M MD:Z:2656C297G194A38T13 NM:i:4 230,136,337,199,279,1021,118,86,196,106,99,479,310 13
myseq12000.fa.r112 0.99 maker-168577367-snap-gene-0.23-mRNA-1 0 7754084 221M964N203M170N268M285N390M198N76M MD:Z:49A64A1043 NM:i:2 964,170,285,198 4
myseq9000.fa.r112 0.99 maker-168577331-augustus-gene-0.39-mRNA-1 16 9218133 789M146N61M213N72M MD:Z:856A65 NM:i:1 146,213 2
myseq9000.fa.r112 0.99 maker-168577320-snap-gene-0.83-mRNA-1 16 9135617 851M93N142M191N501M352N363M567N27M MD:Z:1451T176G255 NM:i:2 93,191,352,567 4
myseq9000.fa.r112 0.99 maker-168577271-augustus-gene-0.26-mRNA-1 16 9302843 695M95N1275M118N37M MD:Z:65G1800C119G20 NM:i:3 95,118 2
myseq12000.fa.r112 0.99 maker-168577258-snap-gene-0.26-mRNA-1 0 3206357 755M199N224M493N102M118N133M226N62M MD:Z:37C193G336G707 NM:i:3 199,493,118,226 4
myseq9000.fa.r112 0.99 maker-168577253-augustus-gene-0.12-mRNA-1 0 9299245 203M128N306M MD:Z:157G210C6G10T122 NM:i:4 128 1
myseq0.fa.r112 0.99 maker-168577249-augustus-gene-0.46-mRNA-1 0 7020613 195M302N89M129N863M MD:Z:1147 NM:i:0 302,129 2
myseq12000.fa.r112 0.99 maker-168577248-augustus-gene-0.45-mRNA-1 16 7135372 1943M91N1111M136N75M MD:Z:660A783T1436T247 NM:i:3 91,136 2
myseq12000.fa.r112 0.99 maker-168577238-augustus-gene-0.37-mRNA-1 0 7753896 1915M538N962M MD:Z:88C207G102T574T222C1507C171 NM:i:6 538 1
myseq12000.fa.r112 0.99 maker-168577220-augustus-gene-0.60-mRNA-1 16 7639487 457M105N150M656N155M MD:Z:73C101G34A88T399A62 NM:i:5 105,656 2
myseq12000.fa.r112 0.99 maker-168577216-snap-gene-0.51-mRNA-1 0 7715844 197M95N567M MD:Z:38G426A13T108G13G78A28A53 NM:i:7 95 1
myseq3000.fa.r112 0.99 maker-168577213-augustus-gene-0.71-mRNA-1 0 9207199 787M96N163M273N49M114N114M162N417M79N387M241N96M101N116M100N103M92N83M82N280M90N129M95N79M91N566M MD:Z:329G103T293G213T1454T972 NM:i:5 96,273,114,162,79,241,101,100,92,82,90,95,91 13
myseq9000.fa.r112 0.99 maker-168577199-snap-gene-0.101-mRNA-1 0 9254085 60M132N33M370N72M1399N324M109N55M505N176M450N201M131N260M139N317M385N224M344N823M226N242M421N1529M MD:Z:76A162C245G39T4T939A21T204A179C342A76C179T75C1057A401T97T125A78 NM:i:17 132,370,1399,109,505,450,131,139,385,344,226,421 12
myseq12000.fa.r112 0.99 maker-168577198-augustus-gene-2.80-mRNA-2 0 7645825 875M1241N296M329N1298M MD:Z:2469 NM:i:0 1241,329 2
myseq3000.fa.r112 0.99 maker-168577198-augustus-gene-0.62-mRNA-1 16 9298282 497M687N450M213N54M MD:Z:623A116G74A185 NM:i:3 687,213 2
myseq12000.fa.r112 0.99 maker-168577195-snap-gene-0.34-mRNA-1 16 7676283 519M193N59M304N296M113N110M MD:Z:302G103C577 NM:i:2 193,304,113 3
myseq6000.fa.r112 0.99 maker-168577192-snap-gene-0.28-mRNA-1 0 6836592 714M1185N151M725N804M914N21M MD:Z:519G705G191T171T88G11 NM:i:5 1185,725,914 3
myseq6000.fa.r112 0.99 maker-168577185-snap-gene-0.11-mRNA-1 16 6851693 33M391N507M94N78M92N63M439N136M227N77M807N81M117N88M109N107M1433N87M100N183M222N117M82N79M105N44M197N393M1063N423M MD:Z:475C1714C77T141A51G33 NM:i:5 391,94,92,439,227,807,117,109,1433,100,222,82,105,197,1063 15
myseq6000.fa.r112 0.99 maker-168577169-snap-gene-0.92-mRNA-1 16 6851768 171M16N26M109N49M915N266M205N417M3249N351M97N98M137N170M122N288M770N360M MD:Z:984T149T428G632 NM:i:3 16,109,915,205,3249,97,137,122,770 9
myseq15000.fa.r112 0.99 maker-168577150-augustus-gene-0.23-mRNA-1 0 11203682 48M1089N256M119N249M248N51M1797N165M1547N261M157N53M79N115M255N255M104N1349M MD:Z:52C39G236G2472 NM:i:3 1089,119,248,1797,1547,157,79,255,104 9
myseq12000.fa.r112 0.99 maker-168577149-augustus-gene-0.17-mRNA-1 0 5378013 47M208N56M104N14M247N75M152N438M MD:Z:630 NM:i:0 208,104,247,152 4
myseq0.fa.r112 0.99 maker-168577148-snap-gene-0.33-mRNA-1 0 7169134 122M1210N281M115N82M160N77M2146N529M MD:Z:233G341C455T59 NM:i:3 1210,115,160,2146 4
myseq0.fa.r112 0.99 maker-168577144-snap-gene-0.36-mRNA-1 0 4352604 1586M120N142M258N108M871N213M101N111M264N18M MD:Z:232A1945 NM:i:1 120,258,871,101,264 5
myseq6000.fa.r112 0.99 maker-168577137-snap-gene-0.57-mRNA-1 16 6848531 942M857N196M MD:Z:1138 NM:i:0 857 1
myseq12000.fa.r112 0.99 maker-168577122-augustus-gene-0.114-mRNA-1 16 6320782 38M132N79M86N63M256N117M526N141M118N93M175N102M MD:Z:258A374 NM:i:1 132,86,256,526,118,175 6
