bin coverage transcript strand gene cigar MD NM
myseq6000.fa.r112 0.99 snap_masked-168572839-processed-gene-0.10-mRNA-1 16 6846301 2694M MD:Z:399A99G108T269T46C21C296G402A78C349A104C225C115A44G5G92C26 NM:i:16
myseq6000.fa.r112 0.99 snap_masked-168572541-processed-gene-0.46-mRNA-1 0 6817887 333M MD:Z:52C280 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168571472-processed-gene-0.47-mRNA-1 0 7731616 219M MD:Z:4C30G4A137A40 NM:i:4
myseq6000.fa.r112 0.99 snap_masked-168571462-processed-gene-0.17-mRNA-1 0 6713909 402M MD:Z:8A14C16A37T1C71T40C146T2C58 NM:i:9
myseq12000.fa.r112 0.99 snap_masked-168571006-processed-gene-0.33-mRNA-1 0 7751799 2361M MD:Z:847T237G98C200T320A355G12A285 NM:i:7
myseq12000.fa.r112 0.99 snap_masked-168570714-processed-gene-0.69-mRNA-1 0 7745741 312M MD:Z:312 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168570698-processed-gene-0.29-mRNA-1 0 4468382 2586M MD:Z:53C40A44G588C752C1081T22 NM:i:6
myseq9000.fa.r112 0.99 snap_masked-168569977-processed-gene-0.94-mRNA-1 0 9272693 807M MD:Z:434T316A55 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-168569643-processed-gene-0.50-mRNA-1 0 7691312 630M MD:Z:227AG7C10G115G8A34GC132T88 NM:i:9
myseq0.fa.r112 0.99 snap_masked-168569565-processed-gene-0.67-mRNA-1 16 1132131 312M MD:Z:253A58 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168568823-processed-gene-0.74-mRNA-1 16 9130242 2115M MD:Z:262G34T162A203G171T111A143C14A16A144C3C14G12A30T140A66T78G330G148A15 NM:i:19
myseq3000.fa.r112 0.99 snap_masked-168566824-processed-gene-0.40-mRNA-1 16 9131283 2490M MD:Z:222G56C597C172A237T75G81C35T570A150T241G32T4G5 NM:i:13
myseq0.fa.r112 0.99 snap_masked-168566042-processed-gene-0.43-mRNA-1 0 7091266 2301M MD:Z:13A30G2024T231 NM:i:3
myseq3000.fa.r112 0.99 snap_masked-168565911-processed-gene-0.25-mRNA-1 0 9275878 2280M MD:Z:752C20A35T413G167C89G41C255C44A4A71A23C259G6T44G42 NM:i:15
myseq3000.fa.r112 0.99 snap_masked-168563174-processed-gene-0.51-mRNA-1 0 9196363 1956M MD:Z:209C2C127G400G209A199T203T11C251G93T190A51 NM:i:11
myseq3000.fa.r112 0.99 snap_masked-168562908-processed-gene-0.17-mRNA-1 16 9222222 291M MD:Z:113C177 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168562297-processed-gene-0.12-mRNA-1 16 7632696 2484M MD:Z:870T70C53T88T76G99T1047G37T136 NM:i:8
myseq12000.fa.r112 0.99 snap_masked-168562115-processed-gene-0.55-mRNA-1 0 6855745 846M MD:Z:205G217A422 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168561867-processed-gene-0.85-mRNA-1 0 9176740 2301M MD:Z:32T151T7A17T29A37C52T53C81G175T21T185C184C517G88T42G301A176C135 NM:i:18
myseq9000.fa.r112 0.99 snap_masked-168560043-processed-gene-0.41-mRNA-1 0 9277871 1806M MD:Z:47T86T398C413C162T695 NM:i:5
myseq0.fa.r112 0.99 snap_masked-168559860-processed-gene-1.83-mRNA-1 16 7083520 1782M MD:Z:884G260A636 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-168558842-processed-gene-0.74-mRNA-1 0 7714435 414M MD:Z:414 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168558328-processed-gene-0.73-mRNA-1 0 9225194 447M MD:Z:228A218 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168558167-processed-gene-0.27-mRNA-1 16 7596774 2466M MD:Z:61T201A424T309C105C1C29A7A984C184G151 NM:i:10
myseq0.fa.r112 0.99 snap_masked-168557695-processed-gene-0.11-mRNA-1 16 2871070 2649M MD:Z:568C1641T438 NM:i:2
myseq0.fa.r112 0.99 snap_masked-168557446-processed-gene-1.48-mRNA-1 0 7112583 1884M MD:Z:1884 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168556295-processed-gene-0.48-mRNA-1 16 7593751 300M MD:Z:155AA35C107 NM:i:3
myseq3000.fa.r112 0.99 snap_masked-168555510-processed-gene-0.36-mRNA-1 0 9193056 2553M MD:Z:10G68T44T16C198C639T128T110G204T487A410G68T159 NM:i:12
myseq12000.fa.r112 0.99 snap_masked-168552730-processed-gene-0.65-mRNA-1 16 7727976 624M MD:Z:18A605 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168551642-processed-gene-0.64-mRNA-1 16 9221028 2421M MD:Z:950C395C199G874 NM:i:3
myseq6000.fa.r112 0.99 snap_masked-168551638-processed-gene-2.86-mRNA-1 16 6764723 216M MD:Z:83T132 NM:i:1
myseq6000.fa.r112 0.99 snap_masked-168551515-processed-gene-0.35-mRNA-1 16 2708585 1734M MD:Z:563A512G657 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168550493-processed-gene-0.58-mRNA-1 0 3558295 210M MD:Z:105G104 NM:i:1
myseq6000.fa.r112 0.99 snap_masked-168549625-processed-gene-0.10-mRNA-1 16 6817879 3132M MD:Z:539C846C377C296G142G283A643 NM:i:6
myseq12000.fa.r112 0.99 snap_masked-168549280-processed-gene-0.7-mRNA-1 0 7722579 684M MD:Z:62G621 NM:i:1
myseq6000.fa.r112 0.99 snap_masked-168549158-processed-gene-0.28-mRNA-1 16 6730802 498M MD:Z:451A46 NM:i:1
myseq0.fa.r112 0.99 snap_masked-168548377-processed-gene-0.27-mRNA-1 0 6496275 201M MD:Z:201 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168548311-processed-gene-0.112-mRNA-1 16 7651422 387M MD:Z:387 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168548205-processed-gene-0.22-mRNA-1 0 9246535 3033M MD:Z:75C105A415C425T122T553C551T780 NM:i:7
myseq12000.fa.r112 0.99 snap_masked-168548072-processed-gene-0.70-mRNA-1 0 965119 186M MD:Z:27G46G8G15G8TGC1G2G3T2GC8G35T13G3 NM:i:15
myseq9000.fa.r112 0.99 snap_masked-168548010-processed-gene-0.89-mRNA-1 16 9301417 246M MD:Z:11G8G29A9AG3A10T1G7A4A6G25C9G14C34C15T2GT2T7G1T2A1A1G2A5G12 NM:i:26
myseq0.fa.r112 0.99 snap_masked-168547058-processed-gene-0.71-mRNA-1 0 7047633 651M MD:Z:434AT14A137T62 NM:i:4
myseq12000.fa.r112 0.99 snap_masked-168547058-processed-gene-0.69-mRNA-1 0 7679283 327M MD:Z:78A148C99 NM:i:2
myseq6000.fa.r112 0.99 snap_masked-168546995-processed-gene-0.28-mRNA-1 16 6833046 3717M MD:Z:1188T98A409A1078G716C88A134 NM:i:6
myseq12000.fa.r112 0.99 snap_masked-168546814-processed-gene-1.59-mRNA-1 16 7691732 189M MD:Z:189 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168544955-processed-gene-0.7-mRNA-1 16 9212961 726M MD:Z:237C381G61T44 NM:i:3
myseq9000.fa.r112 0.99 snap_masked-168544855-processed-gene-0.75-mRNA-1 0 9247027 2523M MD:Z:1067A541T913 NM:i:2
myseq0.fa.r112 0.99 snap_masked-168544726-processed-gene-0.14-mRNA-1 16 4990405 357M MD:Z:148C208 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168543532-processed-gene-0.57-mRNA-1 16 7692905 1857M MD:Z:416T1440 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168540929-processed-gene-0.19-mRNA-1 16 9257298 657M MD:Z:398A143C114 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168540542-processed-gene-0.21-mRNA-1 16 9189120 318M MD:Z:146C6A19G53A90 NM:i:4
myseq6000.fa.r112 0.99 snap_masked-168538536-processed-gene-0.10-mRNA-1 16 6849842 420M MD:Z:10T20G46G316T24 NM:i:4
myseq0.fa.r112 0.99 snap_masked-168537598-processed-gene-0.31-mRNA-1 16 7163830 357M MD:Z:357 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168535625-processed-gene-0.31-mRNA-1 16 7019920 2274M MD:Z:1148C109T765T249 NM:i:3
myseq0.fa.r112 0.99 snap_masked-168533071-processed-gene-0.17-mRNA-1 16 7151553 462M MD:Z:11T33C416 NM:i:2
myseq0.fa.r112 0.99 snap_masked-168532484-processed-gene-0.55-mRNA-1 0 7165000 327M MD:Z:327 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168529423-processed-gene-0.21-mRNA-1 0 6798193 1983M MD:Z:92T274C276G617T161A75G264G113C85C17 NM:i:9
myseq0.fa.r112 0.99 snap_masked-168528819-processed-gene-0.28-mRNA-1 0 7057503 351M MD:Z:351 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168526810-processed-gene-0.11-mRNA-1 0 9288234 1227M MD:Z:1205T21 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168525429-processed-gene-0.31-mRNA-1 0 9142540 2370M MD:Z:476G320A104C98C312G16T623A414 NM:i:7
myseq6000.fa.r112 0.99 snap_masked-168524568-processed-gene-0.56-mRNA-1 0 6848253 372M MD:Z:372 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168523715-processed-gene-0.11-mRNA-1 16 9300807 1041M MD:Z:68G972 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168523015-processed-gene-0.27-mRNA-1 16 7594805 180M MD:Z:180 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168522838-processed-gene-0.103-mRNA-1 16 1677789 321M MD:Z:321 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168521317-processed-gene-0.6-mRNA-1 0 7062131 333M MD:Z:333 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168521003-processed-gene-0.79-mRNA-1 0 9293670 372M MD:Z:122A194T54 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-168520988-processed-gene-0.78-mRNA-1 0 7749873 336M MD:Z:157C80C97 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168520014-processed-gene-0.62-mRNA-1 0 9209042 207M MD:Z:207 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168519497-processed-gene-0.49-mRNA-1 16 3379797 2829M MD:Z:735C2093 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168518380-processed-gene-0.8-mRNA-1 16 9186629 405M MD:Z:290T114 NM:i:1
myseq9000.fa.r112 0.99 snap_masked-168516466-processed-gene-0.15-mRNA-1 16 9298640 1377M MD:Z:872CC38G314A82T66 NM:i:5
myseq12000.fa.r112 0.99 snap_masked-168514912-processed-gene-0.16-mRNA-1 0 7654879 2592M MD:Z:26C50C628C14G94T13C47T11A19A39T77T15A1T68C110C2C95T76G118G353A16T66G57T54T41T1T103T60A75A51A70A11T99 NM:i:32
myseq6000.fa.r112 0.99 snap_masked-168512853-processed-gene-1.82-mRNA-1 0 2832077 276M MD:Z:276 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168509624-processed-gene-0.6-mRNA-1 0 1772834 312M MD:Z:11C183C116 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168509051-processed-gene-0.24-mRNA-1 0 9135159 318M MD:Z:318 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168508384-processed-gene-0.32-mRNA-1 16 7154747 429M MD:Z:139T27A15A245 NM:i:3
myseq3000.fa.r112 0.99 snap_masked-168506658-processed-gene-0.77-mRNA-1 0 9266158 225M MD:Z:155G69 NM:i:1
myseq0.fa.r112 0.99 snap_masked-168506404-processed-gene-0.21-mRNA-1 0 7071916 237M MD:Z:237 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168505425-processed-gene-0.14-mRNA-1 16 6825715 381M MD:Z:294T51C3A30 NM:i:3
myseq3000.fa.r112 0.99 snap_masked-168500386-processed-gene-2.43-mRNA-1 0 9219985 303M MD:Z:303 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168500079-processed-gene-0.10-mRNA-1 0 9274624 1111M MD:Z:186T11T3C19T33C56C88G30C2T494T179 NM:i:10
myseq3000.fa.r112 0.99 snap_masked-168499642-processed-gene-0.14-mRNA-1 16 9275421 183M MD:Z:183 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168497638-processed-gene-0.7-mRNA-1 16 7157899 231M MD:Z:91A95G43 NM:i:2
myseq3000.fa.r112 0.99 snap_masked-168497022-processed-gene-0.5-mRNA-1 0 9277935 1671M MD:Z:275A375A1019 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-168496814-processed-gene-0.33-mRNA-1 0 7746903 237M MD:Z:4C232 NM:i:1
myseq6000.fa.r112 0.99 snap_masked-168496729-processed-gene-0.4-mRNA-1 16 6788875 501M MD:Z:409GA90 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-168496104-processed-gene-0.30-mRNA-1 0 550054 270M MD:Z:55A16C137T35A23 NM:i:4
myseq6000.fa.r112 0.99 snap_masked-168491800-processed-gene-0.24-mRNA-1 0 4381295 300M MD:Z:30T26T242 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168489523-processed-gene-0.98-mRNA-1 0 9298567 201M MD:Z:201 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168487853-processed-gene-0.36-mRNA-1 0 7138943 243M MD:Z:243 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168485357-processed-gene-0.47-mRNA-1 16 7165181 216M MD:Z:216 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168483785-processed-gene-0.40-mRNA-1 16 7748623 762M MD:Z:32C729 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168482879-processed-gene-0.41-mRNA-1 0 9174690 529M MD:Z:78A32TA13G10A8C65C32C25A137C95C13C9 NM:i:12
myseq6000.fa.r112 0.99 snap_masked-168481356-processed-gene-0.98-mRNA-1 16 6776414 318M MD:Z:318 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168480939-processed-gene-0.15-mRNA-1 16 5811915 543M MD:Z:543 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168480718-processed-gene-0.13-mRNA-1 16 6830914 333M MD:Z:333 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168480121-processed-gene-0.6-mRNA-1 16 9212931 246M MD:Z:246 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168479714-processed-gene-0.8-mRNA-1 0 7589007 345M MD:Z:21G146C3G14T59A2G27A66 NM:i:7
myseq9000.fa.r112 0.99 snap_masked-168478876-processed-gene-0.10-mRNA-1 16 9235291 2127M MD:Z:777G417T602C328 NM:i:3
myseq9000.fa.r112 0.99 snap_masked-168476454-processed-gene-0.14-mRNA-1 16 9250069 393M MD:Z:225C7T100G4A53 NM:i:4
myseq9000.fa.r112 0.99 snap_masked-168476177-processed-gene-0.13-mRNA-1 0 9291182 291M MD:Z:15T46C228 NM:i:2
myseq0.fa.r112 0.99 snap_masked-168474869-processed-gene-0.27-mRNA-1 0 203099 1053M MD:Z:1053 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168471005-processed-gene-0.8-mRNA-1 0 94296 327M MD:Z:39G82C98G37G67 NM:i:4
myseq12000.fa.r112 0.99 snap_masked-168470965-processed-gene-0.39-mRNA-1 16 7750466 1365M MD:Z:716G648 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168470123-processed-gene-0.124-mRNA-1 16 2346465 270M MD:Z:270 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168468504-processed-gene-0.21-mRNA-1 0 9190569 1920M MD:Z:70G677A642C528 NM:i:3
myseq6000.fa.r112 0.99 snap_masked-168464262-processed-gene-0.2-mRNA-1 0 6771293 216M MD:Z:147C1G66 NM:i:2
myseq0.fa.r112 0.99 snap_masked-168463841-processed-gene-0.61-mRNA-1 0 7166575 207M MD:Z:207 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168459523-processed-gene-1.54-mRNA-1 0 677412 213M MD:Z:213 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168459523-processed-gene-1.53-mRNA-1 0 677412 237M MD:Z:107G129 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168459523-processed-gene-1.52-mRNA-1 0 677412 324M MD:Z:324 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168458182-processed-gene-0.20-mRNA-1 0 7588677 1866M MD:Z:801G368T84C189C347A72 NM:i:5
myseq9000.fa.r112 0.99 snap_masked-168455519-processed-gene-0.93-mRNA-1 0 9140880 417M MD:Z:105G192A118 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168454869-processed-gene-0.56-mRNA-1 0 9186373 570M MD:Z:377T192 NM:i:1
myseq9000.fa.r112 0.99 snap_masked-168453873-processed-gene-1.99-mRNA-1 16 9293947 2100M MD:Z:419A582C492G604 NM:i:3
myseq12000.fa.r112 0.99 snap_masked-168452355-processed-gene-0.77-mRNA-1 0 7631705 321M MD:Z:48AC271 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168452061-processed-gene-0.7-mRNA-1 16 9183822 465M MD:Z:6A28C130A201G19G2A37T12G22 NM:i:8
myseq12000.fa.r112 0.99 snap_masked-168451748-processed-gene-0.24-mRNA-1 0 6780535 438M MD:Z:116T321 NM:i:1
myseq0.fa.r112 0.99 snap_masked-168451505-processed-gene-0.13-mRNA-1 0 7151318 357M MD:Z:15C61A149T129 NM:i:3
myseq9000.fa.r112 0.99 snap_masked-168451067-processed-gene-0.3-mRNA-1 16 9226217 2595M MD:Z:641A32A385C1534 NM:i:3
myseq12000.fa.r112 0.99 snap_masked-168447667-processed-gene-0.5-mRNA-1 16 7751806 636M MD:Z:6T10A43A19T35A518 NM:i:5
myseq0.fa.r112 0.99 snap_masked-168446456-processed-gene-0.19-mRNA-1 16 7147625 225M MD:Z:189A35 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168444801-processed-gene-0.22-mRNA-1 0 7629145 2166M MD:Z:541T102C620T900 NM:i:3
myseq9000.fa.r112 0.99 snap_masked-168444479-processed-gene-0.44-mRNA-1 16 9171902 228M MD:Z:228 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168443762-processed-gene-0.17-mRNA-1 16 7588328 324M MD:Z:70G116A31T2A101 NM:i:4
myseq3000.fa.r112 0.99 snap_masked-168443486-processed-gene-0.39-mRNA-1 0 9272663 207M MD:Z:207 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168441282-processed-gene-0.50-mRNA-1 16 7658232 1245M MD:Z:100A46A167T699C51A64G26G74C10 NM:i:8
myseq0.fa.r112 0.99 snap_masked-168441156-processed-gene-0.18-mRNA-1 16 7156919 276M MD:Z:16G174A27G56 NM:i:3
myseq6000.fa.r112 0.99 snap_masked-168438749-processed-gene-0.45-mRNA-1 0 6783457 183M MD:Z:50G132 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168436303-processed-gene-1.63-mRNA-1 0 7753604 540M MD:Z:540 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168435560-processed-gene-0.34-mRNA-1 16 7654639 330M MD:Z:330 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168435378-processed-gene-2.74-mRNA-1 16 6766767 357M MD:Z:357 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168433123-processed-gene-0.3-mRNA-1 16 7667118 300M MD:Z:81T77T140 NM:i:2
myseq6000.fa.r112 0.99 snap_masked-168424050-processed-gene-0.32-mRNA-1 16 6812268 2451M MD:Z:2451 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168423899-processed-gene-0.11-mRNA-1 16 7587724 3267M MD:Z:2065C1201 NM:i:1
myseq9000.fa.r112 0.99 snap_masked-168417437-processed-gene-0.31-mRNA-1 16 9217185 303M MD:Z:303 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168416644-processed-gene-0.26-mRNA-1 0 7079752 508M MD:Z:117A4C6A15A58T3T20T76C19G74C12T24G7C60 NM:i:13
myseq9000.fa.r112 0.99 snap_masked-168415001-processed-gene-0.16-mRNA-1 0 9240490 330M MD:Z:17A312 NM:i:1
myseq12000.fa.r112 0.99 snap_masked-168414944-processed-gene-0.22-mRNA-1 16 7598163 282M MD:Z:282 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168414143-processed-gene-0.3-mRNA-1 16 9299689 1398M MD:Z:8C604C315C468 NM:i:3
myseq3000.fa.r112 0.99 snap_masked-168411146-processed-gene-0.14-mRNA-1 0 9162214 3318M MD:Z:21C437A286C69G41G684A57C34C853A25T801 NM:i:10
myseq0.fa.r112 0.99 snap_masked-168409839-processed-gene-0.68-mRNA-1 16 7046535 1164M MD:Z:25A151A89G34T310A37G54A31T79C144A26A2G151C18 NM:i:13
myseq15000.fa.r112 0.99 snap_masked-168404160-processed-gene-0.83-mRNA-1 0 7786094 1998M MD:Z:1914T83 NM:i:1
myseq0.fa.r112 0.99 snap_masked-168403036-processed-gene-0.38-mRNA-1 16 7099719 267M MD:Z:196T12A57 NM:i:2
myseq6000.fa.r112 0.99 snap_masked-168401655-processed-gene-0.20-mRNA-1 16 6802289 556M MD:Z:15C34C2C7G1C25T32C22C1G5T30CC6T11C1T1TG9T6C28C14GT41G7C22T11A4A90A20T21T32C1T2A22 NM:i:33
myseq3000.fa.r112 0.99 snap_masked-168400286-processed-gene-0.40-mRNA-1 0 9280179 294M MD:Z:294 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168398745-processed-gene-0.35-mRNA-1 0 7134308 210M MD:Z:210 NM:i:0
myseq9000.fa.r112 0.99 snap_masked-168397484-processed-gene-0.28-mRNA-1 16 9303866 321M MD:Z:321 NM:i:0
myseq0.fa.r112 0.99 snap_masked-168397458-processed-gene-1.90-mRNA-1 16 7045714 2343M MD:Z:234A200A772C483G650 NM:i:4
myseq6000.fa.r112 0.99 snap_masked-168397262-processed-gene-0.34-mRNA-1 0 6849012 2013M MD:Z:93A541T50G107A158A12A25A64A210G215T59G203C20T243 NM:i:13
myseq12000.fa.r112 0.99 snap_masked-168396491-processed-gene-0.34-mRNA-1 16 7269837 444M MD:Z:444 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168395146-processed-gene-0.61-mRNA-1 16 7596070 2595M MD:Z:1833A125G139C71G212C210 NM:i:5
myseq12000.fa.r112 0.99 snap_masked-168394452-processed-gene-0.40-mRNA-1 16 7698660 2826M MD:Z:2826 NM:i:0
myseq3000.fa.r112 0.99 snap_masked-168394011-processed-gene-0.3-mRNA-1 16 9271069 273M MD:Z:273 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168393497-processed-gene-0.77-mRNA-1 0 6731616 1050M MD:Z:1050 NM:i:0
myseq12000.fa.r112 0.99 snap_masked-168389632-processed-gene-1.61-mRNA-1 16 7662151 264M MD:Z:10T116G136 NM:i:2
myseq12000.fa.r112 0.99 snap_masked-168389387-processed-gene-0.5-mRNA-1 0 7655216 585M MD:Z:72G137T112A52T38T41A89G16A2C17 NM:i:9
myseq9000.fa.r112 0.99 snap_masked-168388819-processed-gene-0.5-mRNA-1 0 9298967 882M MD:Z:78T803 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168388051-processed-gene-0.19-mRNA-1 0 9277003 267M MD:Z:267 NM:i:0
myseq6000.fa.r112 0.99 snap_masked-168386426-processed-gene-0.41-mRNA-1 16 6713671 195M MD:Z:129T21A43 NM:i:2
myseq9000.fa.r112 0.99 snap_masked-168386339-processed-gene-0.81-mRNA-1 0 9133546 330M MD:Z:87C99A142 NM:i:2
myseq6000.fa.r112 0.99 snap_masked-168384894-processed-gene-0.13-mRNA-1 0 6782971 1935M MD:Z:303A1T894A436T297 NM:i:4
myseq0.fa.r112 0.99 snap_masked-168384633-processed-gene-0.101-mRNA-1 16 2881435 645M MD:Z:46C186C59C289A52A8 NM:i:5
myseq9000.fa.r112 0.99 snap_masked-168382546-processed-gene-0.28-mRNA-1 0 9198142 408M MD:Z:344A63 NM:i:1
myseq3000.fa.r112 0.99 snap_masked-168381303-processed-gene-0.61-mRNA-1 0 8050726 543M MD:Z:543 NM:i:0
