bin coverage transcript strand gene cigar MD NM introns_len introns_num
cdhit-output-4_16.iteration.1 0.99 snap_masked-168544855-processed-gene-0.75-mRNA-1 16 3093454 1456M232N1067M MD:Z:913A1609 NM:i:1 232 1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168543491-processed-gene-0.29-mRNA-1 16 3092409 33M19N1779M MD:Z:178N215G494T99A449C372 NM:i:5 19 1
cdhit-output-4_17.iteration.1 0.99 snap_masked-168540994-processed-gene-0.53-mRNA-1 16 3014560 663M438N694M217N101M MD:Z:36A224T86T2T491G614 NM:i:5 438,217 2
cdhit-output-4_15.iteration.3 0.99 snap_masked-168534233-processed-gene-0.46-mRNA-1 0 3494296 444M1288N168M MD:Z:268C19A5A90A226 NM:i:4 1288 1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168532811-processed-gene-0.13-mRNA-1 16 3092345 60M43N774M1147N162M MD:Z:996 NM:i:0 43,1147 2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168530744-processed-gene-0.27-mRNA-1 16 3051876 180M134N98M103N137M112N14M MD:Z:352A76 NM:i:1 134,103,112 3
cdhit-output-4_15.iteration.1 0.99 snap_masked-168530606-processed-gene-0.85-mRNA-1 0 3492871 1654M1178N86M MD:Z:1367C372 NM:i:1 1178 1
cdhit-output-4_17.iteration.1 0.99 snap_masked-168528202-processed-gene-0.20-mRNA-1 16 3052489 523M51N917M MD:Z:618T242A96T160C38T72A7T122A77 NM:i:8 51 1
cdhit-output-4_9.iteration.1 0.99 snap_masked-168520139-processed-gene-0.21-mRNA-1 0 3260835 249M218N468M MD:Z:717 NM:i:0 218 1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168515263-processed-gene-0.115-mRNA-1 16 3213561 155M153N369M136N187M382N193M104N37M MD:Z:941 NM:i:0 153,136,382,104 4
cdhit-output-4_15.iteration.1 0.99 snap_masked-168510113-processed-gene-0.6-mRNA-1 16 3575818 1161M156N687M MD:Z:35T531A221C350A92G410G26T176 NM:i:7 156 1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168497897-processed-gene-0.70-mRNA-1 16 3092750 365M363N72M483N70M MD:Z:507 NM:i:0 363,483 2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168493775-processed-gene-0.11-mRNA-1 16 3494482 15M175N291M192N237M356N149M MD:Z:692 NM:i:0 175,192,356 3
cdhit-output-4_10.iteration.1 0.99 snap_masked-168451385-processed-gene-0.20-mRNA-1 16 2847072 252M345N329M719N49M MD:Z:111T228G219C69 NM:i:3 345,719 2
cdhit-output-4_13.iteration.1 0.99 snap_masked-168439309-processed-gene-0.61-mRNA-1 0 3957674 1868M581N116M512N87M430N518M130N551M MD:Z:25G540C56C42A62C243C61T116C94G13T428A113T632G28G1TG31C24G97G81C41A35C103A93A42C45G68 NM:i:26 581,512,430,130 4
cdhit-output-4_9.iteration.1 0.99 snap_masked-168429386-processed-gene-0.6-mRNA-1 0 3261042 1840M194N74M660N18M MD:Z:123A245AA264T4T1056T229A4 NM:i:7 194,660 2
cdhit-output-4_12.iteration.1 0.99 snap_masked-168420937-processed-gene-0.44-mRNA-1 16 3364967 21M16N191M429N274M MD:Z:486 NM:i:0 16,429 2
cdhit-output-4_18.iteration.1 0.99 snap_masked-168399922-processed-gene-0.6-mRNA-1 16 3751646 19M855N389M MD:Z:369C38 NM:i:1 855 1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168395513-processed-gene-0.10-mRNA-1 16 3020289 30M967N1059M MD:Z:417A410T35T224 NM:i:3 967 1
cdhit-output-4_18.iteration.1 0.99 snap_masked-168395146-processed-gene-0.61-mRNA-1 16 3751765 2172M389N423M MD:Z:429A51T1477G54G369C210 NM:i:5 389 1
cdhit-output-4_9.iteration.1 0.99 snap_masked-168391806-processed-gene-0.50-mRNA-1 16 3260089 387M161N232M863N1749M631N1326M MD:Z:606A26C367T1083T953A124C48G61G418 NM:i:8 161,863,631 3
cdhit-output-4_8.iteration.2 0.99 snap_masked-168384633-processed-gene-0.101-mRNA-1 16 4125067 267M232N378M MD:Z:233C59C289A52A8 NM:i:4 232 1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168373539-processed-gene-0.14-mRNA-1 16 3958228 1114M345N374M MD:Z:24C162G394G30A57A3A38T21C522G9G2A1GC7G5A1C2G1A3A35T2T6A12A2A13GTG3A105 NM:i:28 345 1
cdhit-output-4_14.iteration.1 0.99 snap_masked-168370667-processed-gene-0.9-mRNA-1 0 3012041 31M1105N377M535N108M151N96M300N672M MD:Z:194C647A23A20T101C294 NM:i:5 1105,535,151,300 4
cdhit-output-4_14.iteration.1 0.99 snap_masked-168369871-processed-gene-0.44-mRNA-1 16 2969386 576M138N85M112N221M124N368M181N520M MD:Z:1770 NM:i:0 138,112,124,181 4
cdhit-output-4_18.iteration.3 0.99 snap_masked-168363119-processed-gene-0.34-mRNA-1 0 4738345 186M1987N177M MD:Z:20A342 NM:i:1 1987 1
cdhit-output-4_17.iteration.1 0.99 snap_masked-168348206-processed-gene-0.49-mRNA-1 16 2981918 99M772N1398M MD:Z:34C203A206A57G153T80G37T148G192T378 NM:i:9 772 1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168344558-processed-gene-0.20-mRNA-1 16 3957780 77M47N160M263N255M980N483M MD:Z:119A73A781 NM:i:2 47,263,980 3
cdhit-output-4_9.iteration.1 0.99 snap_masked-168316967-processed-gene-0.32-mRNA-1 0 3260667 175M87N128M MD:Z:77G225 NM:i:1 87 1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168314006-processed-gene-0.71-mRNA-1 0 3575427 21M620N387M MD:Z:255A152 NM:i:1 620 1
cdhit-output-4_9.iteration.1 0.99 snap_masked-168310027-processed-gene-0.6-mRNA-1 16 3260693 918M157N125M718N1015M270N342M MD:Z:440C18C88T51A65G488A61G347G210G371T241T9 NM:i:11 157,718,270 3
cdhit-output-4_11.iteration.1 0.99 snap_masked-168304247-processed-gene-0.14-mRNA-1 16 3287787 876M264N21M MD:Z:53GA155A7G90A587 NM:i:5 264 1
cdhit-output-4_19.iteration.1 0.99 snap_masked-168301335-processed-gene-0.13-mRNA-1 16 831928 587M61N276M MD:Z:46TT7A284C28G40T54G211C48G29T69C36 NM:i:11 61 1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168267877-processed-gene-0.58-mRNA-1 0 3958258 294M131N248M356N298M50N24M MD:Z:77G9G24G6T32T41A38C17C114G157G30C46A251A9 NM:i:13 131,356,50 3
cdhit-output-4_15.iteration.4 0.99 snap_masked-168259747-processed-gene-0.3-mRNA-1 16 4635181 111M369N149M197N55M MD:Z:52A23A238 NM:i:2 369,197 2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168247014-processed-gene-0.22-mRNA-1 16 3052534 655M54N1361M MD:Z:450A290A842A411G19 NM:i:4 54 1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168243840-processed-gene-0.32-mRNA-1 0 2915538 23M665N127M160N765M643N28M141N119M545N90M446N595M MD:Z:165A244C1336 NM:i:2 665,160,643,141,545,446 6
cdhit-output-4_18.iteration.1 0.99 snap_masked-168241044-processed-gene-0.5-mRNA-1 0 3751190 265M183N221M165N1719M MD:Z:115A457A44A136G2A75G62A31G100T53G108G121G318G257C7A1A178A72C38T11 NM:i:19 183,165 2
cdhit-output-4_13.iteration.1 0.99 snap_masked-168233950-processed-gene-0.49-mRNA-1 0 3957989 241M374N173M1232N127M1504N251M107N115M135N256M116N169M171N525M MD:Z:98G1758 NM:i:1 374,1232,1504,107,135,116,171 7
cdhit-output-4_18.iteration.1 0.99 snap_masked-168230750-processed-gene-0.39-mRNA-1 0 3751158 70M156N326M MD:Z:313A82 NM:i:1 156 1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168227321-processed-gene-1.125-mRNA-1 0 2851208 87M935N797M MD:Z:884 NM:i:0 935 1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168225487-processed-gene-0.67-mRNA-1 16 3958343 698M177N158M142N87M527N293M112N157M270N114M MD:Z:1407T99 NM:i:1 177,142,527,112,270 5
cdhit-output-4_11.iteration.1 0.99 snap_masked-168221674-processed-gene-0.30-mRNA-1 0 3288273 490M147N531M MD:Z:181G26A812 NM:i:2 147 1
cdhit-output-4_16.iteration.3 0.99 snap_masked-168217481-processed-gene-0.55-mRNA-1 16 4299976 478M2455N109M156N194M208N658M187N105M97N88M216N78M123N100M142N219M MD:Z:19A11A10T37T28C9G7G18G85G194T1094G506 NM:i:11 2455,156,208,187,97,216,123,142 8
cdhit-output-4_11.iteration.3 0.99 snap_masked-168209777-processed-gene-0.51-mRNA-1 16 2747309 615M300N69M MD:Z:171A418C50A42 NM:i:3 300 1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168199200-processed-gene-0.72-mRNA-1 16 3575807 1212M298N20M224N97M MD:Z:297T45T238G5C329A4A227C89C87 NM:i:8 298,224 2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168196537-processed-gene-0.72-mRNA-1 0 3260967 1287M217N648M MD:Z:44C36C73T26C654G145G2T201C189C556 NM:i:9 217 1
cdhit-output-4_17.iteration.1 0.99 snap_masked-168192009-processed-gene-0.91-mRNA-1 16 3051885 1182M212N146M123N60M MD:Z:888C484C14 NM:i:2 212,123 2
cdhit-output-4_14.iteration.1 0.99 snap_masked-168191494-processed-gene-0.57-mRNA-1 16 3011726 84M241N579M MD:Z:41G1A52G21TC14T60T7G62C56A339 NM:i:10 241 1
cdhit-output-4_14.iteration.1 0.99 snap_masked-168191162-processed-gene-0.91-mRNA-1 16 3012218 470M603N84M48N14M1982N49M334N640M240N56M326N36M MD:Z:72G206C424T288T355 NM:i:4 603,48,1982,334,240,326 6
cdhit-output-4_15.iteration.1 0.99 snap_masked-168188494-processed-gene-0.13-mRNA-1 16 3575311 75M61N366M803N339M168N21M MD:Z:12C788 NM:i:1 61,803,168 3
cdhit-output-4_9.iteration.4 0.99 snap_masked-168188033-processed-gene-0.65-mRNA-1 16 2270129 1061M112N253M MD:Z:66C19T140G83G41C167C27C585T178 NM:i:8 112 1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168187374-processed-gene-0.122-mRNA-1 16 2914986 924M479N497M45N106M MD:Z:166G210T29C114C1004 NM:i:4 479,45 2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168187075-processed-gene-0.14-mRNA-1 0 3052599 2601M934N18M MD:Z:5A35C19A234G226C43A104A35G493C32A596G131T27T442C64C118 NM:i:15 934 1
cdhit-output-4_18.iteration.1 0.99 snap_masked-168186309-processed-gene-0.25-mRNA-1 0 3751525 322M162N17M MD:Z:339 NM:i:0 162 1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168184965-processed-gene-0.19-mRNA-1 16 3287911 33M67N613M114N224M MD:Z:22C1A56T55A85C103G176G154C22T34T13G4C58T27TT11A33 NM:i:16 67,114 2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168184876-processed-gene-0.41-mRNA-1 16 3260932 25M53N1229M MD:Z:347GA157T96A197C50T97T35C21A132G112 NM:i:10 53 1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168184629-processed-gene-0.10-mRNA-1 0 3575504 23M340N1693M MD:Z:224C227C21G381A66C170G192T334C93 NM:i:8 340 1
cdhit-output-4_12.iteration.1 0.99 snap_masked-168143466-processed-gene-0.14-mRNA-1 16 3284380 16M611N1871M MD:Z:593G1206A86 NM:i:2 611 1
cdhit-output-4_14.iteration.1 0.99 snap_masked-168131347-processed-gene-0.3-mRNA-1 16 3011753 36M245N73M170N535M MD:Z:210A433 NM:i:1 245,170 2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168127238-processed-gene-0.8-mRNA-1 16 3494266 403M22N850M969N209M105N356M395N427M1047N957M MD:Z:72C201T4A197C131G11CA83G42C15T59A24G61T3C37C47G30C1A47A74C49C76C625A62T426C18G146T17A196G173C32G138T36G36 NM:i:33 22,969,105,395,1047 5
cdhit-output-4_11.iteration.1 0.99 snap_masked-168104155-processed-gene-0.10-mRNA-1 16 3214187 166M2885N1202M MD:Z:1272A14C24G11T43 NM:i:4 2885 1
cdhit-output-4_17.iteration.3 0.99 snap_masked-168052496-processed-gene-0.23-mRNA-1 0 3680876 503M96N392M258N704M MD:Z:60T337T760C70T40T269A23T33 NM:i:7 96,258 2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168029313-processed-gene-0.20-mRNA-1 16 3575994 218M780N1933M MD:Z:297A351A949T95G455 NM:i:4 780 1
cdhit-output-4_15.iteration.1 0.99 snap_masked-167957962-processed-gene-0.58-mRNA-1 0 3575865 140M586N115M143N65M290N55M95N382M MD:Z:757 NM:i:0 586,143,290,95 4
cdhit-output-4_17.iteration.1 0.99 snap_masked-167955145-processed-gene-0.20-mRNA-1 0 3052006 2264M277N1181M MD:Z:227C273C1G397G664C197T400C113T376G726C61 NM:i:10 277 1
cdhit-output-4_8.iteration.1 0.99 snap_masked-167864594-processed-gene-0.9-mRNA-1 0 4560087 267M311N161M86N204M107N238M157N1137M MD:Z:682C204A520G598 NM:i:3 311,86,107,157 4
cdhit-output-4_17.iteration.1 0.99 snap_masked-167852520-processed-gene-0.20-mRNA-1 0 2991141 1082M254N151M176N142M299N62M92N943M MD:Z:196G33A2149 NM:i:2 254,176,299,92 4
cdhit-output-4_17.iteration.1 0.99 snap_masked-167813743-processed-gene-0.6-mRNA-1 0 3052133 130M139N184M228N84M227N8M280N105M187N71M723N832M MD:Z:863G70C387A91 NM:i:3 139,228,227,280,187,723 6
cdhit-output-4_8.iteration.1 0.99 snap_masked-167016301-processed-gene-0.3-mRNA-1 16 4457911 197M378N433M MD:Z:194G211A223 NM:i:2 378 1
cdhit-output-4_8.iteration.1 0.99 snap_masked-166997004-processed-gene-0.2-mRNA-1 16 4560422 624M86N54M597N109M106N264M307N104M207N1212M217N209M MD:Z:257G45C80T52A95T408GA1G49C2C533A170G11C59A44T12C487T20G233 NM:i:18 86,597,106,307,207,217 6
cdhit-output-4_9.iteration.1 0.99 snap_masked-166958634-processed-gene-0.3-mRNA-1 16 3261037 1365M289N801M MD:Z:163G3C305T38C427C412A50G98C49T234T38G91A53T179A12 NM:i:14 289 1
cdhit-output-4_10.iteration.1 0.99 snap_masked-166939621-processed-gene-0.2-mRNA-1 0 2915416 198M815N89M217N285M36N1995M164N211M148N1028M MD:Z:300A313C23G499G317T148G51T917A499C714A15 NM:i:10 815,217,36,164,148 5
cdhit-output-4_11.iteration.1 0.99 snap_masked-166908311-processed-gene-0.3-mRNA-1 0 3288498 493M230N1208M MD:Z:258T418A110T67G120C44A13T84A83A495 NM:i:9 230 1
cdhit-output-4_16.iteration.1 0.99 snap_masked-166827834-processed-gene-0.6-mRNA-1 16 3093120 264M1459N698M1038N349M MD:Z:5C58T127A5C2G140T50G174T208G268C40C40A126C15C39 NM:i:14 1459,1038 2
cdhit-output-4_16.iteration.4 0.99 snap_masked-166706928-processed-gene-0.2-mRNA-1 16 4860703 605M121N178M62N362M MD:Z:291C202A12T276C44A266G35T12 NM:i:7 121,62 2
cdhit-output-4_9.iteration.1 0.99 snap_masked-165775771-processed-gene-0.2-mRNA-1 0 3260039 99M87N426M355N852M MD:Z:27A13T131A168AA208T196T627 NM:i:7 87,355 2
cdhit-output-4_10.iteration.5 0.99 snap_masked-165478869-processed-gene-0.7-mRNA-1 16 2803169 229M204N487M MD:Z:439T46G229 NM:i:2 204 1
cdhit-output-4_14.iteration.1 0.99 snap_masked-162693410-processed-gene-0.3-mRNA-1 0 3012326 97M38N414M426N1049M MD:Z:330A301A205A185G132G48G78C30G243 NM:i:8 38,426 2
cdhit-output-4_12.iteration.1 0.99 snap_masked-161969380-processed-gene-0.3-mRNA-1 16 3365108 480M1290N1506M MD:Z:576T373C284C287G101G317G19C22 NM:i:7 1290 1
cdhit-output-4_12.iteration.1 0.99 snap_masked-161894007-processed-gene-0.3-mRNA-1 0 3364945 682M171N78M107N144M151N267M MD:Z:54C49C42A151T116G568C185 NM:i:6 171,107,151 3
cdhit-output-4_16.iteration.1 0.99 snap_masked-159154714-processed-gene-0.2-mRNA-1 0 3093616 548M460N1399M MD:Z:63A300T413A10T142C182A236A170A293T129 NM:i:9 460 1
cdhit-output-4_18.iteration.4 0.99 snap_masked-158642469-processed-gene-0.4-mRNA-1 0 3292086 315M805N771M MD:Z:960C125 NM:i:1 805 1
cdhit-output-4_15.iteration.1 0.99 maker-97349046-snap-gene-0.2-mRNA-1 16 3575405 315M189N941M MD:Z:654A2T598 NM:i:2 189 1
cdhit-output-4_13.iteration.1 0.99 maker-95637066-snap-gene-0.4-mRNA-1 0 3958043 402M146N109M130N86M MD:Z:597 NM:i:0 146,130 2
cdhit-output-4_12.iteration.1 0.99 maker-89711947-augustus-gene-0.3-mRNA-1 0 3364519 69M106N940M MD:Z:1009 NM:i:0 106 1
cdhit-output-4_14.iteration.1 0.99 maker-8021654-augustus-gene-0.3-mRNA-1 16 3011494 384M259N2115M MD:Z:353A152C581C372GT326T308G292C107 NM:i:8 259 1
cdhit-output-4_15.iteration.1 0.99 maker-75264706-snap-gene-0.4-mRNA-1 16 3575694 195M98N273M MD:Z:330C137 NM:i:1 98 1
cdhit-output-4_15.iteration.1 0.99 maker-74361277-snap-gene-0.6-mRNA-1 16 3575613 1221M547N1119M MD:Z:1025C621A310A381 NM:i:3 547 1
cdhit-output-4_14.iteration.1 0.99 maker-57141529-augustus-gene-0.3-mRNA-1 16 3012069 530M123N120M94N144M MD:Z:17A230G35G24C105G19G250T55T51 NM:i:8 123,94 2
cdhit-output-4_10.iteration.1 0.99 maker-54538516-snap-gene-0.5-mRNA-1 16 2915440 886M112N376M MD:Z:71G653A218G132G184 NM:i:4 112 1
cdhit-output-4_15.iteration.1 0.99 maker-5410913-augustus-gene-0.3-mRNA-1 16 3575356 751M207N130M189N284M MD:Z:529C23G322C142C2C5C8A127 NM:i:7 207,189 2
cdhit-output-4_8.iteration.1 0.99 maker-42639634-augustus-gene-0.4-mRNA-1 16 4560002 73M30N435M115N197M122N101M101N360M MD:Z:384C597T3T5T8A37C126 NM:i:6 30,115,122,101 4
cdhit-output-4_13.iteration.1 0.99 maker-34152916-augustus-gene-0.3-mRNA-1 0 3958355 180M91N445M MD:Z:313A311 NM:i:1 91 1
cdhit-output-4_15.iteration.1 0.99 maker-168577648-snap-gene-0.51-mRNA-1 0 3524161 36M746N183M210N219M207N81M426N21M MD:Z:52A33A110C305T36 NM:i:4 746,210,207,426 4
cdhit-output-4_17.iteration.4 0.99 maker-168577634-snap-gene-0.47-mRNA-1 0 4067939 237M907N276M186N189M1453N574M MD:Z:56G1219 NM:i:1 907,186,1453 3
cdhit-output-4_13.iteration.1 0.99 maker-168577632-snap-gene-0.64-mRNA-1 16 3958134 245M106N549M125N72M126N147M135N156M142N171M146N171M116N66M288N86M1112N297M MD:Z:584A740C200T433 NM:i:3 106,125,126,135,142,146,116,288,1112 9
cdhit-output-4_14.iteration.1 0.99 maker-168577629-augustus-gene-0.26-mRNA-1 16 3012118 1568M101N621M382N63M MD:Z:222A21A233T117C522A705T343C82 NM:i:7 101,382 2
cdhit-output-4_12.iteration.1 0.99 maker-168577625-snap-gene-0.40-mRNA-1 0 3364226 674M165N519M619N596M MD:Z:578G1210 NM:i:1 165,619 2
cdhit-output-4_18.iteration.1 0.99 maker-168577592-augustus-gene-0.95-mRNA-1 0 3676748 33M276N76M133N131M301N60M113N75M102N105M139N96M141N81M89N102M95N419M MD:Z:282C873G6T14 NM:i:3 276,133,301,113,102,139,141,89,95 9
cdhit-output-4_19.iteration.1 0.99 maker-168577591-augustus-gene-0.54-mRNA-1 0 831722 126M105N150M166N114M258N39M101N69M236N99M133N323M MD:Z:107G812 NM:i:1 105,166,258,101,236,133 6
cdhit-output-4_15.iteration.1 0.99 maker-168577573-augustus-gene-0.59-mRNA-1 16 3575888 3454M321N390M155N51M84N2971M113N101M173N60M MD:Z:307G2627G437A74G2681G102A214C521G36C19 NM:i:9 321,155,84,113,173 5
cdhit-output-4_14.iteration.1 0.99 maker-168577567-augustus-gene-0.70-mRNA-1 16 3011573 2044M101N430M MD:Z:118C1198G1142G13 NM:i:3 101 1
cdhit-output-4_14.iteration.1 0.99 maker-168577559-augustus-gene-1.69-mRNA-1 0 3012064 30M258N141M359N1064M MD:Z:29A247G64C38C27T69G31A78T106C159T25T78A47C200C23 NM:i:14 258,359 2
cdhit-output-4_10.iteration.1 0.99 maker-168577548-augustus-gene-0.82-mRNA-1 16 2914739 460M250N73M75N100M79N75M MD:Z:108C8C13A29C1A11AG24G55A2T1T35G10T14A30T15T6G33T68T22A27A60C20T1G24A22AT25G16 NM:i:28 250,75,79 3
cdhit-output-4_9.iteration.1 0.99 maker-168577546-snap-gene-1.73-mRNA-1 0 3261118 522M1256N141M90N21M MD:Z:663T20 NM:i:1 1256,90 2
cdhit-output-4_15.iteration.1 0.99 maker-168577542-augustus-gene-0.28-mRNA-1 0 3576126 389M72N55M211N41M80N655M410N1265M175N295M MD:Z:119C350T808C398C315A705 NM:i:5 72,211,80,410,175 5
cdhit-output-4_18.iteration.1 0.99 maker-168577537-augustus-gene-0.65-mRNA-1 0 3750945 955M99N91M99N101M92N120M94N82M88N68M81N69M79N125M231N361M160N105M91N1077M527N332M172N1377M MD:Z:1194T1042A2092C29C189A50T89T52T118 NM:i:8 99,99,92,94,88,81,79,231,160,91,527,172 12
cdhit-output-4_15.iteration.1 0.99 maker-168577528-augustus-gene-0.84-mRNA-1 16 3575944 362M1907N220M MD:Z:86G295T199 NM:i:2 1907 1
cdhit-output-4_16.iteration.5 0.99 maker-168577511-augustus-gene-0.94-mRNA-1 16 1606406 228M62N135M92N117M MD:Z:81C251C40T55G49 NM:i:4 62,92 2
cdhit-output-4_17.iteration.1 0.99 maker-168577495-snap-gene-0.68-mRNA-1 16 3052679 1359M2298N255M91N115M142N53M119N261M1199N339M269N226M548N404M MD:Z:177A189A68G1539T821A213 NM:i:5 2298,91,142,119,1199,269,548 7
cdhit-output-4_11.iteration.1 0.99 maker-168577490-augustus-gene-0.61-mRNA-1 16 3218556 1072M186N117M99N270M153N199M113N222M MD:Z:170C198T8T186T266TT10G41C54T163T34C126A203TT118T210G26T13AC35 NM:i:19 186,99,153,113 4
cdhit-output-4_9.iteration.1 0.99 maker-168577483-augustus-gene-0.45-mRNA-1 16 3260220 683M135N243M MD:Z:92A833 NM:i:1 135 1
cdhit-output-4_11.iteration.1 0.99 maker-168577481-augustus-gene-0.75-mRNA-1 16 3287706 846M481N329M439N82M258N99M MD:Z:327A838C102T86 NM:i:3 481,439,258 3
cdhit-output-4_14.iteration.1 0.99 maker-168577479-snap-gene-1.82-mRNA-1 0 3012026 45M768N168M414N447M489N96M MD:Z:28G411A252C62 NM:i:3 768,414,489 3
cdhit-output-4_12.iteration.3 0.99 maker-168577455-augustus-gene-0.49-mRNA-1 0 3463068 374M968N273M55N168M MD:Z:112C114G169T103GT312 NM:i:5 968,55 2
cdhit-output-4_13.iteration.1 0.99 maker-168577444-snap-gene-0.49-mRNA-1 0 3958103 145M274N699M MD:Z:236A607 NM:i:1 274 1
cdhit-output-4_18.iteration.1 0.99 maker-168577437-augustus-gene-0.56-mRNA-1 0 3663824 50M270N45M145N909M MD:Z:239T485T66T106C104 NM:i:4 270,145 2
cdhit-output-4_11.iteration.1 0.99 maker-168577436-augustus-gene-0.49-mRNA-3 16 3288256 1359M4046N424M MD:Z:596G58C532C194T399 NM:i:4 4046 1
cdhit-output-4_11.iteration.1 0.99 maker-168577434-snap-gene-0.59-mRNA-1 0 3213206 625M96N69M259N62M74N141M MD:Z:713C183 NM:i:1 96,259,74 3
cdhit-output-4_11.iteration.1 0.99 maker-168577427-snap-gene-0.30-mRNA-1 16 3288522 482M82N222M108N252M218N218M130N171M94N110M1134N169M MD:Z:231G149A378C863 NM:i:3 82,108,218,130,94,1134 6
cdhit-output-4_12.iteration.2 0.99 maker-168577419-augustus-gene-0.40-mRNA-1 0 2804524 19M671N100M105N146M MD:Z:43A16A204 NM:i:2 671,105 2
cdhit-output-4_17.iteration.1 0.99 maker-168577400-augustus-gene-0.23-mRNA-1 0 2986095 342M237N623M MD:Z:56A908 NM:i:1 237 1
cdhit-output-4_13.iteration.1 0.99 maker-168577376-augustus-gene-0.112-mRNA-1 16 3958272 916M531N145M144N125M570N1008M435N321M MD:Z:1873A388A252 NM:i:2 531,144,570,435 4
cdhit-output-4_17.iteration.1 0.99 maker-168577373-snap-gene-0.48-mRNA-1 0 3052685 500M310N375M479N693M99N89M106N70M196N84M86N77M118N82M1732N83M279N64M199N129M337N104M136N97M230N755M MD:Z:13A38T194C297G2656 NM:i:4 310,479,99,106,196,86,118,1732,279,199,337,136,230 13
cdhit-output-4_16.iteration.1 0.99 maker-168577367-snap-gene-0.23-mRNA-1 16 3093310 76M198N390M286N268M170N203M964N221M MD:Z:1011T96T12T36 NM:i:3 198,286,170,964 4
cdhit-output-4_16.iteration.1 0.99 maker-168577331-augustus-gene-0.39-mRNA-1 0 3092654 72M213N61M146N789M MD:Z:65T856 NM:i:1 213,146 2
cdhit-output-4_15.iteration.1 0.99 maker-168577320-snap-gene-0.83-mRNA-1 0 3497295 27M567N363M352N501M191N142M93N851M MD:Z:255C176A1451 NM:i:2 567,352,191,93 4
cdhit-output-4_17.iteration.1 0.99 maker-168577294-augustus-gene-0.99-mRNA-1 0 3052767 331M101N213M90N156M83N62M97N936M MD:Z:94A1362A240 NM:i:2 101,90,83,97 4
cdhit-output-4_15.iteration.1 0.99 maker-168577271-augustus-gene-0.26-mRNA-1 16 3493987 695M95N1275M118N37M MD:Z:65G1800C140 NM:i:2 95,118 2
