bin coverage transcript strand gene cigar MD NM
cdhit-output-4_13.iteration.1 0.99 snap_masked-168572541-processed-gene-0.46-mRNA-1 0 3957999 333M MD:Z:52C280 NM:i:1
cdhit-output-4_13.iteration.4 0.99 snap_masked-168571462-processed-gene-0.17-mRNA-1 0 2297131 402M MD:Z:8A14C16A37T1C71T40C146T2C58 NM:i:9
cdhit-output-4_16.iteration.1 0.99 snap_masked-168571006-processed-gene-0.33-mRNA-1 0 3093372 2361M MD:Z:47G5G132G88T50T48G33T30A104A6T82A75T135T237G98C200T676G12A228G16T39 NM:i:20
cdhit-output-4_18.iteration.1 0.99 snap_masked-168570714-processed-gene-0.69-mRNA-1 16 631985 312M MD:Z:312 NM:i:0
cdhit-output-4_14.iteration.1 0.99 snap_masked-168569977-processed-gene-0.94-mRNA-1 0 2939412 807M MD:Z:434T316G55 NM:i:2
cdhit-output-4_16.iteration.1 0.99 snap_masked-168569643-processed-gene-0.50-mRNA-1 0 3059202 630M MD:Z:227AG7C10G115G8A34GC132T88 NM:i:9
cdhit-output-4_10.iteration.1 0.99 snap_masked-168569565-processed-gene-0.67-mRNA-1 16 2849671 312M MD:Z:253A58 NM:i:1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168568823-processed-gene-0.74-mRNA-1 0 3226637 2115M MD:Z:15T148C330C78A66T140A30T12C14G3G144T16T14G28G114T111A171C203T162A34C262 NM:i:20
cdhit-output-4_15.iteration.2 0.99 snap_masked-168568076-processed-gene-0.22-mRNA-1 16 3661043 354M MD:Z:354 NM:i:0
cdhit-output-4_11.iteration.1 0.99 snap_masked-168566824-processed-gene-0.40-mRNA-1 0 3288468 2490M MD:Z:5C4A32C67T112C8A51A721A35G81C75A237T172G51A88T11A201C242G56C222 NM:i:19
cdhit-output-4_10.iteration.1 0.99 snap_masked-168566042-processed-gene-0.43-mRNA-1 16 2845244 2301M MD:Z:231A2024C44 NM:i:2
cdhit-output-4_11.iteration.1 0.99 snap_masked-168563174-processed-gene-0.51-mRNA-1 16 3288122 1956M MD:Z:51T190A93C251G11A203A199T209C400C127G2G209 NM:i:11
cdhit-output-4_12.iteration.1 0.99 snap_masked-168562908-processed-gene-0.17-mRNA-1 16 3364439 291M MD:Z:291 NM:i:0
cdhit-output-4_18.iteration.1 0.99 snap_masked-168562297-processed-gene-0.12-mRNA-1 16 3664762 2484M MD:Z:870T70C53T88T76G99T1047G37T136 NM:i:8
cdhit-output-4_10.iteration.1 0.99 snap_masked-168562115-processed-gene-0.55-mRNA-1 16 2850139 846M MD:Z:129G292T217C205 NM:i:3
cdhit-output-4_15.iteration.1 0.99 snap_masked-168561867-processed-gene-0.85-mRNA-1 16 3575999 2301M MD:Z:27C107G176T301C131C707T63T116A21A175C81G53A52G37T29A17T7A151A32 NM:i:18
cdhit-output-4_10.iteration.1 0.99 snap_masked-168559860-processed-gene-1.83-mRNA-1 16 2915586 1782M MD:Z:884G260A636 NM:i:2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168558842-processed-gene-0.74-mRNA-1 0 3051826 414M MD:Z:414 NM:i:0
cdhit-output-4_17.iteration.1 0.99 snap_masked-168558167-processed-gene-0.27-mRNA-1 0 3051779 2466M MD:Z:151C184G298T25C659T7T29G1G105G309A626A61 NM:i:11
cdhit-output-4_9.iteration.1 0.99 snap_masked-168557695-processed-gene-0.11-mRNA-1 0 3260133 2649M MD:Z:438A2210 NM:i:1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168557446-processed-gene-1.48-mRNA-1 0 2914839 1884M MD:Z:1884 NM:i:0
cdhit-output-4_18.iteration.2 0.99 snap_masked-168556295-processed-gene-0.48-mRNA-1 16 4286191 300M MD:Z:155AA35C107 NM:i:3
cdhit-output-4_12.iteration.1 0.99 snap_masked-168555510-processed-gene-0.36-mRNA-1 16 3286027 2553M MD:Z:159A68C410T268T11A411C110A128A639G260A68C10 NM:i:11
cdhit-output-4_16.iteration.1 0.99 snap_masked-168552730-processed-gene-0.65-mRNA-1 0 3093248 624M MD:Z:605T18 NM:i:1
cdhit-output-4_12.iteration.1 0.99 snap_masked-168551642-processed-gene-0.64-mRNA-1 16 3364964 2421M MD:Z:950C395C199G874 NM:i:3
cdhit-output-4_13.iteration.3 0.99 snap_masked-168551638-processed-gene-2.86-mRNA-1 16 4700213 216M MD:Z:83T132 NM:i:1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168551515-processed-gene-0.35-mRNA-1 0 3957147 1734M MD:Z:657C512T563 NM:i:2
cdhit-output-4_15.iteration.5 0.99 snap_masked-168550493-processed-gene-0.58-mRNA-1 0 1502526 210M MD:Z:105G104 NM:i:1
cdhit-output-4_13.iteration.1 0.99 snap_masked-168549625-processed-gene-0.10-mRNA-1 16 3958096 3132M MD:Z:539C846C377C296G142G283A643 NM:i:6
cdhit-output-4_17.iteration.1 0.99 snap_masked-168549280-processed-gene-0.7-mRNA-1 16 3052093 684M MD:Z:621C62 NM:i:1
cdhit-output-4_9.iteration.1 0.99 snap_masked-168549177-processed-gene-0.100-mRNA-1 16 3260785 1779M MD:Z:154A587T109T926 NM:i:3
cdhit-output-4_16.iteration.1 0.99 snap_masked-168549158-processed-gene-0.28-mRNA-1 0 3019625 498M MD:Z:46T451 NM:i:1
cdhit-output-4_12.iteration.1 0.99 snap_masked-168548377-processed-gene-0.27-mRNA-1 0 542508 201M MD:Z:49A151 NM:i:1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168548205-processed-gene-0.22-mRNA-1 16 3493872 3033M MD:Z:720C611G553A122A425G415T105G75 NM:i:7
cdhit-output-4_16.iteration.1 0.99 snap_masked-168548010-processed-gene-0.89-mRNA-1 0 3092542 246M MD:Z:246 NM:i:0
cdhit-output-4_11.iteration.1 0.99 snap_masked-168547058-processed-gene-0.71-mRNA-1 0 3215867 651M MD:Z:434AT14A137T62 NM:i:4
cdhit-output-4_18.iteration.2 0.99 snap_masked-168547058-processed-gene-0.69-mRNA-1 0 1251871 327M MD:Z:78A148C99 NM:i:2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168544955-processed-gene-0.7-mRNA-1 16 3260580 726M MD:Z:237C381G61T44 NM:i:3
cdhit-output-4_9.iteration.1 0.99 snap_masked-168544726-processed-gene-0.14-mRNA-1 0 3260860 357M MD:Z:208G148 NM:i:1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168543532-processed-gene-0.57-mRNA-1 0 3092908 1857M MD:Z:1440A416 NM:i:1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168540929-processed-gene-0.19-mRNA-1 16 3217542 657M MD:Z:398A143C114 NM:i:2
cdhit-output-4_15.iteration.5 0.99 snap_masked-168540542-processed-gene-0.21-mRNA-1 0 1449282 318M MD:Z:90T53C19T6G146 NM:i:4
cdhit-output-4_14.iteration.1 0.99 snap_masked-168538536-processed-gene-0.10-mRNA-1 0 3012124 420M MD:Z:24A210C152C20A10 NM:i:4
cdhit-output-4_9.iteration.1 0.99 snap_masked-168537598-processed-gene-0.31-mRNA-1 0 3201669 357M MD:Z:357 NM:i:0
cdhit-output-4_10.iteration.1 0.99 snap_masked-168535625-processed-gene-0.31-mRNA-1 16 2846421 2274M MD:Z:1148C109T765T249 NM:i:3
cdhit-output-4_12.iteration.1 0.99 snap_masked-168533071-processed-gene-0.17-mRNA-1 0 3364821 462M MD:Z:416G33A11 NM:i:2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168532484-processed-gene-0.55-mRNA-1 16 3260487 327M MD:Z:327 NM:i:0
cdhit-output-4_10.iteration.1 0.99 snap_masked-168529423-processed-gene-0.21-mRNA-1 0 2915603 1983M MD:Z:92T274C276G617T161A75G264G113C85C17 NM:i:9
cdhit-output-4_10.iteration.1 0.99 snap_masked-168528819-processed-gene-0.28-mRNA-1 16 2915587 351M MD:Z:351 NM:i:0
cdhit-output-4_12.iteration.1 0.99 snap_masked-168526810-processed-gene-0.11-mRNA-1 0 3364952 1227M MD:Z:1227 NM:i:0
cdhit-output-4_11.iteration.1 0.99 snap_masked-168525429-processed-gene-0.31-mRNA-1 16 3288382 2370M MD:Z:414T655T143A153G98G104T320C476 NM:i:7
cdhit-output-4_13.iteration.1 0.99 snap_masked-168524568-processed-gene-0.56-mRNA-1 16 3919172 372M MD:Z:171C200 NM:i:1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168523866-processed-gene-0.4-mRNA-1 16 2847308 612M MD:Z:24T34G49G89G412 NM:i:4
cdhit-output-4_11.iteration.1 0.99 snap_masked-168523715-processed-gene-0.11-mRNA-1 16 3288442 1041M MD:Z:49A18G972 NM:i:2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168523015-processed-gene-0.27-mRNA-1 16 3052415 180M MD:Z:180 NM:i:0
cdhit-output-4_17.iteration.1 0.99 snap_masked-168522838-processed-gene-0.103-mRNA-1 16 3052462 321M MD:Z:321 NM:i:0
cdhit-output-4_8.iteration.1 0.99 snap_masked-168521317-processed-gene-0.6-mRNA-1 16 4560208 333M MD:Z:333 NM:i:0
cdhit-output-4_18.iteration.1 0.99 snap_masked-168520988-processed-gene-0.78-mRNA-1 16 785034 336M MD:Z:97G80G157 NM:i:2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168520014-processed-gene-0.62-mRNA-1 16 3506149 207M MD:Z:207 NM:i:0
cdhit-output-4_13.iteration.1 0.99 snap_masked-168519497-processed-gene-0.49-mRNA-1 0 3908257 2829M MD:Z:1526A1302 NM:i:1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168518380-processed-gene-0.8-mRNA-1 16 3215190 405M MD:Z:290T114 NM:i:1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168516466-processed-gene-0.15-mRNA-1 16 3576115 1377M MD:Z:417A97A107G34C568A82T66 NM:i:6
cdhit-output-4_19.iteration.1 0.99 snap_masked-168514912-processed-gene-0.16-mRNA-1 0 831785 2592M MD:Z:26C50C628C14G94T13C47T11A19A39T77T15A1T68C110C2C95T76G118G353A16T66G57T54T41T1T103T60A75A51A70A11T99 NM:i:32
cdhit-output-4_14.iteration.1 0.99 snap_masked-168512853-processed-gene-1.82-mRNA-1 0 3011727 276M MD:Z:276 NM:i:0
cdhit-output-4_14.iteration.2 0.99 snap_masked-168509624-processed-gene-0.6-mRNA-1 0 5221943 312M MD:Z:11C183C116 NM:i:2
cdhit-output-4_13.iteration.1 0.99 snap_masked-168509051-processed-gene-0.24-mRNA-1 0 3873595 318M MD:Z:318 NM:i:0
cdhit-output-4_8.iteration.1 0.99 snap_masked-168508384-processed-gene-0.32-mRNA-1 16 4560039 429M MD:Z:139T27A15A185G59 NM:i:4
cdhit-output-4_10.iteration.1 0.99 snap_masked-168506658-processed-gene-0.77-mRNA-1 16 2914853 225M MD:Z:69C155 NM:i:1
cdhit-output-4_10.iteration.1 0.99 snap_masked-168506404-processed-gene-0.21-mRNA-1 16 2915116 237M MD:Z:237 NM:i:0
cdhit-output-4_13.iteration.1 0.99 snap_masked-168505425-processed-gene-0.14-mRNA-1 16 3919078 381M MD:Z:294T51C3A30 NM:i:3
cdhit-output-4_10.iteration.1 0.99 snap_masked-168500386-processed-gene-2.43-mRNA-1 16 2914832 303M MD:Z:303 NM:i:0
cdhit-output-4_10.iteration.1 0.99 snap_masked-168499642-processed-gene-0.14-mRNA-1 16 960939 183M MD:Z:183 NM:i:0
cdhit-output-4_16.iteration.1 0.99 snap_masked-168497022-processed-gene-0.5-mRNA-1 0 3031907 1671M MD:Z:275A375A361CT656 NM:i:4
cdhit-output-4_13.iteration.1 0.99 snap_masked-168496729-processed-gene-0.4-mRNA-1 0 3958038 501M MD:Z:90TC409 NM:i:2
cdhit-output-4_17.iteration.3 0.99 snap_masked-168496104-processed-gene-0.30-mRNA-1 16 1716009 270M MD:Z:23T35A137G16T55 NM:i:4
cdhit-output-4_12.iteration.1 0.99 snap_masked-168491800-processed-gene-0.24-mRNA-1 0 3364921 300M MD:Z:30T26T242 NM:i:2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168489523-processed-gene-0.98-mRNA-1 16 3499335 201M MD:Z:201 NM:i:0
cdhit-output-4_8.iteration.1 0.99 snap_masked-168487853-processed-gene-0.36-mRNA-1 16 4560068 243M MD:Z:243 NM:i:0
cdhit-output-4_10.iteration.1 0.99 snap_masked-168485357-processed-gene-0.47-mRNA-1 16 2915319 216M MD:Z:216 NM:i:0
cdhit-output-4_11.iteration.3 0.99 snap_masked-168482879-processed-gene-0.41-mRNA-1 0 2675779 529M MD:Z:78A32TA13G10A8C65C32C25A137C95C13C9 NM:i:12
cdhit-output-4_14.iteration.1 0.99 snap_masked-168481356-processed-gene-0.98-mRNA-1 0 2942343 318M MD:Z:318 NM:i:0
cdhit-output-4_15.iteration.1 0.99 snap_masked-168480939-processed-gene-0.15-mRNA-1 16 3575837 543M MD:Z:543 NM:i:0
cdhit-output-4_13.iteration.1 0.99 snap_masked-168480718-processed-gene-0.13-mRNA-1 16 3871640 333M MD:Z:333 NM:i:0
cdhit-output-4_16.iteration.1 0.99 snap_masked-168480121-processed-gene-0.6-mRNA-1 0 3055875 246M MD:Z:246 NM:i:0
cdhit-output-4_18.iteration.3 0.99 snap_masked-168479714-processed-gene-0.8-mRNA-1 0 4646510 345M MD:Z:21G146C3G14T59A2G27A66 NM:i:7
cdhit-output-4_15.iteration.1 0.99 snap_masked-168478876-processed-gene-0.10-mRNA-1 16 3575604 2127M MD:Z:79C221G23A130T320G1020C328 NM:i:6
cdhit-output-4_15.iteration.2 0.99 snap_masked-168476454-processed-gene-0.14-mRNA-1 0 3579115 393M MD:Z:53T4C100A7G225 NM:i:4
cdhit-output-4_16.iteration.2 0.99 snap_masked-168476177-processed-gene-0.13-mRNA-1 0 4044237 291M MD:Z:15T46C228 NM:i:2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168471005-processed-gene-0.8-mRNA-1 16 3185230 327M MD:Z:67C37C98G82C39 NM:i:4
cdhit-output-4_17.iteration.1 0.99 snap_masked-168470965-processed-gene-0.39-mRNA-1 0 3052434 1365M MD:Z:648C716 NM:i:1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168470123-processed-gene-0.124-mRNA-1 0 3092502 270M MD:Z:270 NM:i:0
cdhit-output-4_9.iteration.1 0.99 snap_masked-168468761-processed-gene-0.18-mRNA-1 0 3204686 1001M MD:Z:97G18T6A25G562T62C225 NM:i:6
cdhit-output-4_15.iteration.1 0.99 snap_masked-168468504-processed-gene-0.21-mRNA-1 16 3494109 1920M MD:Z:528G1078T54A186C70 NM:i:4
cdhit-output-4_12.iteration.1 0.99 snap_masked-168464262-processed-gene-0.2-mRNA-1 0 3284234 216M MD:Z:147C1G66 NM:i:2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168463841-processed-gene-0.61-mRNA-1 0 3260313 207M MD:Z:207 NM:i:0
cdhit-output-4_9.iteration.1 0.99 snap_masked-168459523-processed-gene-1.54-mRNA-1 0 3187892 213M MD:Z:213 NM:i:0
cdhit-output-4_12.iteration.1 0.99 snap_masked-168459523-processed-gene-1.53-mRNA-1 16 3290870 237M MD:Z:129C107 NM:i:1
cdhit-output-4_9.iteration.1 0.99 snap_masked-168459523-processed-gene-1.52-mRNA-1 0 3187892 324M MD:Z:324 NM:i:0
cdhit-output-4_18.iteration.1 0.99 snap_masked-168458182-processed-gene-0.20-mRNA-1 0 3751264 1866M MD:Z:801G368T84C189C347A72 NM:i:5
cdhit-output-4_15.iteration.1 0.99 snap_masked-168455519-processed-gene-0.93-mRNA-1 16 3575503 417M MD:Z:311C105 NM:i:1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168454869-processed-gene-0.56-mRNA-1 0 3575682 570M MD:Z:377T192 NM:i:1
cdhit-output-4_15.iteration.1 0.99 snap_masked-168453873-processed-gene-1.99-mRNA-1 0 3575869 2100M MD:Z:604C492G582T419 NM:i:3
cdhit-output-4_14.iteration.4 0.99 snap_masked-168452061-processed-gene-0.7-mRNA-1 16 5213025 465M MD:Z:6A28C130A201G19G2A37T12G22 NM:i:8
cdhit-output-4_17.iteration.1 0.99 snap_masked-168451748-processed-gene-0.24-mRNA-1 0 2981792 438M MD:Z:116T321 NM:i:1
cdhit-output-4_14.iteration.1 0.99 snap_masked-168451067-processed-gene-0.3-mRNA-1 16 2940168 2595M MD:Z:641A32A385C1534 NM:i:3
cdhit-output-4_18.iteration.1 0.99 snap_masked-168448462-processed-gene-0.88-mRNA-1 0 3751414 765M MD:Z:167G89G100C9CC294A29G18G16T34 NM:i:9
cdhit-output-4_13.iteration.1 0.99 snap_masked-168447667-processed-gene-0.5-mRNA-1 0 3870685 636M MD:Z:636 NM:i:0
cdhit-output-4_10.iteration.1 0.99 snap_masked-168446456-processed-gene-0.19-mRNA-1 16 2845594 225M MD:Z:189A35 NM:i:1
cdhit-output-4_18.iteration.1 0.99 snap_masked-168444801-processed-gene-0.22-mRNA-1 16 3671992 2166M MD:Z:900A620G102A541 NM:i:3
cdhit-output-4_16.iteration.1 0.99 snap_masked-168444479-processed-gene-0.44-mRNA-1 16 3093198 228M MD:Z:228 NM:i:0
cdhit-output-4_17.iteration.5 0.99 snap_masked-168443762-processed-gene-0.17-mRNA-1 16 1638631 324M MD:Z:70G116A31T2A101 NM:i:4
cdhit-output-4_11.iteration.1 0.99 snap_masked-168443486-processed-gene-0.39-mRNA-1 0 3213181 207M MD:Z:207 NM:i:0
cdhit-output-4_17.iteration.1 0.99 snap_masked-168441282-processed-gene-0.50-mRNA-1 16 3052218 1245M MD:Z:100A46A167T699C51A64G26G74C10 NM:i:8
cdhit-output-4_10.iteration.2 0.99 snap_masked-168441156-processed-gene-0.18-mRNA-1 16 3112597 276M MD:Z:16G174A27G56 NM:i:3
cdhit-output-4_9.iteration.2 0.99 snap_masked-168438749-processed-gene-0.45-mRNA-1 0 3334806 183M MD:Z:50G132 NM:i:1
cdhit-output-4_18.iteration.1 0.99 snap_masked-168436303-processed-gene-1.63-mRNA-1 0 3737511 540M MD:Z:540 NM:i:0
cdhit-output-4_19.iteration.1 0.99 snap_masked-168435560-processed-gene-0.34-mRNA-1 0 831755 330M MD:Z:330 NM:i:0
cdhit-output-4_13.iteration.1 0.99 snap_masked-168435378-processed-gene-2.74-mRNA-1 0 3957891 357M MD:Z:222G134 NM:i:1
cdhit-output-4_13.iteration.3 0.99 snap_masked-168433123-processed-gene-0.3-mRNA-1 16 4699790 300M MD:Z:81T77T140 NM:i:2
cdhit-output-4_14.iteration.1 0.99 snap_masked-168424050-processed-gene-0.32-mRNA-1 0 3011125 2451M MD:Z:206A2244 NM:i:1
cdhit-output-4_18.iteration.1 0.99 snap_masked-168423899-processed-gene-0.11-mRNA-1 16 3670179 3267M MD:Z:1860G1406 NM:i:1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168417437-processed-gene-0.31-mRNA-1 0 3092540 303M MD:Z:303 NM:i:0
cdhit-output-4_15.iteration.1 0.99 snap_masked-168415001-processed-gene-0.16-mRNA-1 0 3495224 330M MD:Z:17A312 NM:i:1
cdhit-output-4_17.iteration.1 0.99 snap_masked-168414944-processed-gene-0.22-mRNA-1 0 3052123 282M MD:Z:282 NM:i:0
cdhit-output-4_8.iteration.1 0.99 snap_masked-168414143-processed-gene-0.3-mRNA-1 16 4458737 1398M MD:Z:929C468 NM:i:1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168411146-processed-gene-0.14-mRNA-1 0 3214477 3318M MD:Z:21C437A128C227G41G681T2A20A36C34C853A25T801 NM:i:12
cdhit-output-4_19.iteration.1 0.99 snap_masked-168404160-processed-gene-0.83-mRNA-1 16 831926 1998M MD:Z:83A1914 NM:i:1
cdhit-output-4_9.iteration.3 0.99 snap_masked-168403036-processed-gene-0.38-mRNA-1 16 3510303 267M MD:Z:196T12A57 NM:i:2
cdhit-output-4_13.iteration.1 0.99 snap_masked-168401655-processed-gene-0.20-mRNA-1 0 3876986 556M MD:Z:139C371T44 NM:i:2
cdhit-output-4_17.iteration.1 0.99 snap_masked-168400286-processed-gene-0.40-mRNA-1 16 3052414 294M MD:Z:294 NM:i:0
cdhit-output-4_9.iteration.1 0.99 snap_masked-168398745-processed-gene-0.35-mRNA-1 0 3260719 210M MD:Z:210 NM:i:0
cdhit-output-4_17.iteration.1 0.99 snap_masked-168397484-processed-gene-0.28-mRNA-1 16 3052548 321M MD:Z:321 NM:i:0
cdhit-output-4_9.iteration.1 0.99 snap_masked-168397458-processed-gene-1.90-mRNA-1 16 3260196 2343M MD:Z:234A973C483G650 NM:i:3
cdhit-output-4_14.iteration.1 0.99 snap_masked-168397262-processed-gene-0.34-mRNA-1 16 3011569 2013M MD:Z:123G119A20G479C210T64T25T12T953 NM:i:8
cdhit-output-4_18.iteration.1 0.99 snap_masked-168396491-processed-gene-0.34-mRNA-1 0 3751672 444M MD:Z:403A40 NM:i:1
cdhit-output-4_16.iteration.1 0.99 snap_masked-168394452-processed-gene-0.40-mRNA-1 16 3092844 2826M MD:Z:1619T1106A99 NM:i:2
cdhit-output-4_9.iteration.1 0.99 snap_masked-168394011-processed-gene-0.3-mRNA-1 0 3260094 273M MD:Z:273 NM:i:0
cdhit-output-4_13.iteration.1 0.99 snap_masked-168393497-processed-gene-0.77-mRNA-1 16 3957337 1050M MD:Z:1050 NM:i:0
cdhit-output-4_18.iteration.4 0.99 snap_masked-168389632-processed-gene-1.61-mRNA-1 0 3242956 264M MD:Z:136C116A10 NM:i:2
cdhit-output-4_15.iteration.1 0.99 snap_masked-168388819-processed-gene-0.5-mRNA-1 0 3575588 882M MD:Z:78T803 NM:i:1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168388051-processed-gene-0.19-mRNA-1 16 3214873 267M MD:Z:267 NM:i:0
cdhit-output-4_14.iteration.1 0.99 snap_masked-168386426-processed-gene-0.41-mRNA-1 16 801895 195M MD:Z:195 NM:i:0
cdhit-output-4_14.iteration.1 0.99 snap_masked-168386339-processed-gene-0.81-mRNA-1 16 3012053 330M MD:Z:330 NM:i:0
cdhit-output-4_12.iteration.1 0.99 snap_masked-168384894-processed-gene-0.13-mRNA-1 0 3364629 1935M MD:Z:303A1T157T397C338A436T297 NM:i:6
cdhit-output-4_15.iteration.1 0.99 snap_masked-168382546-processed-gene-0.28-mRNA-1 0 3496383 408M MD:Z:344A63 NM:i:1
cdhit-output-4_11.iteration.1 0.99 snap_masked-168381303-processed-gene-0.61-mRNA-1 16 3288499 543M MD:Z:543 NM:i:0
cdhit-output-4_12.iteration.1 0.99 snap_masked-168372947-processed-gene-0.46-mRNA-1 16 3297537 354M MD:Z:88G265 NM:i:1
cdhit-output-4_19.iteration.1 0.99 snap_masked-168364576-processed-gene-0.37-mRNA-1 0 141382 198M MD:Z:198 NM:i:0
cdhit-output-4_19.iteration.1 0.99 snap_masked-168358518-processed-gene-0.34-mRNA-1 0 831523 1446M MD:Z:129A1150C165 NM:i:2
cdhit-output-4_14.iteration.1 0.99 snap_masked-168355077-processed-gene-0.60-mRNA-1 16 814203 867M MD:Z:237A65A340C64C157 NM:i:4
cdhit-output-4_16.iteration.1 0.99 snap_masked-168348494-processed-gene-0.11-mRNA-1 16 3092650 333M MD:Z:247T22TT61 NM:i:3
cdhit-output-4_13.iteration.1 0.99 snap_masked-168340612-processed-gene-0.14-mRNA-1 0 3875382 2172M MD:Z:896T1101C173 NM:i:2
cdhit-output-4_14.iteration.1 0.99 snap_masked-168338686-processed-gene-0.56-mRNA-1 16 3012028 216M MD:Z:59C13G142 NM:i:2
cdhit-output-4_16.iteration.1 0.99 snap_masked-168338196-processed-gene-0.35-mRNA-1 16 3093106 3189M MD:Z:1396T642T79C217T79C30T17G223A9A122C53A183G40C13T72 NM:i:14
